"","en_es_TRANSFORMERS","VerConf"
"33","6. El 14 de abril de 2011, el Coordinador se reunió con el Subsecretario del Ministerio de Relaciones Exteriores de Kuwait, Khaled Al Jarallah, quien señaló que la tarea de encontrar los restos mortales de las víctimas kuwaitíes no debía "" combinarse "" con la evolución de las relaciones políticas entre el Iraq y Kuwait.",0
"34","Se trata de la financiación de campañas, las actividades electorales y el orden público, el acceso a los medios de comunicación y el uso indebido de los recursos públicos con fines políticos.",1
"35","Fuerzas Democráticas de Liberación de Rwanda",0
"36","3. Daños causados a las instalaciones y el equipo 10",0
"37","Algunos de estos niños fueron reclutados por el ejército maoísta en violación del Acuerdo General de Paz, mientras que otros fueron reclutados por organizaciones afiliadas al PCN-M. Aproximadamente el 30% de estos niños fueron puestos en libertad después de unos días pasados con el PCN-M, y aproximadamente el 20% se encontró más tarde en acantonamientos del ejército maoísta.",0
"38",":: Construcción y rehabilitación de instalaciones de abastecimiento de agua y saneamiento en cada condado (estrategia provisional de reducción de la pobreza)",0
"39","Sin embargo, la situación sigue siendo precaria para muchos otros, con una escalada de la gravedad -- si no la frecuencia -- de los ataques por motivos étnicos.",0
"40","En otras disposiciones de este proyecto de ley se han especificado las personas, las instituciones y los órganos a que se refiere.",0
"41","Todos estamos profundamente preocupados por el deterioro de la situación de la seguridad en Côte d'Ivoire, como tal vez ha visto el Consejo en mi declaración de hoy.",1
"42","Aunque el período oficial de la campaña aún no ha comenzado, los partidos de la oposición y la sociedad civil expresaron su preocupación por la perturbación de sus actividades políticas por parte de las autoridades nacionales, en particular la policía.",1
"43","Se declara abierta la sesión a las 13.05 horas.",0
"44","Deben detenerse e invertirse las medidas que puedan socavar la confianza o perjudicar el resultado de las negociaciones.",1
"45","Por lo tanto, hay una amplia razón para estar vigilantes.",0
"46","a) Abstenerse de prestar cualquier tipo de apoyo, activo o pasivo, a las entidades o personas que participen en actos terroristas, incluso reprimiendo el reclutamiento de miembros de grupos terroristas y eliminando el suministro de armas a terroristas;",1
"47","En julio de 2010, Angola promulgó leyes que establecían medidas preventivas y restrictivas contra el blanqueo de dinero y la financiación del terrorismo, y el 15 de abril de 2010 presentó su solicitud de adhesión al Grupo de lucha contra el blanqueo de dinero de África oriental y meridional.",0
"48","Esto llevó al Consejo de Seguridad a determinar, en su resolución 1556 (2004), que el conflicto en el Sudán constituía una amenaza para la paz y la seguridad internacionales y para la estabilidad de la región y a exhortar al Gobierno, en virtud del Capítulo VII de la Carta de las Naciones Unidas, a que cumpliera de inmediato los compromisos contraídos en el comunicado conjunto.",1
"49","Desde que se compraron por primera vez a principios de enero de 2005 hasta el momento de la explosión, las líneas sólo tenían llamadas entre sí.",0
"50","La comisión también observó que la República Popular Democrática de Corea había secuestrado o hecho desaparecer por la fuerza a más de 200.000 personas procedentes de China, el Japón, la República de Corea y otros países, incluso después del fin de la guerra de Corea.",0
"51","En marzo de 2004, más de 20 mujeres y niñas fueron violadas por las tropas del Gobierno y Janjaweed en Korma (Darfur septentrional).",0
"52","Timor-Leste ha logrado progresos notables desde su independencia hace más de dos años.",0
"53","Pocos Estados informantes han proporcionado información sobre las medidas que han adoptado para prevenir el abuso de las organizaciones benéficas u otras organizaciones sin fines de lucro, pero 63 exigen que las organizaciones sin fines de lucro obtengan una licencia o se inscriban.",0
"54","Por ejemplo, la sentencia en un caso conocido como Jagre al-Hadi al-Makbul y otros describe cómo una combinación de la policía y las fuerzas populares armadas de 39 miembros dejó a los habitantes de Thabit a merced de un gran contingente de atacantes fursan.",1
"55","Estas cuestiones guardan relación directa con la credibilidad de la Dirección Ejecutiva del Comité contra el Terrorismo.",0
"56","En la 5738a sesión del Consejo de Seguridad, celebrada el 7 de septiembre de 2007, en relación con el examen por el Consejo del tema titulado ""Amenazas a la paz y la seguridad internacionales causadas por actos terroristas"", el Presidente del Consejo de Seguridad formuló la siguiente declaración en nombre del Consejo:",0
"57","El Consejo también hizo hincapié en la necesidad urgente de que todas las partes observaran la cesación del fuego y adoptaran medidas inmediatas para poner fin a la violencia, y exhortó al Gobierno del Sudán a que respetara sus compromisos de asegurar que las milicias Janjaweed fueran neutralizadas y desarmadas.",0
"58","El Consejo de Seguridad insta a todas las partes en los conflictos armados, incluidas las partes no estatales, a que pongan fin a esas prácticas.",1
"59","Las partes en el proceso de paz aún no han previsto los arreglos de liberación y los programas de reintegración que habrían permitido a los niños de esas fuerzas ejercer sus derechos a medidas de recuperación y reintegración.",0
"60","En cambio, la situación a la que se refería el Grupo Especial ""E2"" se describió de la siguiente manera:",0
"61","9. La situación en Somalia (17 de marzo de 1992; 4 de junio de 2014).",0
"62","Convenio Europeo de Extradición (ETS 24)",0
"63","Reitero que el personal de las Naciones Unidas nunca debe ser amenazado ni sancionado por realizar su labor, que se basa en la Carta de las Naciones Unidas y, en este caso, en el mandato del Consejo de Seguridad.",1
"64","En función de las circunstancias de cada caso, se puede sospechar a esas personas, con arreglo a la doctrina de la empresa delictiva conjunta, de haber cometido los crímenes de lesa humanidad del asesinato de civiles y el desplazamiento forzoso y los crímenes de guerra de ataques indiscriminados contra civiles y destrucción de bienes civiles.",1
"65","La Dependencia de Inteligencia Financiera comparte información con contrapartes extranjeras, tanto directamente como a través de los canales de aplicación de la ley.",0
"66","I. Otras pérdidas 171 - 173 49",0
"67","Sin embargo, de todas las medidas de transparencia sobre los sistemas de armas, las relativas a las armas pequeñas son las menos desarrolladas.",1
"68","El Equipo considera que el embargo podría tener más repercusiones contra esta y otras amenazas de alta prioridad, como el uso de sistemas portátiles de defensa antiaérea, si se vinculara más estrechamente a otros regímenes de lucha contra la proliferación y control de armamentos.",1
"69","Para concluir, los desafíos que enfrenta el Afganistán son enormes, pero estamos progresando.",1
"70","Todos han resultado en la supresión de nombres de la Lista.",0
"71","En particular, los recursos a los que pueden acceder directamente los cuadros militantes (y no a través de su cadena de mando) pueden prolongar el conflicto creando problemas disciplinarios que dificultan que los dirigentes impongan un arreglo a los seguidores.",0
"72","El Consejo de Seguridad condena enérgicamente que se siga utilizando el territorio afgano, especialmente las zonas controladas por los talibanes, para albergar y adiestrar a terroristas y planificar actos terroristas, y reafirma su convicción de que la represión del terrorismo internacional es esencial para el mantenimiento de la paz y la seguridad internacionales, insiste en que los talibanes dejen de proporcionar refugio y adiestramiento a los terroristas internacionales y sus organizaciones, adopten medidas eficaces para asegurar que el territorio bajo su control no se utilice para instalaciones y campamentos de terroristas ni para la preparación u organización de actos terroristas contra otros Estados o sus ciudadanos, y cooperen con los esfuerzos por llevar a los terroristas acusados ante la justicia.",1
"73","La Fiscal lamentó que la situación de seguridad en Libia hubiera empeorado, que hubiera aumentado la inestabilidad política y que, como resultado, el entorno existente no fuera propicio para cerrar la brecha de impunidad en Libia.",1
"74","El tráfico de armas también fomentaba un mercado de protección entre los grupos armados y los traficantes que protegían las rutas del comercio ilícito.",0
"75","La presión política sobre la UNMIK ha aumentado considerablemente, con intentos de cuestionar su función en virtud de la resolución 1244 (1999) y el Marco Constitucional.",1
"76","Fuente: Ministerio de Geología y Minas, Angola.",0
"77","12. Exige que todas las partes cooperen plenamente con las operaciones de la MONUC y garanticen la seguridad y el acceso inmediato y sin trabas del personal de las Naciones Unidas y el personal asociado en el cumplimiento de su mandato, en todo el territorio de la República Democrática del Congo, exige en particular que todas las partes proporcionen pleno acceso a los observadores militares de la MONUC, incluso en todos los puertos, aeropuertos, aeródromos, bases militares y cruces fronterizos, y que, además, se conceda a los observadores de derechos humanos de la MONUC acceso a los centros de detención y los centros de integración, y pide al Secretario General que informe sin demora de todo incumplimiento de esas exigencias;",1
"78","""El Consejo de Seguridad subraya que la CCD-Goma será responsable de cualquier ejecución extrajudicial, incluso entre miembros de la sociedad civil o detenidos en los centros de detención de la CCD en Kisangani.",1
"79","También subraya que Rwanda tiene el deber de utilizar su fuerte influencia para garantizar que la CCD-Goma no adopte ninguna medida de ese tipo.",1
"80","31. El Estado considera que la propagación del cristianismo es una amenaza particularmente grave, ya que desafía ideológicamente el culto a la personalidad oficial y proporciona una plataforma para la organización social y política y la interacción fuera del ámbito del Estado.",0
"81","La vulnerabilidad de la población civil se ve agravada aún más por la limitada disponibilidad de servicios e infraestructura sociales básicos, como carreteras, escuelas y centros de salud.",0
"82","También se prohibió la participación activa de veteranos de guerra en futuras ceremonias y se está reescribiendo el libro de reglas para futuras ceremonias.",0
"83","No hacer nada con un grupo tan malvado bajo el pretexto poco aconsejable de que no representa una amenaza para el Gobierno es abdicar de la responsabilidad cardinal de cualquier Estado, es decir, garantizar la seguridad de sus ciudadanos.",1
"84","A medida que se resuelvan otras cuestiones, se podrán añadir al final de las futuras ediciones de este Resumen.",0
"85","5. Mi reciente visita a la región del Sahel reforzó mi creencia en la importancia de considerar la paz, la seguridad, el desarrollo y los derechos humanos de manera interconectada.",0
"86","El OOPS también entregó 3.000 vacunas contra la poliomielitis para su uso en Yarmouk.",0
"87","33. Muchos partidos políticos de la región de Terai han establecido secciones juveniles que participan en políticas callejeras violentas, y algunos grupos armados que utilizan la violencia política han reclutado a niños.",0
"88","El objetivo de la reunión especial era dar el primer paso para aumentar la conciencia regional sobre el régimen de sanciones contra Al-Qaida y alentar una mayor participación entre el Comité y los países del Sahel y el Magreb.",0
"89","Lista de sanciones del Comité del Consejo de Seguridad establecido en virtud de la resolución 1718 (2006)",0
"90","Como se recordará, el Gobierno de Eritrea había instado al Consejo de Seguridad, en su carta de 28 de febrero de 2012 (S/2012/126), a que asumiera sus responsabilidades y adoptara las medidas apropiadas contra la miríada de actos ilícitos de agresión y ocupación.",1
"91","6. Confirma además que los requisitos del apartado a) del párrafo 1 supra se aplicarán también al pago de rescates a personas, grupos, empresas o entidades incluidos en la Lista relativa a las sanciones contra Al-Qaida;",0
"92","Al estimar las pérdidas del margen de refinación ocurridas en 1994, la KPC emplea los precios de mercado previstos ajustados en función de las diferencias de precios pertinentes.",0
"93","5. Decide seguir ocupándose de la cuestión.",0
"94","57. El propio interés de quienes se oponen al establecimiento de un gobierno de buena fe ha sido constante, y el Grupo de Supervisión ha puesto al descubierto en sus informes anteriores este problema central en Somalia, que sigue siendo el tema más destacado del presente informe, y el tema más destacado es la tendencia constante a la escalada de la posible violencia en un patrón de protección de intereses creados arraigados.",1
"95","El 11 de marzo de 2003, el Consejo de Administración también celebró su 11o período extraordinario de sesiones para elegir un nuevo Presidente y un nuevo Vicepresidente del Consejo, y Alemania y Angola fueron elegidos por aclamación Presidente y Vicepresidente del Consejo, respectivamente.",0
"96","La decisión de expulsar a los trabajadores humanitarios y silenciar a otros mediante amenazas de expulsión, o los intentos de restringir la libertad de circulación de la Operación Híbrida de la Unión Africana y las Naciones Unidas en Darfur (UNAMID) forman parte de esta política para reducir la capacidad de vigilancia de la comunidad internacional.",1
"97","Lugar y fecha de nacimiento: Susah, 1990",0
"98","Por último, debemos advertir que no redunda en interés de la paz y la seguridad internacionales que la comunidad internacional, incluido el Consejo de Seguridad, utilice la difícil situación de los pueblos árabes para perseguir el interés propio y llevar a cabo un cambio de régimen.",1
"99","El Consejo reafirma, recuerda o reitera periódicamente su exigencia de que los Estados hagan cumplir los embargos de armas existentes, ya que su aplicación sigue planteando importantes problemas.",1
"100","Reafirma... su condena en los términos más enérgicos de todos los actos de violencia o abusos cometidos contra civiles en situaciones de conflicto armado en violación de las obligaciones internacionales aplicables con respecto, en particular, a i) la tortura y otros tratos prohibidos, ii) la violencia sexual y basada en el género, iii) la violencia contra los niños, iv) el reclutamiento y la utilización de niños soldados, v) la trata de seres humanos, vi) el desplazamiento forzoso y vii) la denegación intencional de asistencia humanitaria, y exige que todas las partes pongan fin a esas prácticas.",1
"101","Aplicación de las resoluciones 1540 (2004) y 1673 (2006)",0
"102","A menos que se aborden las diferencias dentro de las instituciones federales de transición, el actual estancamiento político podría convertirse en divisiones más profundas y socavar las propias instituciones que tanto desea el pueblo de Somalia y que la comunidad internacional y las Naciones Unidas están dispuestas a apoyar.",1
"103",":: Conclusiones y resultados de las actividades realizadas por las autoridades libanesas en el lugar del crimen y zonas adyacentes",0
"104","No obstante, la información disponible no ofrece una imagen clara de la aplicación de las medidas de seguridad de la aviación, el transporte marítimo o la carga, los controles fronterizos o los programas de aplicación establecidos para garantizar que las armas pequeñas no caigan en manos de personas no autorizadas.",1
"105","La situación en Siria es fuente de profunda y creciente preocupación para las Naciones Unidas.",1
"106","Además, en consecuencia, el artículo 23 de la misma Ley Orgánica, el Banco se reserva el derecho de:",0
"107","También recuerdo bien lo impopular que era hablar con los israelíes de las fronteras de 1967, y durante mucho tiempo fue casi inconcebible proponer la evacuación de los asentamientos israelíes.",1
"108","Convencida de que es inaceptable, en principio, que en cualquier lugar se pueda eludir la responsabilidad por un acto de terrorismo por cualquier motivo, incluso por su propia obstrucción de la investigación o por no cooperar de buena fe,",1
"109","Aparte de Bangladesh, las Partes en la Convención son el Reino de Bhután, la República de la India, la República de Maldivas, el Reino de Nepal, la República Islámica del Pakistán y la República Socialista Democrática de Sri Lanka.",0
"110","A. D6 (pérdida de ingresos): indemnizaciones por terminación del servicio",0
"111","Planteamos la cuestión de la violencia para expresar nuestra impaciencia por encontrar urgentemente soluciones satisfactorias a los enormes desafíos a la unidad de la sociedad iraquí.",1
"112","El Consejo de Seguridad observa con preocupación que el terrorismo sigue constituyendo una grave amenaza para la paz y la seguridad internacionales, el disfrute de los derechos humanos, el desarrollo social y económico de todos los Estados Miembros y socava la estabilidad y la prosperidad mundiales, que esta amenaza se ha vuelto más difusa, con el aumento, en diversas regiones del mundo, de los actos terroristas, incluidos los motivados por la intolerancia o el extremismo, y expresa su determinación de combatir esa amenaza.",1
"113","En cambio, la organización de los archivos se ha centrado en el almacenamiento de carpetas en cajas de colecciones de documentos similares.",0
"114","En el último año, como resultado de la intensificación de las operaciones militares contra los grupos armados, la MONUSCO ha aumentado su apoyo logístico a las tropas de las FARDC en un 226%.",0
"115","El Gobierno reconoció el ataque y se ofreció a indemnizar a las víctimas.",0
"116","Se espera que no se produzcan deficiencias similares en las etapas finales de la eliminación gradual del programa.",0
"117","Si bien están fuera del mandato de la UNMISET, los recientes fallos de un tribunal de apelación en Indonesia, al revocar cuatro condenas dictadas por el Tribunal Especial de Derechos Humanos, repercuten directamente en la cuestión más amplia del logro de la rendición de cuentas.",1
"118","Un Estado observó que, si bien las actividades mundiales de lucha contra el terrorismo habían debilitado sustancialmente el liderazgo de la organización Al-Qaida, la fuente de la amenaza se había desplazado a grupos afiliados a la organización básica, pero separados de ella, así como a personas afectadas por la ideología de esos grupos y por su incitación a la violencia. Varios Estados subrayaron que el terrorismo no debía estar asociado con ninguna religión, nacionalidad, civilización o grupo y que la amenaza terrorista provenía de múltiples fuentes, incluidos grupos de extrema derecha y xenófobos.",1
"119","En una región tan compleja como vital para el mantenimiento de la paz y la seguridad internacionales, las autoridades tropiezan con grandes dificultades y limitaciones en su respuesta a las demandas y expectativas de una población deseosa de reformas.",1
"120","El costo se define como el valor nominal más o menos cualquier prima o descuento sin amortizar.",0
"121","A menos que el Gobierno las aborde, éstas podrían plantear graves amenazas a la seguridad y la estabilidad de Timor-Leste.",1
"122","Berkeley, CA, Estados Unidos de América",0
"123","Los Estados y muchos agentes internacionales acogieron con beneplácito la apertura del proceso de examen amplio e instaron al Comité 1540 a que siguiera aplicando este enfoque y redoblara sus ya útiles esfuerzos para lograr la transparencia y la inclusión.",0
"124","El costo se define como el valor nominal más/menos cualquier prima/descuento no amortizado.",0
"125","En lugar del famoso logo de la Copa del Mundo 2014, en el que tres manos victoriosas sostienen el mundo, creando juntos el prestigioso trofeo, la caricatura de la Autoridad Palestina muestra un ""trofeo"" de tres manos sosteniendo a tres personas con las manos en alto en la rendición.",1
"126","""El Consejo de Seguridad está especialmente preocupado por los ataques contra trabajadores humanitarios, en violación de las normas del derecho internacional.",1
"127","Si bien el Gobierno y el PCN-Maoísta se han esforzado por resolver el problema del pago de personal del PCN-Maoísta descalificado, no se han comprometido fondos o programas para la recuperación y reintegración de los niños afectados por los conflictos armados, incluidos muchos puestos en libertad de manera oficiosa, y el entusiasmo por el ofrecimiento de asistencia de las Naciones Unidas ha sido limitado.",1
"128","iii) Aumento de la capacidad de las autoridades [nacionales] en [la zona afectada por la violencia], incluidos los organismos nacionales encargados de hacer cumplir la ley, el poder judicial y el sistema penitenciario para proporcionar la seguridad necesaria a los refugiados, los desplazados internos, los civiles y los trabajadores humanitarios, respetando las normas internacionales de derechos humanos.",0
"129","Transmisión del caso 6 al Comité",0
"130","Se ha propuesto modificar el artículo 135 del Código Penal en relación con las circunstancias agravantes, añadiendo los siguientes elementos:",0
"131","Naturalmente, nos preocupa profundamente la situación en los estados de Kordofan meridional y Nilo Azul, dada su proximidad geográfica a nuestro país.",1
"132","El Grupo examina a su vez cada proyecto de la siguiente manera:",0
"133","Hemos absorbido zonas de exclusión en otras zonas tribales de Waziristán meridional, Khyber y Mohmend.",0
"134","La Comisión considera que, por lo tanto, los casos de tortura pueden constituir un crimen de lesa humanidad y, dada la naturaleza discriminatoria de los ataques, también pueden implicar el delito de persecución como crimen de lesa humanidad.",1
"135","En 1993, en el mejor de los casos, esa visión era borrosa, y en ese momento era imposible definir objetivos finales que hubieran estado a punto de satisfacer las preocupaciones de ambos pueblos.",1
"136","e) Realizar patrullas conjuntas con las unidades antidisturbios de la policía nacional para mejorar la seguridad en caso de disturbios civiles.",0
"137","Si las misiones no cumplen con sus responsabilidades de protección de la población civil, socavan otras tareas que se les han encomendado, por no hablar de la pérdida de vidas y el sufrimiento que se producen.",1
"138","Si bien los propios interesados determinarán en última instancia la naturaleza de las consultas, se prevé que en ellas participen conferencias a nivel local y estatal en todo Darfur que culminen en una conferencia importante a nivel de todo Darfur.",0
"139","Los desafíos socioeconómicos que enfrenta el Afganistán son importantes.",1
"140","En sus respuestas, los miembros del Consejo expresaron su reconocimiento del carácter selectivo de las sanciones del Consejo y su amplia aplicación a una serie de amenazas a la paz y la seguridad internacionales, que entrañaban, entre otras cosas, la asistencia a los Estados para recuperar la estabilidad, proteger a la población civil en los conflictos y combatir el terrorismo y la proliferación de armas de destrucción en masa.",0
"141","El Presidente calificó enfáticamente el desafortunado incidente de feo e inaceptable, en la medida en que presagia posibles actos de violencia durante las próximas elecciones de 2012.",1
"142","Sin embargo, el Equipo recomienda que el Consejo de Seguridad señale a los Estados Miembros que están obligados por el régimen de sanciones a impedir el uso de Internet para el suministro, la venta o la transferencia directos o indirectos de asesoramiento técnico, asistencia o capacitación relacionados con actividades militares a personas y entidades incluidas en la Lista desde sus territorios o por sus nacionales fuera de sus territorios.",1
"143","Aunque las F-FDTL han declarado que en 2006 tenían 1.200 armas M16, los registros revelan que 45 armas M16 han desaparecido. Además, tres fusiles FN-FNC semiautomáticos, tres fusiles SKS semiautomáticos y dos armas Uzi anteriormente estaban bajo la custodia y el control de las F-FDTL.",1
"144","El alcance de la contaminación por municiones en racimo es cada vez más evidente a medida que avanza la labor de Landmine Action.",0
"145","Se dio preferencia al personal expatriado de la OTC.",0
"146","Permítaseme comenzar reiterando la profunda preocupación de la Unión Europea por la situación en Somalia y por las consecuencias regionales de su conflicto.",1
"147","Hasta la fecha no ha habido mejoras en la reforma administrativa a nivel nacional.",1
"148","Para comenzar, debo expresar nuestra profunda preocupación por la situación de seguridad en el país.",1
"149","La falta general de transparencia para el público en general socava la equidad y credibilidad del proceso en su conjunto.",1
"150","Condena enérgicamente el reclutamiento y la utilización de niños soldados por las partes en los conflictos armados en violación de las obligaciones internacionales que les son aplicables y de todas las demás violaciones y abusos cometidos contra los niños en los conflictos armados.",0
"151","Esto hace aún más alarmante la retórica irresponsable y amenazadora que proviene de los dirigentes iraníes.",1
"152","Producción de arroz y maíz al 70% (120.000 MT) de los niveles de 1997",0
"153","II.A1.010 Fibras impregnadas de resina o de alquitrán (preimpregnadas), fibras recubiertas de metal o de carbono (preformas) o ""preformas de fibra de carbono"", según se indica:",0
"154","La AEOI redactó un reglamento sobre protección física de instalaciones y materiales, basado en el OIEA, INFCIRC/225",0
"155","El General de División Cameron Ross continuó como Comandante de la Fuerza.",0
"156","b) Extranjeros que no están incluidos en estos dos grupos.",0
"157","Los miembros del Consejo, en sus observaciones, expresaron su profunda preocupación por los acontecimientos recientes, subrayaron la necesidad de establecer mecanismos de seguridad fronteriza y exhortaron a ambas partes a que adoptaran medidas para normalizar sus relaciones.",1
"158","Ningún testigo ocular informó de que se habían lanzado octavillas, o de que se habían dado advertencias por radio o por conducto de los jefes tribales, o de que aviones habían volado a baja altura sobre aldeas para advertir a los civiles de un ataque inminente.",1
"159","Oceans Beyond Piracy, una organización no gubernamental, estimó que en 2013 se habían gastado 3.200 millones de dólares para hacer frente a la piratería, y la comunidad internacional gastó unos 139 millones de dólares por cada ataque.",0
"160","No puedo insistir suficientemente en el riesgo que representa la falta de helicópteros militares para la eficacia operacional de la fuerza.",1
"161","Los alienta a redoblar sus esfuerzos para garantizar la seguridad de la población civil en su territorio, incluidos los extranjeros a los que dan refugio.",0
"162","La transformación de la Fuerza de la MONUSCO por sí sola no dará lugar a los cambios necesarios para una ejecución más eficaz del mandato de la Misión, sino que debe entrañar un cambio en el comportamiento de algunos países que aportan contingentes.",1
"163","Un Estado informó de que su estrategia nacional de lucha contra el terrorismo exigía que las medidas de las autoridades fueran coherentes y transparentes y garantizaran el respeto del estado de derecho, la democracia, los derechos fundamentales y la buena gobernanza.",1
"164","Angola: Gobierno/Misión Permanente ante las Naciones Unidas",0
"165","El 18 de noviembre de 2003 se emitió un comunicado sobre el período de sesiones (S/PV.4860).",0
"166","La situación en Somalia (17 de marzo de 1992; 21 de noviembre de 2012)",0
"167","10. La situación en Georgia (8 de octubre de 1992; 15 de junio de 2009).",0
