"ar_en_DEEPL"	"VerConf"
"30. Potential dangers in the process of bringing non-signatory parties to the negotiating table include parties insisting on unrealistic preconditions for negotiations. Another risk is the intransigence of the parties towards and during the negotiations. These risks can be mitigated by unifying the international community's positions on the peace process and maintaining close dialogue with the parties. Another risk is the establishment of initiatives for parallel peace processes by regional and/or international partners that could undermine this element of the framework."	1
"âThe Security Council considers sanctions to be an important tool in the fight against terrorism, and emphasizes the importance of prompt and effective implementation of relevant resolutions, in particular Security Council resolutions 1267 (1999) and 1989 (2011) as a key tool in the fight against terrorism."	1
"Officials from organizations and States from other regions have confirmed to the Team that their systems do not currently affect the ability of Member States to deny entry to listed individuals, even if they are already within the region."	0
"It is necessary to look for creative approaches that can prevent terrorists in cash-based economies from obtaining funds, whether in the form of cash, by smuggling goods, or by illegally manipulating commercial transactions."	1
"The stakes are undoubtedly high because failing to meet the CPA deadline for the referendums could have serious consequences."	1
"Reaffirming that terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security and that any acts of terrorism are criminal and unjustifiable regardless of their motivation, timing or perpetrator; and reiterating its unequivocal condemnation of Al-Qaida and all other individuals, groups, undertakings and entities associated with it for their ongoing and multiple criminal terrorist acts aimed at killing innocent civilians and other victims, destroying property and significantly undermining stability."	1
"In 1993, that vision was hazy at best, and at the time, it was impossible to identify an end goal that would come close to meeting the concerns of both peoples."	1
"Martin Pires was also the organizer of another failed attempt during the Caribbean Forum Summit, in the Dominican Republic, in August 1998."	0
"3. Thirteen new cases were submitted to the Office of the Ombudsperson during the reporting period, bringing the total number of delisting requests submitted since the establishment of the Office to 49 as at 31 July 2013."	0
"In the face of this blatant threat to international peace and security, we hope that the Security Council will act without resorting to the double standards that have characterized its previous actions in this regard, so that it can urgently and decisively adopt the draft resolution submitted by Algeria on behalf of the members of the Arab Group."	1
"The anti-terrorism law is being revised."	0
"ISAF soldiers must fully implement their mandate to eliminate threats emanating from Afghanistan."	1
"The role of the United Nations will be pivotal to the success of these efforts."	0
"The team is also aware of Michael Cabello, who claims to be an advisor to the Ministry of Defense of Belarus and the Ministry of Defense of the Republic of CÃ´te d'Ivoire."	0
"65. The prosecution of individuals suspected of piracy and the punishment of convicted pirates in accordance with the relevant Security Council resolutions are indispensable in order to deter future acts of piracy by demonstrating that they cannot act with impunity."	1
"We particularly condemn any attempt to force UNAMA into any kind of so-called joint governance, as well as any interference with the sole authority of the Special Representative."	1
"Azerbaijan is deeply concerned about the continuation of illegal settlement activities in the occupied Palestinian territories."	1
"Replies received in accordance with paragraph 20 of resolution 1596 (2005)"	0
"This means that the separatists continue their blatant disregard for international law and reject the universal principles of the UN Charter."	1
"During these arrests, victims were often subjected to horrific mistreatment, had their property stolen and their homes ransacked, and in some cases were summarily executed."	0
"(vi) Increase in crude oil insurance premium rate"	0
"S/RES/1923 (2010), OP 4"	0
"But we are concerned by recent developments, including further tensions between members of local communities and ISAF forces."	1
"Reaffirms its unequivocal condemnation of all acts, methods and practices of terrorism as criminal and unjustifiable, regardless of their motivation, in all their forms and manifestations, wherever and by whomever committed."	1
"As I have said before, double standards in addressing terrorism and terrorist groups is another major concern and seriously undermines the international community's collective fight against terrorism."	1
"4. Requests troop- and police-contributing countries to provide support in this regard."	0
"6. Emphasizes its full readiness to impose targeted measures against persons designated by the Committee, in accordance with paragraphs 9, 11 and 14 of resolution 1572 (2004), who, inter alia:"	1
"Lessons learned: Feedback from the 2012 participants"	0
"In practice, information sharing is hampered by a lack of institutional and operational capacity and language challenges."	0
"Clause 2 states that Zhejiang is \"responsible for official departure procedures, including the issuance of passports, the signing of medical examinations and the issuance of return flight tickets\"."	0
"The number of attacks targeting national and international security forces, employees of public institutions, humanitarian workers and state representatives has increased. Attacks against polling sites and threats against voter registration teams have also increased."	1
"164. Nakabaka's FDLR allies were positioned along the Ruzizi Plain and over the hills to the west, particularly in the areas of Saint-Guy, Lvunigi and Lemera."	0
"29. Meanwhile, the efforts of the UNOCI police component to advise the Government of National Reconciliation on the restructuring of FDS-CI and to assist in the restoration of civilian policing throughout the country were hampered by the uncooperative attitude of local authorities, the lack of a comprehensive FDS-CI reform plan and the absence of an inter-Ivorian agreement on the deployment of Ivorian police and gendarmerie personnel to the north."	1
"These considerations do not apply in the case of Petrolube."	0
"483. The commissions have rejected many cases on the grounds that their questioning of the victims revealed that the crime complained of did not amount to rape, as there was no penetration, or that the complainants had confused rape with persecution and had mistakenly filed complaints for other forms of assault or violence, such as beatings."	1
"Thus, the government loses about $100 million a year every time prices fall a dollar."	0
"Department of Energy Rules of Procedure. DOE's National Nuclear Security and Safeguards Committee."	0
"This was a thorny issue as there was a lack of trust between some police officers in different locations."	1
"Acting under Article 41 of Chapter VII of the Charter of the United Nations."	0
"10. Reiterates the importance of all States identifying or, where appropriate, developing appropriate procedures to fully implement all aspects of the measures set out in paragraph 1 above; and urges all Member States to implement the comprehensive international standards embodied in the revised FATF Forty Recommendations on Combating Money Laundering, Financing of Terrorism and Proliferation, in particular Recommendation 6 on targeted financial sanctions related to terrorism and terrorist financing."	1
"The true establishment of the rule of law in the DRC requires the formation of an army, a justice system and a police force that is effective and democratic."	1
"These international enforced disappearances are unique in their intensity, scope and nature."	0
"Women and children, especially girls, have been affected by violence and emerging conflicts caused by the proliferation of militias and armed groups, in some cases linked to violent extremism, while many protracted conflicts remain unresolved."	0
"In order to continue this fight, it is imperative that the international community make a greater contribution and pay more attention to this important aspect of the fight against terrorism."	1
"We urge the parties to act with restraint and avoid provocative actions or statements that could trigger further violence."	1
"Saleh Mithal Jasser Almutairi"	0
"Therefore, it not only exacerbates existing threats to international peace and security, but also represents a threat to international peace and security in itself."	1
"I have the honor to transmit herewith the eleventh report of the Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) and extended pursuant to resolution 1904 (2009)."	0
"Demanding that the parties to the conflict show restraint and cease military actions of all kinds, including aerial bombardments."	1
"This sets the conditions for a successful country-wide collection of heavy weapons, which currently stands at 94 percent."	0
"Requests the Secretary-General to include in his reports on children and armed conflict more systematically specific information on the implementation of the recommendations of the [Security Council] [Working Group on Children and Armed Conflict]"	0
"Condemns the continued illicit flow of arms into and out of [the affected State] in violation of the resolutions [providing for sanctions], and declares its determination to continue to monitor directly the implementation of the arms embargo and other measures established by its resolutions concerning [the affected State]."	1
"Over the past month, the number of conflict-affected individuals in the Darfur crisis has continued to rise, with 62,000 additional IDPs registered."	1
"Speech by Mr. Amr Moussa, Secretary-General of the League of Arab States at the opening session"	0
"Through our previous discussions, Belgium has shared the concern expressed by the Secretary-General about the threat that violence in Iraq poses to an already fragile society, institutions and political process."	1
"âEmphasizing that global peace and security are indivisible and taking into account the interdependence and interrelatedness of the world, the Security Council reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security and that any acts of terrorism are criminal and unjustifiable, regardless of their motivation, wherever and by whomever committed."	1
"They also reiterated their deep concern about the problems of terrorism, piracy, hostage-taking and the dire humanitarian situation. In this context, they emphasized the need for the speedy implementation of all relevant Security Council resolutions, including by the Transitional Federal Institutions, as appropriate."	1
"Condemning in particular sexual violence perpetrated by [militias and armed groups as well as elements of the armed forces and national police] and other security and intelligence services, emphasizing the urgent need for [the State concerned], in cooperation with [the peacekeeping mission] and other relevant actors, to put an end to such violence and prosecute the perpetrators and senior commanders under whom these criminals operate, and calling upon Member States to provide assistance in this area and to continue to provide medical, humanitarian and other forms of assistance to victims."	1
"The sector needs special protection to prevent it from being used to finance terrorism. Abuse of non-profit organizations can cause long-term damage to them and may discourage people from making charitable donations in general."	0
"Claimant's name: Musaad Al-Saleh Travel Company"	0
"The Chair of the Working Group noted the persistent concern of some countries about the extent of the high-risk zone."	1
"Naturally, we are deeply concerned about the situation in South Kordofan and Blue Nile states due to their geographical proximity to our country."	1
"428. The Commission has repeatedly requested the Government to provide information on the judicial proceedings it has taken to bring the perpetrators of alleged crimes in Darfur to justice."	1
"These exports brought $369,793.33 to the Liberian treasury (annex 4)."	0
"Based on a careful analysis of the information gathered during the Commission's investigations, the Commission found the Government of Sudan and Janjaweed militias responsible for serious violations of international human rights and humanitarian law that constitute crimes under international law."	1
"173. However, the Committee notes a shortcoming in the approach and preparedness of UNODC for this intervention."	1
"The Committee was composed of the following experts:"	0
"Deploring the continued impediments imposed by the Government of Sudan on the work of the Panel of Experts during its mandate, including restrictions on the freedom of movement of the Panel of Experts and the African Union-United Nations Hybrid Operation in Darfur (UNAMID), and restrictions on the access of the Panel of Experts to areas of armed conflict and areas where violations of human rights and international humanitarian law have been reported, while noting the improved interaction between the Government of Sudan and the Panel of Experts."	1
"We urge all Member States to take immediate steps to comply with the obligation set out in resolution 2036 (2012) to prohibit trade in Somali charcoal, particularly by those most active in the trade."	1
"Reaffirming the need to use all means, consistent with the Charter of the United Nations, to combat the threats to international peace and security caused by terrorist acts."	1
"46. The situation in Myanmar (September 15, 2006; July 13, 2009)."	0
"Recommendations were also made regarding the participation of national parties to ensure that the social, political and cultural background of the cases is sufficiently familiarized, while at the same time promoting the growth of the national judicial sector."	0
"But we are concerned about reports of increased tensions between the ruling and opposition parties."	1
"The immediate danger is that Africa will become a terrorist training camp, a recruitment base, a transit point and a center for mobilizing funds for other illicit activities."	1
"Gas masks (SAR 1,033,600)"	0
"In most cases, victims attributed acts of sexual violence to the Janjaweed; however, in several incidents, government soldiers allegedly participated with the Janjaweed."	0
"However, five defendants, including Karadžić and Mladić, have yet to be arrested."	0
"At the same time, the Assistant Secretary-General said, everyone must condemn the inflammatory statements by armed groups threatening to disrupt voting in regions in eastern Ukraine and to hold their own elections on November 2, in violation of the Constitution and national law."	1
"8/91/04 - January 1991"	0
"To be held on Wednesday, June 29, 2005, at 10 a.m."	0
"We should acknowledge our great concern about the situation in Afghanistan."	1
"During 2003, the list was circulated on 8 April (SCA/2/13 (13)), 29 August (SCA/2/13 (26)), 30 October (SCA/2/13 (35)) and will be circulated again on 31 December."	0
"A. Trial judgments pending as of November 15, 2013"	0
"216. On the basis of the findings of the Commission and the Lebanese investigation to date, the material and documentary evidence collected, and the evidence found so far, there is consistent evidence pointing to Syrian and Lebanese involvement in this terrorist act."	1
"(c) Section 143 relating to proceeds of crime"	0
"Both resolutions emphasize the responsibility of states to investigate and prosecute persons suspected of genocide, crimes against humanity, war crimes or other serious violations of international humanitarian law."	0
"They are under pressure for important elements of this identity such as their language, culture and religious heritage, as well as their economic survival."	0
"The Council should call for an immediate cessation of all military operations in Gaza and the withdrawal of Israeli occupation forces from the area."	1
"Council members also emphasized the importance of the parties engaging meaningfully with IGAD in its mediation efforts and respecting the cessation of hostilities agreement in pursuit of an early return to peace and stability in South Sudan."	0
"1. Condemns violent extremism, which can lead to terrorism, sectarian violence and the commission of terrorist acts by foreign terrorist fighters, and demands that all foreign terrorist fighters lay down their arms and completely cease committing terrorist acts and participating in armed conflicts."	1
"Note by the Secretary-General (S/2011/418)."	0
"This is mainly because terrorism is of a changing nature."	1
"This is unacceptable and contradicts even the declared ban by anti-government forces on the use of landmines."	1
"The incident in northern Mitrovica has clearly demonstrated that EULEX, despite the Security Council mandate regarding the reconfiguration of UNMIK, is increasingly moving away from the principle of status-neutrality, undermining the status of the existing international presence."	1
"Clashes between rebel forces and French forces monitoring the ceasefire took place on the day the mission was in the area, in Daloa, about fifty kilometers away."	1
"23. The Committee wishes to express its appreciation to the Monitoring Team for its high-level report and the recommendations contained therein, as well as for its highly professional support and assistance to the Committee, and looks forward to receiving the seventh report of the Team, in accordance with annex II to resolution 1735 (2006), on 30 September 2007."	0
"In a region that is complex and vital to the maintenance of international peace and security, the authorities face significant difficulties and constraints in responding to the demands and aspirations of a people eager for reform."	1
"In that resolution, the Council requested the Secretary-General to establish within the Secretariat (Security Council Subsidiary Organs Branch) an administrative focal point to receive requests from listed individuals and entities."	0
"The organization has strengthened its camps in isolated areas of northern Mali."	0
"However, states should similarly criminalize acts committed against any other state."	0
"129. Most States have sufficient provisions to ensure mutual legal assistance and extradition. Procedures for the exchange of information are in place in all of them."	0
"The Monitoring Group notes, however, that the absence of a stable central government in Somalia and the current high level of risk of large-scale hostilities have severely hampered, and may currently have completely stalled, any serious capacity-building efforts at the country level."	1
"As recently as May this year, during the Council's debate (see S/PV.6314) on the report of the Secretary-General on the United Nations Interim Administration Mission in Kosovo (UNMIK) (see S/2010/169), we drew the attention of the international community to the fact that the situation in the province is far from stable and of particular concern."	1
"The addition of these names also demonstrates the Committee's continued attention to the threat to international peace and security posed by the Taliban."	1
"In North Darfur, the least populous of the three Darfur states, an estimated 685,200 people are affected by the conflict, of whom 403,000 are displaced.â"	0
"The three clearinghouses established in Sana'a, Mombasa (Kenya) and Dar es Salaam (United Republic of Tanzania) manage a network of coordination centers throughout the region, including Somalia, and provide information on piracy activity and dhow movements."	0
"Moreover, what is clear from all this is that Eritrea is trying to gain the support of the Security Council by taking UNMEE personnel hostage."	1
"Every month, the Ministry of Lands, Mines and Energy receives hundreds of requests to mediate concession disputes."	0
"\"The Security Council emphasizes that the RCD-Goma will be held accountable for any extrajudicial executions, including among members of civil society or detainees in its detention centers in Kisangani."	1
"The draft decree is currently before the combined Justice and Human Rights and Finance and Public Credit committees of the House of Representatives for a decision."	0
"In this regard, we would like to reiterate what we have said on previous occasions, namely that the most serious challenge facing this investigation is the continued exploitation by some parties in our region or beyond to jump to preconceived political conclusions that are irrelevant to the requirements of the investigation and are not based on solid evidence and proof."	1
"France, Portugal, Sweden, and the United Kingdom"	0
"Last Sunday, on the occasion of Hamas' 21st anniversary, Hamas leader Haniyeh refused to allow Abbas to remain in office until the internal division is resolved."	1
"33. The situation in the former Yugoslav Republic of Macedonia (see S/25070/Add.24 and Corr.1, S/1995/40/Add.47, S/1996/15/Add.6, 21 and 47, S/1997/40/Add.14, 21, 47 and 48, S/1998/44/Add.29, S/1999/25/Add.7 and S/2001/15/Add.33 and 39)."	0
"21. The Congolese government has confirmed that it will meet the January 2, 2015 deadline."	1
"9. The Court of First Instance initially ruled that the government did not prove that the Dutch branch of Al-Haramain, a stand-alone organization separate from the international organization, had provided support for terrorism."	1
"Accordingly, the guidelines were forwarded to the International Labor Organization (ILO) for review and possible action."	0
"Similarly, it is also trucked across the road to Kismayo and other areas inside Somalia."	0
"In 2006, more than 324 children were abducted in 136 mass abduction incidents, more than 210 of them in November 2006 and the rest between May and December 2006."	0
"This perception could further radicalize some Kosovo Albanian nationalist elements and potentially put Kosovo's minorities at increased risk."	1
"Other listed groups, such as Lashkar-e-Tayyiba (QE.L.118.05), train and recruit themselves in Taliban-controlled areas of Pakistan."	0
"Ten people were questioned on the day of the explosion, and nearly 40 people were questioned over the next two months."	0
"- Regarding item 13 on page 2 of the matrix (other conventions/treaties): Viet Nam became a party to the Convention on Early Notification of a Nuclear Accident in October 1987 and the Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency in October 1987."	0
"S/AC.29/2004/(3)/8"	0
"Targeted and progressive measures in response to the illicit trade in small arms and light weapons."	0
"We challenge anyone to say that there is now a single battle taking place in any corner of Sudan."	1
"65. The situation in the Indo-Pakistani subcontinent (December 4, 1971; December 27, 1971)."	0
"As stated in Security Council resolution 1535 (2004) and the report of the Counter-Terrorism Committee on its revitalization (S/2004/124), the Counter-Terrorism Committee looks forward to a close and cooperative relationship with the Executive Director and his staff in order to enhance the Committee's ability to effectively monitor the implementation of resolution 1373 (2001) by all Member States."	0
"85. Unless differences within the Transitional Federal Institutions are addressed, the current political impasse could develop into deeper divisions and undermine the very institutions that the Somali people yearn for and that the international community and the United Nations are prepared to support."	1
"8. Referral to the Appeals Body"	0
"In that context, we believe it is critical that the Security Council pay the utmost attention to the threats posed by fundamentalist and extremist religious organizations such as Hizb ut-Tahrir and urge the Council to impose strong sanctions on terrorist organizations."	1
"The PNTL's actions were publicly condemned as harsh and disrespectful to a Qadami resistance leader."	1
"It is unclear how future COE payments, due in June, will be funded."	0
"To be held on Friday, May 24, 2002, at 1.45 p.m."	0
"The report cites a number of incidents, particularly in the security sector, that cause serious concern."	1
"3. Calls upon all States:"	0
"Remaining deeply concerned about the threat posed by terrorism and the risk that non-State actors may acquire, develop, traffic in or use nuclear, chemical and biological weapons and their means of delivery."	1
"(b) Political and military leaders of foreign armed groups operating in the Democratic Republic of the Congo who impede the disarmament and voluntary repatriation or resettlement of combatants of those armed groups."	0
"Although the Defense Forces Command emphasizes the importance of the chain of command to consider complaints, there appear to be no established procedures detailing how complaints are formally considered and reviewed."	1
"There are four different categories."	0
"The recent fatwa issued by the Ulema Council condemning narcotics and other related activities could be very useful in thwarting opium poppy production."	1
"Urges all parties concerned, in accordance with international humanitarian law, including the Geneva Conventions and the Hague Regulations, to allow humanitarian personnel full and unimpeded access to civilians in need of assistance In situations of armed conflict, to provide, to the extent feasible, all necessary facilities for their operations, and to promote the safety, security, freedom of movement and property of humanitarian personnel, United Nations and associated personnel."	0
"However, UN human rights mechanisms have expressed concern about counter-terrorism legal provisions that restrict certain rights in some states, which could make it difficult to implement international agreements on mutual legal assistance and extradition."	1
"One participant emphasized that it is time to do more than just talk about the goal of prevention."	0
"With the Committee's approval, in September 2008, CTED led a joint Committee/Counter-Terrorism Implementation Task Force mission to Madagascar."	0
"On behalf of the Counter-Terrorism Implementation Task Force's Working Group on Tackling the Financing of Terrorism and with the support of several donor states and organizations, CTED is also leading a three-year global initiative aimed at developing a common understanding of good practices to counter the exploitation of the sector for terrorist financing."	0
"This regime was amended in resolutions 1333 (2000) and 1390 (2002) to impose three targeted measures (asset freeze, travel ban and arms embargo) against individuals and entities associated with the Taliban and Al-Qaida. Exceptions to the asset freeze and travel ban are available. On 17 June 2011, the Security Council unanimously adopted resolutions 1988 (2011) and 1989 (2011), which split the regime in two, establishing a Committee on Al-Qaida and a Committee on the Taliban."	0
"In addition, President Kostanica's victory is seen by Kosovo Albanian leaders as a threat to their ambitions for provincial independence."	1
"She reiterated the Secretary-General's condemnation of any use of chemical weapons by any party to the Syrian conflict, and reiterated his call for the perpetrators of any such acts to be brought to justice."	1
"Furthermore, Chile believes that operative paragraph 2 of the draft resolution contains a condemnation of suicide attacks against civilians only."	1
"In addition, there are signs of the return of natural vegetation in these areas."	0
"30. The Mission's community policing initiative has strengthened ties with the local community."	0
"However, I remain concerned about continued restrictions on the freedom of movement of UN military observers who seek to visit the parties' units, headquarters and bunkers for verification purposes."	1
"The Government also shares a number of the concerns expressed in the report regarding, inter alia, human rights and the situation of women and children."	1
"The structure of the conference will be centered around a preparatory process that will culminate in two summits."	0
