en_ar_TRANSFORMERS	QuadClass
وقال إنه أجرى العديد من الاتصالات مع الحكومة المغربية التي طلبت، قبل أن تقبل استئناف الدبلوماسية المكوكية، عقد اجتماع لتوضيح شواغلها بشأن آخر تقرير للأمين العام (S/2014/258)، موضحاً أن المغرب يرى أن هذا من شأنه أن يسمح للعملية بالمضي قدماً بأفضل طريقة ممكنة.	4
غير أنه على الرغم من الاهتمام المتزايد والتطورات الإيجابية التي حدثت مؤخرا في هذا المجال، لا يزال هناك العديد من التحديات على أرض الواقع فيما يتعلق بالتنفيذ، ولا سيما التحديات المتعلقة باستمرار انعدام الوضوح فيما يتعلق بمفهوم وتفعيل حماية المدنيين، وآليات التنسيق الداخلية والخارجية، والإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات والموارد.	3
15 - منذ تقديم تقريري المؤرخ 2 كانون الثاني/يناير 2008 إلى مجلس الأمن (S/2008/1)، أزالت عملية الأمم المتحدة في كوت ديفوار جميع مراكز المراقبة البالغ عددها 17 مركزا، باستثناء مركزين من مراكز المراقبة التي أنشأتها على طول الخط الأخضر، وذلك تمشيا مع أحكام اتفاق واغادوغو.	2
50- قام المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب بزيارة رسمية إلى بوركينا فاسو في الفترة من 8 إلى 12 نيسان/أبريل 2013، بدعوة من الحكومة، لجمع معلومات عن الحالة الراهنة في بوركينا فاسو، ومن ثم مساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تنفيذ الصكوك الدولية.	2
وكان الهدف من هذا الجهد هو تحسين الأمن في المنطقة، وتعزيز تحالف وادي جوبا، والتوفيق بين الجنرال "مورغان" والتحالف، اللذين ظلا يتشاجران على أراضي في وادي جوبا لعدد من السنوات.	2
وينبغي للدول أن تمتنع عن إعاقة الجهات الفاعلة الإنسانية في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول لأغراض إنسانية، بما في ذلك الاضطلاع بأنشطة ترمي إلى تعزيز احترام القانون الإنساني الدولي.	3
يحث الدول الأعضاء على كفالة زيادة تمثيل المرأة في جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع نشوب الصراعات وإدارتها وحلها.	4
38 - يوعز إلى اللجنة أن تحدد الحالات المحتملة لعدم الامتثال للتدابير عملا بالفقرة 1 أعلاه وأن تحدد مسار العمل المناسب بشأن كل حالة، ويطلب إلى الرئيس أن يقدم، في التقارير الدورية المقدمة إلى المجلس عملا بالفقرة 46 أدناه، تقارير مرحلية عن أعمال اللجنة بشأن هذه المسألة؛	2
حاء - منع الاستغلال والانتهاك الجنسيين من جانب موظفي الأمم المتحدة والأفراد المرتبطين بها وشركاء الأمم المتحدة والتصدي لهما؛	2
6 - واستنادا إلى الاستعراض الشامل لجميع الأسماء المدرجة في القائمة الذي أُنجز في عام 2010، عملا بالفقرة 25 من القرار 1822 (2008)، نفذت اللجنة منذ ذلك الحين آليات عديدة لكفالة أن تعكس القائمة على أفضل وجه التهديد الذي يشكله تنظيم القاعدة، ولضمان استعراض كل قيد دوريا لتحديد ما إذا كان من المناسب مواصلة الإدراج.	2
واستحدثت ثلاث دول إجراءات تحظر تسليم الأفراد الذين قد يواجهون خطر التعذيب أو الاضطهاد.	2
الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (برئاسة إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) الذي أنشأته اللجنة التنفيذية المعنية بالسلام والأمن لتحسين أداء المنظمة في مجال نزع السلاح والتسريح وإعادة الإدماج، ويقدم الفريق العامل المشترك بين الوكالات المشورة الاستراتيجية، بما في ذلك المشورة بشأن احتياجات التدريب والسياسات والاستراتيجيات؛ ويحافظ على المجموعة المتقدمة من توجيهات الأمم المتحدة بشأن نزع السلاح والتسريح وإعادة الإدماج ويستعرضها؛ ويطور ويدير مركز الأمم المتحدة لموارد نزع السلاح والتسريح وإعادة الإدماج؛ وييسر تخطيط عمليات نزع السلاح والتسريح وإعادة الإدماج فيما بين وكالات الأمم المتحدة ذات الصلة.	2
وأعرب أيضا عن أن فشل البرلمان اللبناني في انتخاب رئيس جديد قد قوّض استقرار لبنان وقدرته على التحمل منذ بداية الصراع في الجمهورية العربية السورية.	3
وتأثرت النساء والأطفال، ولا سيما الفتيات، بالعنف والمنازعات الناشئة حديثا والمرتبطة بانتشار الميليشيات والجماعات المسلحة، التي ترتبط في بعض الحالات بالتطرف العنيف، في حين لا يزال العديد من الصراعات التي طال أمدها دون حل.	1
60 - ويتطلب دعم استعادة الحد الأدنى من سلطة الدولة المستدامة وبسطها على المناطق المحررة من الجماعات المسلحة تعزيز التزام الحكومة بنشر إدارة الدولة، بما في ذلك أفراد الشرطة والقضاء والإصلاحيات بالموارد اللازمة.	2
”ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قوانين مكافحة القرصنة، بما في ذلك من أجل كفالة المحاكمة الفعالة للمشتبه فيهم وسجن المدانين من القراصنة، ويشجع المبادرات الحالية والمقبلة في هذا الصدد.	4
وفي قضية أخرى، نظرت المحكمة مرة أخرى في العناصر المختلفة لهجوم موجه ضد سكان مدنيين كجزء من تعريف الجرائم ضد الإنسانية.	4
واستجابة لذلك، أنشأت إدارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريقا عاملا مشتركا مع ركيزة بناء المؤسسات لدراسة التقرير وتحديد سبل تنفيذ توصياته.	4
43 - يكرر تأكيد ضرورة تعزيز التعاون الجاري بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، وكذلك بين أفرقة الخبراء التابعة لكل منها، بوسائل منها، حسب الاقتضاء، تعزيز تبادل المعلومات والتنسيق بشأن الزيارات إلى البلدان كل في إطار ولايته، وتيسير المساعدة التقنية ورصدها، والعلاقات مع المنظمات والوكالات الدولية والإقليمية، والمسائل الأخرى ذات الصلة باللجان الثلاث جميعها، ويعرب عن اعتزامه تقديم التوجيه إلى اللجان بشأن المجالات ذات الاهتمام المشترك من أجل تنسيق جهودها على نحو أفضل وتيسير هذا التعاون، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لكي يكون مقر الأفرقة في أقرب وقت ممكن؛	2
(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وإيجاد سبل للعمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرة كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، وتقديم إحاطات إلى اللجنة ومنها، وتعزيز ترتيبات تبادل المعلومات؛	2
" ويدين مجلس الأمن بشدة الاستهداف المتعمد للمدنيين في الصراعات المسلحة من جانب المقاتلين ويطالب جميع الأطراف المعنية بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان.	3
ويتعين على الدول أيضا أن تمنع من يمولون الأعمال الإرهابية أو يدبرونها أو ييسرونها أو يرتكبونها من استخدام أقاليم كل منها في تلك الأغراض ضد دول أخرى أو ضد مواطنيها (الفقرة 2 (د)).	2
(د) دعم الأعمال أو الأنشطة التي يقوم بها المدرجون في القائمة وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بالطالبان والتي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان؛	1
(أ) فريق رصد في نيويورك يضم عددا يصل إلى خمسة خبراء، بمن فيهم رئيس، لرصد تنفيذ جميع التدابير المفروضة بموجب القرارين 1267 (1999) و 1333 (2000)، بما في ذلك في ميادين حظر الأسلحة ومكافحة الإرهاب والتشريعات ذات الصلة، وبالنظر إلى الصلة بين شراء الأسلحة وتمويل الإرهاب وغسل الأموال والمعاملات المالية والاتجار بالمخدرات؛	2
وأوقف النظام حوالي ٤٧ فردا يعتقد أنهم جندوا قسرا للانضمام إلى قوات النظام.	1
وبالإضافة إلى ذلك، تقوم كتائب الموت والميليشيات المكونة من عناصر مستقلة بزرع الإرهاب وتنفيذ عمليات الإعدام والاختطاف.	1
(ج) يهيب كذلك بجميع الأطراف المدرجة أسماؤها في مرفقات تقرير الأمين العام عن الأطفال والنزاع المسلح أن تتصدى لجميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد؛	4
وفي الجلسة 4170 المعقودة في 13 تموز/يوليه، اتخذ المجلس القرار 1307 (2000)، الذي أذن فيه، في جملة أمور، بتمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا لمواصلة رصد تجريد شبه الجزيرة من السلاح حتى 15 كانون الثاني/يناير 2001.	2
ويجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم إلى أن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات المفروضة بموجب القرار 1267 (1999)) نظام عادل، وأنه، بدعم متزايد من الدول الأعضاء، يؤكد من جديد هدفه الأصلي المتمثل في تخليص العالم من خطر الإرهاب الذي يشكله تنظيم القاعدة وحركة الطالبان وشركاؤهما المدرجون في القائمة.	2
وثمة مشكلة أخرى هي أنه يبدو أن الحكومة لا تملك موارد عسكرية كافية، لأن العديد من قواتها لا تزال موجودة في الجنوب، وأن القوات الموجودة في دارفور توجد أساسا في المراكز الحضرية الرئيسية.	1
8 أيار/مايو 2006 - حادث عنف وقع في غلينو حيث هوجم ضباط الشرطة الوطنية الشرقية.	1
وأجرى فريق الوساطة مناقشات ثنائية مع الحكومة ومع هيئة التنسيق، التي تتألف من الحركة الوطنية لتحرير أزاواد، والحركة العربية لرزاواد، التي تضم أفرادا من حركة تنسيق الحركات والجبهة الوطنية للمقاومة الثانية، وفصيلا من ائتلاف شعب أزواد من جانب، ومع الحكومة والمنهاج مجموعات مسلحة تتألف من حركة المقاومة الوطنية الإيفوارية، وحزب التحالف الشعبي، وفصيل آخر من حركة المقاومة الوطنية الثانية، فضلا عن أفراد من مجموعة الدعوة التي دعاها المنهاج، من جانب آخر.	4
(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول، والمنظمات دون الإقليمية والإقليمية والدولية، والترتيبات المتعددة الأطراف التي تتناول ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملا بالقرارات 1540 (2004) و 1267 (1999) و 1373 (2001)، مع تقييم مستوى تبادل المعلومات والتنسيق على وجه الخصوص بشأن الزيارات إلى البلدان، وتقديم توصيات محددة، عند الاقتضاء، لتعزيز التعاون.	2
31 - ورحبت الدول والعديد من الجهات الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت اللجنة المنشأة عملا بالقرار 1540 على مواصلة هذا النهج وزيادة ما تبذله بالفعل من جهود مفيدة لتحقيق الشفافية والشمولية.	4
وهاجموا وقتلوا 54 شخصا، وجرحوا 24 آخرين، وحرقوا المنازل قبل أن يتراجعوا بماشية منهوبة وممتلكات منزلية.	1
وقررنا أيضا عقد مناقشتين مواضيعيتين بشأن منع نشوب الصراعات والأطفال في الصراعات المسلحة، في 20 و 26 تموز/يوليه، على التوالي.	4
103 - ونقلت القوات المسلحة لكوت ديفوار جميع أصولها الجوية التي نجت وألحقت بها أضرار إلى قاعدتها الجوية في مطار أبيدجان الدولي.	2
وفي ليرنب (منطقة تيمبوكتو)، حذرت الحركة في أيلول/سبتمبر في اجتماعات علنية مختلفة من أنها ستعاقب أفراد السكان المحليين الذين قدموا معلومات إلى البعثة المتكاملة والقوات الفرنسية، وفي 23 أيلول/سبتمبر، عُثر على جثة رجل مقطوع الرأس في منطقة زويرا الواقعة على بعد 80 كيلومترا شمال تمبكتو، وكان أحد خمسة رجال اختطفهم تنظيم القاعدة في المغرب الإسلامي في 16 أيلول/سبتمبر، واتهمته تلك المنظمة بالتعاون مع القوات الدولية التي اختفت منذ ذلك الحين.	1
121 - والجنجويد الذين يشير إليهم معظم الضحايا في النزاع الحالي هم مليشيات عربية تهاجم قرى هؤلاء الضحايا، وتركب الخيول أو الجمال، وتقتل ونهب وحرق واغتصاب.	1
وبالإضافة إلى ذلك، ينفذ الاتحاد الأوروبي نظاما فوق وطني يهدف إلى ضمان تجميد أموال الإرهابيين وأصولهم داخل جميع الدول الأعضاء فيه.	2
23 - يطلب إلى فريق الدعم التحليلي ورصد الجزاءات أن يقدم، بالتعاون الوثيق مع هيئات الأمم المتحدة الأخرى المعنية بمكافحة الإرهاب، تقريرا إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011) في غضون 180 يوما، وأن يقدم إلى اللجنة في غضون 60 يوما معلومات شفوية أولية مستكملة عن الخطر الذي يشكله المقاتلون الإرهابيون الأجانب المجندون في تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وجميع الجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة أو الذين ينضمون إليها، بما في ذلك ما يلي:	2
وفي وقت لاحق من عام 2006، اعتمدت الجمعية العامة بالإجماع استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب، وهي استراتيجية ذات أهمية كبيرة لإعادة تأكيد الالتزام الجماعي للمجتمع الدولي بمكافحة التهديد المشترك للإرهاب.	2
وفي 23 تشرين الثاني/نوفمبر 2014، فجر تنظيم الدولة الإسلامية في العراق والشام سيارة مفخخة قرب مصنع تنقية في قرية ميدان، الحسكة، مما ألحق أضرارا جسيمة بالمصنع.	1
94 - وعلى الرغم من التقدم المحرز مؤخرا، فإن القيود اللوجستية والسياسية والأمنية ستجعل من الصعب للغاية تسريح وإعادة إدماج 000 180 مقاتل سابق بحلول نهاية فترة اتفاق السلام الشامل.	1
وأعدت الحكومة وفريق الأمم المتحدة القطري، بمدخلات من البنك الدولي، كتيبا عن الأهداف الإنمائية للألفية، يبين معالم تيمور - ليشتي حاليا، ويبين الآثار المترتبة على السياسات بالنسبة لتحقيق الغايات والمؤشرات.	2
غير أنه لا توجد في العديد من مناطق البلد قدرة على الاحتجاز ولا أي محاكم عاملة، تلزم سلطات إنفاذ القانون بالإفراج عن الجناة الخطرين المزعومين أو تطلب من وحدات البعثة أن تحتجز المشتبه فيهم لأسباب تتعلق بالأمن وحماية المدنيين.	1
وقتل ستة رجال ودفنوا في قبور واحدة.	1
وتتولى الإدارة مسؤولية تنظيم وإدارة فيلق حماية كوسوفو، فضلا عن تخطيط وتنسيق وتنفيذ الاستجابة لحالات الطوارئ في حالات الكوارث الطبيعية أو غيرها من الكوارث.	2
وهذه الاحتياطات، المنصوص عليها في القانون الدولي العرفي، هي كما يلي: (أ) يجب على المتحارب (أ) أن يبذل كل ما في وسعه للتحقق من أن الأهداف المراد مهاجمتها ليست ذات طابع مدني؛ (ب) أن يتخذ جميع الاحتياطات الممكنة في اختيار وسائل وأساليب القتال بغية تجنب أو على الأقل التقليل إلى أدنى حد من الإصابات العرضية التي تلحق بالمدنيين أو الأعيان المدنية؛ (ج) أن يمتنع عن شن هجمات يمكن أن يتوقع منها أن تسبب خسائر عرضية في أرواح المدنيين أو إصابات في المدنيين أو الأعيان المدنية تكون مفرطة بالقياس إلى الميزة العسكرية الملموسة والمباشرة المتوقعة؛ (د) أن يوجه إنذاراً مسبقاً وفعالاً بالهجمات التي قد تؤثر على السكان المدنيين، إلا في حالات الهجوم (على النحو المنصوص عليه في المادة 26 من أنظمة لاهاي لعام 1907) أو، على النحو المنصوص عليه في المادة 57 (2) (جيم)، ما لم تسمح الظروف بذلك - أي عندما يعتبر المتحارب أن الهجوم المفاجئ لا غنى عنه.	2
وسنت تشريعات لمكافحة الإرهاب وبذلت جهودا لزيادة تعزيز التنسيق والتعاون الإقليميين، ولا سيما في السياق البحري.	2
وتتصل الشواغل الأمنية الرئيسية بالنشاط الإجرامي والقتال بين الفصائل.	1
7 - تؤكد وجوب محاسبة جميع المسؤولين عن انتهاكات وتجاوزات حقوق الإنسان، وتؤكد ضرورة إجراء تحقيق شامل ومستقل ونزيه يتسق مع المعايير الدولية في الانتهاكات والتجاوزات المزعومة لحقوق الإنسان، لمنع الإفلات من العقاب وكفالة المساءلة التامة؛	3
وتتراوح المواقع بين المواقع التي أنشئت لتعزيز أفراد معينين، مثل شاميل باساييف في الشيشان، أو مجموعات، مثل لاشكار - إي - تاييبا في باكستان، وتلك التي تهدف إلى تبرير الإرهاب المتصل بتنظيم القاعدة بوجه عام، مثل صوت الجهاد، أو التي تقدم تدريبا إرهابيا، مثل البطتر.	1
67 - وأجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع البحارة الأبرياء المحتجزين كرهائن في الصومال حتى يتمكنوا من الانضمام إلى أسرهم.	3
واتهم قادة الحكومة ومؤيدوها، من جانبهم، الحركة الوطنية لكوت ديفوار و ”حركات التمرد“ الأخرى باستخدام القوات الأجنبية وارتكاب الفظائع، ولا سيما قتل العشرات من أفراد الدرك في بواكيه.	3
وتمكنت اللجنة من وضع سرد مفصل ودقيق لأحداث نيسان/أبريل وأيار/مايو التي أسفرت عن خسائر كبيرة في الأرواح وإصابات وأضرار واسعة النطاق في الممتلكات.	2
وتم توفير التدريب لضباط قوات الأمن الوطني (50 في أدري و 42 في أبيشي).	2
وفي حين كان من المتوخى أن تكون المبادرة استجابة لنمو الاتجار بالمخدرات والجريمة المنظمة عبر الوطنية في غرب أفريقيا، فإن وحدات الجريمة عبر الوطنية ستعمل كمراكز دمج لإنفاذ القانون لدعم القدرة التحليلية والتقنية الوطنية والإقليمية على التصدي للتهديدات عبر الوطنية.	2
التدابير المحددة الهدف والمتدرجة كرد على الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة	1
وبعد ثلاثة أيام، اشترت جاليلي 25 بندقية هجومية من طراز AK-47، ومدفعين مضادين للطائرات، و 6 رشاشات من طراز PKM، و 4 رشاشات من طراز RPG-2، وذخيرة.	1
واعترافا بقيمة الإحاطات السنوية التي يقدمها رؤساء العناصر العسكرية، قال المجلس إنه يرحب أيضا بإحاطات مماثلة يقدمها رؤساء عناصر الشرطة لتحسين فهمه للتحديات التشغيلية.	4
وعلاوة على ذلك، حافظت حركة طالبان على قدرتها على استيراد الأسلحة والعتاد واليد العاملة، ويكمن مفتاح النجاح العسكري في تحييد خطوط إمدادها وحرمانها من المناطق الآمنة التي يمكن لمقاتليها أن يرتقوا فيها بين العمليات وتدريب المجندين الجدد.	1
ويؤيد المجلس فكرة إنشاء وحدة للمساعدة في مجال سيادة القانون داخل الأمانة العامة ويتطلع إلى تلقي مقترحات الأمانة العامة بشأن تنفيذ التوصيات الواردة في الفقرة 65 من تقرير الأمين العام عن سيادة القانون والعدالة الانتقالية في مجتمعات الصراع ومجتمعات ما بعد الصراع (S/2004/616).	4
وبالإضافة إلى ذلك، هناك سلسلة من الجماعات الفلسطينية المسلحة العاملة في البلد داخل مخيمات اللاجئين وخارجها.	1
ويعرب المجلس عن بالغ قلقه لأن المدنيين لا يزالون يشكلون أغلبية ضحايا أعمال العنف التي ترتكبها أطراف الصراعات المسلحة، بما في ذلك نتيجة الاستهداف المتعمد، والاستخدام العشوائي والمفرط للقوة، واستخدام المدنيين كدروع بشرية، والعنف الجنسي والجنساني، فضلا عن جميع الأعمال الأخرى التي تنتهك القانون الدولي الواجب التطبيق.	3
٤٨٤ - وفي المناقشات التي جرت مع اللجنة بشأن منهجية لجان الاغتصاب، تم التأكيد إلى حد كبير على الدعاية الواسعة النطاق لولاية اللجان.	4
”ويدعو مجلس الأمن بوروندي إلى منع تقديم أي دعم من أراضيها للجماعات المسلحة في جمهورية الكونغو الديمقراطية.	3
30- وبصفة عامة، كان موقف السلطات الحكومية من اللجنة متعاوناً.	4
كما يشدد على حظر ووقف مواقع الإنترنت التي تحتوي على مواد متطرفة، وعلى تنظيم المشاكل في هذا المجال.	1
وتوصي اللجنة بمقاضاة الأشخاص التالية أسماؤهم فيما يتعلق بحيازة واستخدام ونقل أسلحة الشرطة الوطنية لتيمور - ليشتي بصورة غير مشروعة في 8 أيار/مايو و/أو 21 أيار/مايو: روجريو لوباتو، أوسيبيو سالسينها، أنطونيو دا كروز، فيسنت دا كونسيتشاو، المعروف أيضا باسم راي لوس، ماتيوس دوس سانتوس بيريرا، المعروف أيضا باسم موراكات، لياندرو لوباتو، المعروف أيضا باسم غراي هارانا، أنطونيو لورديس، المعروف أيضا باسم 55، ماركوس دا سيلفا بيدادي، المعروف أيضا باسم لاباداي، فرانسيسكو وسانتا كروز.	3
وقد جرّمت جميع الدول الآن في قوانينها المحلية توفير ملاذ آمن للإرهابيين ومؤيديهم واستخدام أراضيها لارتكاب أعمال إرهابية أو الإعداد لها ضد دول أخرى أو ضد مواطنيها.	1
وبعد الهجوم، توجه جميع سكان المنطقة إلى كايلك.	1
وبعض هؤلاء المجندين الشباب من عصبة الشيوعية من الجيش الماوي والميليشيات تقل أعمارهم عن 18 سنة.	1
31- وتعتبر الدولة أن انتشار المسيحية يشكل تهديداً خطيراً بوجه خاص لأنه يتحدى إيديولوجياً طائفة الشخصية الرسمية ويوفر منبراً للتنظيم الاجتماعي والسياسي والتفاعل خارج نطاق الدولة.	1
وترى هذه الدولة أن هذا النشاط، بأشد أشكاله تطرفاً، كثيراً ما يؤدي إلى التطرف العنيف وفقدان الأرواح.	1
634 - ويتضح من المعلومات التي جمعتها اللجنة وتحققت منها أن الاغتصاب أو غيره من أشكال العنف الجنسي التي ارتكبها الجنجويد والجنود الحكوميون في دارفور كان واسع الانتشار ومنهجيا، وبالتالي يمكن أن يشكل جريمة ضد الإنسانية.	1
وتم فصل النساء والأطفال عن الرجال، وحبسوا في منطقة حول المسجد، ثم أخذوهم بعد ذلك من قبل خاطفيهم ليغتصبوا.	1
وفي ذلك الاجتماع، اتفق الطرفان على زيادة التعاون بشأن مسألتي مسح السكك الحديدية وعودة اللاجئين والمشردين داخليا.	4
452- وبموجب المادة 31 من قانون الأمن القومي، يجوز لضابط الأمن، بموجب أمر صادر عن المدير العام، أن يقوم بإلقاء القبض على شخص أو تفتيشه أو احتجازه أو التحقيق معه، ويكون أمامه ثلاثة أيام لتزويده بأسباب القبض عليه واحتجازه.	1
”ويقر مجلس الأمن بأن الإرهاب لن تهزمه القوة العسكرية وتدابير إنفاذ القانون وعمليات الاستخبارات وحدها، ويشدد على ضرورة معالجة الظروف المؤدية إلى انتشار الإرهاب، بما في ذلك، على سبيل المثال لا الحصر، ضرورة تعزيز الجهود الرامية إلى النجاح في منع الصراعات التي طال أمدها وحلها بالوسائل السلمية، وضرورة تعزيز سيادة القانون وحماية حقوق الإنسان والحريات الأساسية والحكم الرشيد والتسامح والشمولية من أجل توفير بديل قابل للاستمرار لأولئك الذين يمكن أن يكونوا عرضة لتجنيد الإرهابيين وللتطرف المؤدي إلى العنف.	4
" ويؤكد مجلس الأمن من جديد كذلك ضرورة مكافحة الأخطار التي تهدد السلام والأمن الدوليين من جراء الأعمال الإرهابية بجميع الوسائل، وفقا لميثاق الأمم المتحدة.	4
ويشدد على ضرورة الالتزام دون تحفظ بعملية تكامل القوات المسلحة، انطلاقا من روح الاتفاق الشامل والجامع.	4
وقُتل العديد من الأشخاص وأصيب أكثر من 100 شخص بجروح.	1
ويعتقد أن هذه الميليشيات تعمل أساسا في إطار هيكل إداري قبلي.	1
إن التعذيب محظور حظرا باتا بموجب اتفاقيات جنيف، سواء في الصراعات المسلحة الداخلية أو الدولية.	1
