en_es_GOOGLE	QuadClass
Mantuvo numerosos intercambios con el Gobierno marroquí, que, antes de aceptar la reanudación de la diplomacia itinerante, solicitó una reunión para aclarar sus preocupaciones sobre el último informe del Secretario General (S/2014/258), precisando que Marruecos consideraba que esto permitiría que el proceso avanzara de la mejor manera posible.	4
Sin embargo, a pesar de una mayor atención y de los recientes acontecimientos positivos en esta esfera, persisten numerosos desafíos sobre el terreno con respecto a la implementación, en particular desafíos relacionados con una falta continua de claridad en torno al concepto y la puesta en práctica de la protección de los civiles, los mecanismos de coordinación internos y externos, alerta temprana y respuesta rápida, apoyo a las fuerzas de seguridad del gobierno anfitrión, capacidades de tropas y recursos.	3
15. Desde mi informe de 2 de enero de 2008 al Consejo de Seguridad (S/2008/1), la ONUCI ha eliminado todos excepto dos de los 17 puestos de observación que había establecido a lo largo de la línea verde, de conformidad con las disposiciones del Acuerdo de Uagadugú.	2
50. El Relator Especial sobre la promoción y protección de los derechos humanos y las libertades fundamentales en la lucha contra el terrorismo realizó una visita oficial a Burkina Faso del 8 al 12 de abril de 2013, por invitación del Gobierno, para recopilar información sobre la situación actual en Burkina Faso. y así ayudar al Gobierno en sus esfuerzos por luchar contra el terrorismo respetando al mismo tiempo los derechos humanos y promoviendo la aplicación de los instrumentos internacionales.	2
El objetivo del esfuerzo era mejorar la seguridad en la región, fortalecer la Alianza del Valle de Juba y reconciliar al General &quot;Morgan&quot; y la Alianza, que han estado luchando por territorios en el Valle de Juba durante varios años.	2
Los Estados deben abstenerse de inhibir a los actores humanitarios en sus esfuerzos por involucrarse con grupos armados no estatales con fines humanitarios, incluida la realización de actividades destinadas a promover el respeto del derecho internacional humanitario.	3
Insta a los Estados Miembros a garantizar una mayor representación de las mujeres en todos los niveles de toma de decisiones en las instituciones y mecanismos nacionales, regionales e internacionales para la prevención, gestión y resolución de conflictos.	4
38. Encarga al Comité que identifique posibles casos de incumplimiento de las medidas previstas en el párrafo 1 supra y que determine el curso de acción apropiado en cada caso, y solicita al Presidente que, en informes periódicos al Consejo de conformidad con el párrafo 46 infra, proporcionar informes de avance sobre el trabajo del Comité sobre este tema;	2
H. Prevenir y responder a la explotación y el abuso sexuales por parte del personal de las Naciones Unidas, el personal relacionado y los asociados de las Naciones Unidas;	2
6. Sobre la base del examen amplio de todas las listas completado en 2010, de conformidad con el párrafo 25 de la resolución 1822 (2008), desde entonces el Comité ha aplicado numerosos mecanismos para garantizar que la Lista refleje mejor la amenaza que plantea Al-Qaida y garantizar que cada entrada se revisa periódicamente para determinar si continuar en la lista es apropiado.	2
Tres Estados han introducido procedimientos que prohíben la extradición de personas que puedan correr riesgo de tortura o persecución.	2
Garantizar la coordinación e implementación efectiva de la política de acción contra las minas y las directrices de género para los programas de acción contra las minas. Grupo de Trabajo Interinstitucional sobre DDR (presidido por DPKO y PNUD) Establecido por ECPS para mejorar el desempeño de la Organización en el área de DDR, el Grupo de Trabajo Interinstitucional brinda asesoramiento estratégico, incluso sobre necesidades, políticas y estrategias de capacitación; mantiene y revisa el conjunto desarrollado de directrices de las Naciones Unidas sobre DDR; desarrolla y gestiona el Centro de Recursos de DDR de las Naciones Unidas; y facilita la planificación de operaciones de DDR entre los organismos pertinentes de las Naciones Unidas.	2
También expresó que el hecho de que el Parlamento libanés no haya elegido un nuevo Presidente había socavado la estabilidad y la resiliencia del Líbano desde el comienzo del conflicto en la República Árabe Siria.	3
Las mujeres y los niños, en particular las niñas, se han visto afectados por la nueva violencia y los conflictos asociados con la proliferación de milicias y grupos armados, en algunos casos relacionados con el extremismo violento, mientras que muchos conflictos prolongados siguen sin resolverse.	1
60. Para apoyar el restablecimiento y la extensión de un nivel mínimo de autoridad estatal sostenible a zonas libres de grupos armados se requiere un mayor compromiso del Gobierno para desplegar la administración del Estado, incluido el personal policial y judicial y penitenciario, con los recursos necesarios.	2
&quot;El Consejo de Seguridad insta a los Estados y las organizaciones internacionales, así como al sector privado, a compartir pruebas, información e inteligencia, según corresponda, con fines de aplicación de la ley contra la piratería, incluso para garantizar el enjuiciamiento efectivo de los piratas sospechosos y el encarcelamiento de los piratas condenados. y alienta las iniciativas existentes y futuras a este respecto.	4
En otro caso, el Tribunal volvió a considerar los diferentes elementos de un ataque dirigido contra una población civil como parte de la definición de crímenes de lesa humanidad.	4
En respuesta, el Departamento de Justicia de la UNMIK estableció un grupo de trabajo conjunto con el pilar de desarrollo institucional para estudiar el informe y desarrollar formas de implementar sus recomendaciones.	4
43. Reitera la necesidad de mejorar la cooperación actual entre el Comité, el Comité contra el Terrorismo (CTC) y el Comité establecido en virtud de la resolución 1540 (2004), así como sus respectivos grupos de expertos, incluso mediante, según proceda, una mayor información. intercambio, coordinación de visitas a países dentro de sus respectivos mandatos, facilitación y seguimiento de la asistencia técnica, relaciones con organizaciones y organismos internacionales y regionales y otras cuestiones de importancia para los tres comités, expresa su intención de proporcionar orientación a los comités sobre áreas de interés común para coordinar mejor sus esfuerzos y facilitar dicha cooperación, y solicita al Secretario General que adopte las medidas necesarias para que los grupos se instalen en el mismo lugar lo antes posible;	2
a) Continuar mejorando su cooperación con organizaciones internacionales, regionales y subregionales y desarrollar formas de operar con esas organizaciones caso por caso, reflejando la variación en la capacidad y el mandato de cada organización, incluidos intercambios a nivel de trabajo, reuniones de información hacia y desde el Comité y mejores acuerdos para el intercambio de información;	2
&quot;El Consejo de Seguridad condena enérgicamente los ataques deliberados contra civiles por parte de combatientes en conflictos armados y exige que todos los interesados pongan fin a esas violaciones del derecho internacional humanitario y de los derechos humanos.	3
Los Estados también deben impedir que quienes financian, planifican, facilitan o cometen actos terroristas utilicen sus respectivos territorios con esos fines contra otros Estados o sus ciudadanos (párr. 2 d)).	2
d) Apoyar de otro modo actos o actividades de las personas designadas y de otras personas, grupos, empresas y entidades asociadas con los talibanes que constituyan una amenaza a la paz, la estabilidad y la seguridad del Afganistán;	1
a) un Grupo de Supervisión en Nueva York integrado por hasta cinco expertos, incluido un Presidente, para supervisar la aplicación de todas las medidas impuestas por las resoluciones 1267 (1999) y 1333 (2000), incluidas las relativas a los embargos de armas, la lucha contra terrorismo y legislación conexa y, en vista del vínculo con la compra de armas y la financiación del terrorismo, el blanqueo de capitales, las transacciones financieras y el tráfico de drogas; y	2
El régimen arrestó a aproximadamente 47 personas que se cree que fueron reclutadas por la fuerza para unirse a las fuerzas del régimen.	1
Además, escuadrones de la muerte y milicias compuestas por elementos autónomos están sembrando el terror y llevando a cabo ejecuciones y secuestros.	1
c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que aborden todas las demás violaciones y abusos cometidos contra los niños y contraigan compromisos y medidas específicas a este respecto;	4
En su 4170ª sesión, celebrada el 13 de julio, el Consejo aprobó la resolución 1307 (2000), en la que, entre otras cosas, autorizó la prórroga del mandato de la MONUP para seguir supervisando la desmilitarización de la península hasta el 15 de enero de 2001.	2
El objetivo del Consejo de Seguridad debe ser ahora asegurar a los tribunales que el régimen de sanciones establecido de conformidad con la resolución 1267 (1999) del Consejo de Seguridad (el régimen de sanciones 1267) es justo y, con el mayor apoyo de los Estados Miembros, reafirmar su propósito original de librar al mundo de la amenaza del terrorismo de Al-Qaida, los talibanes y sus asociados incluidos en la lista.	2
Un problema adicional era el hecho de que el Gobierno aparentemente no poseía suficientes recursos militares, ya que muchas de sus fuerzas todavía estaban ubicadas en el sur y las presentes en Darfur estaban ubicadas principalmente en los principales centros urbanos.	1
8 de mayo de 2006 Incidente de violencia en Gleno en el que se ataca a agentes de la PNTL oriental.	1
El equipo de mediación mantuvo conversaciones bilaterales con el Gobierno y la Coordinación, compuesta por el Movimiento Nacional para la Liberación de Azawad (MNLA), el Alto Consejo para la Unidad de Azawad (HCUA) y el Movimiento Árabe de la Azawad (MAA), junto con personas de la Coordination des mouvements et fronts patriotiques de résistance II (CMFPR-II) y una facción de la Coalition du peuple de l&#39;Azawad (CPA), por un lado, y con el Gobierno y la Plataforma grupos armados compuestos por CMFPR-I, CPA y la otra facción del MAA, así como individuos del Groupe d&#39;autodéfense touareg Imghad et alliés (GATIA) invitados por la Plataforma, por el otro.	4
h) Desarrollar metodologías para mejorar la eficacia de la cooperación con Estados individuales, organizaciones subregionales, regionales e internacionales, acuerdos multilaterales que se ocupan del control de las exportaciones y entidades pertinentes dentro del sistema de las Naciones Unidas, y evaluar el nivel de cooperación entre los comités establecidos de conformidad con resoluciones 1540 (2004), 1267 (1999) y 1373 (2001), evaluando, en particular, el nivel de intercambio de información y coordinación de las visitas a los países, y formulando recomendaciones específicas, si procede, para mejorar la cooperación.	2
31. Los Estados y muchos actores internacionales acogieron con agrado la apertura del proceso de revisión integral e instaron al Comité 1540 a continuar con este enfoque y aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusión.	4
Atacaron y mataron a 54 personas, hirieron a otras 24 e incendiaron casas antes de retirarse con ganado y propiedades familiares saqueadas.	1
También hemos programado dos debates temáticos, sobre la prevención de conflictos y los niños en los conflictos armados, los días 20 y 26 de julio, respectivamente.	4
103. La FACI ha trasladado todos sus activos aéreos supervivientes y dañados a su base aérea del Aeropuerto Internacional de Abidján.	2
En Lerneb (región de Tombuctú), en septiembre, MAA (Plataforma) advirtió en varias reuniones públicas que castigaría a los miembros de la población local que proporcionaran información a la MINUSMA y a las fuerzas francesas. El 23 de septiembre se encontró el cuerpo de un hombre decapitado en la zona de Zouera, 80 kilómetros al norte de Tombuctú. Fue uno de los cinco hombres secuestrados el 16 de septiembre por AQMI y acusados por esa organización de colaboración con fuerzas internacionales, que desde entonces han desaparecido.	1
121. Los Janjaweed a quienes se refieren la mayoría de las víctimas en el conflicto actual son milicias árabes que asaltan las aldeas de esas víctimas, montados en caballos o camellos, y matan, saquean, queman y violan.	1
Además, la Unión Europea implementa un régimen supranacional destinado a garantizar que los fondos y activos terroristas estén congelados dentro de todos sus Estados miembros.	2
23. Solicita al Equipo de Apoyo Analítico y Vigilancia de las Sanciones que, en estrecha cooperación con otros órganos de las Naciones Unidas contra el terrorismo, informe al Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011) en un plazo de 180 días y presente un informe oral preliminar actualizar al Comité en un plazo de 60 días sobre la amenaza que representan los combatientes terroristas extranjeros reclutados por el EIIL, el FAN y todos los grupos, empresas y entidades asociados con Al-Qaida o que se unen a ellos, incluidos:	2
Posteriormente, en 2006, la Asamblea General adoptó por unanimidad la Estrategia Global de las Naciones Unidas contra el Terrorismo, que fue de gran importancia para reafirmar el compromiso colectivo de la comunidad internacional de combatir la amenaza común del terrorismo.	2
Estaciones de agua o El 23 de noviembre de 2014, ISIS detonó un coche bomba cerca de una planta de purificación en la aldea de Midan, Hasakeh, dañando gravemente la planta. Plantas de energía	1
94. A pesar de los recientes avances, las limitaciones logísticas, políticas y de seguridad harán extremadamente difícil la desmovilización y reintegración previstas de 180.000 excombatientes antes de que finalice el período del Acuerdo General de Paz.	1
El Gobierno y el equipo de las Naciones Unidas en el país, con aportaciones del Banco Mundial, prepararon un folleto sobre los Objetivos, en el que se esboza la situación actual de Timor-Leste y se exponen las implicaciones políticas para el logro de metas e indicadores.	2
Sin embargo, en muchas zonas del país no hay capacidad de detención ni tribunales en funcionamiento, lo que obliga a las autoridades encargadas de hacer cumplir la ley a liberar a los perpetradores presuntamente peligrosos o solicitar que los contingentes de la MONUC confinan a los sospechosos por razones de seguridad y protección de los civiles.	1
Seis hombres fueron asesinados y enterrados en tumbas individuales.	1
El Departamento es responsable de la gestión y administración del Cuerpo de Protección de Kosovo (KPC), así como de la planificación, coordinación y ejecución de la respuesta de emergencia a desastres naturales o de otro tipo.	2
Esas precauciones, establecidas en el derecho internacional consuetudinario, son las siguientes: un beligerante debe (a) hacer todo lo posible para verificar que los objetivos que se van a atacar no sean de carácter civil; b) tomar todas las precauciones posibles al elegir los medios y métodos de combate con miras a evitar o al menos minimizar los daños incidentales a civiles o bienes de carácter civil; c) abstenerse de lanzar ataques que puedan causar pérdidas incidentales de vidas civiles o lesiones a personas civiles o a bienes de carácter civil y que sean excesivos en relación con la ventaja militar concreta y directa prevista; (d) dar aviso previo efectivo de ataques que puedan afectar a la población civil, excepto en casos de asalto (según lo previsto en el artículo 26 del Reglamento de La Haya de 1907) o, según lo previsto en el artículo 57(2)(C), a menos que las circunstancias no lo permitan, es decir, cuando un beligerante considere indispensable un ataque sorpresa.	2
Han promulgado legislación antiterrorista y han hecho esfuerzos para fortalecer aún más la coordinación y la cooperación regionales, especialmente en el contexto marítimo.	2
Las principales preocupaciones en materia de seguridad están relacionadas con la actividad criminal y las luchas entre facciones.	1
Destaca que todos los responsables de violaciones y abusos de los derechos humanos deben rendir cuentas, y subraya la necesidad de una investigación exhaustiva, independiente e imparcial, coherente con las normas internacionales, sobre los presuntos abusos y violaciones de los derechos humanos, para evitar la impunidad y garantizar la plena rendición de cuentas;	3
Los sitios van desde los creados para promover a personas concretas, como Shamil Basayev en Chechenia, o grupos, como Lashkar-E-Tayyiba en el Pakistán, hasta aquellos que pretenden justificar el terrorismo relacionado con Al-Qaida en general, como Voice of Jihad, u ofrecer entrenamiento terrorista, como Al-Battar.	1
67. Renuevo mi llamamiento a la liberación inmediata e incondicional de todos los marinos inocentes mantenidos como rehenes en Somalia para que puedan reunirse con sus familias.	3
Los líderes y partidarios del gobierno, por su parte, acusaron al MPCI y otros &quot;movimientos rebeldes&quot; de utilizar fuerzas extranjeras y cometer atrocidades, en particular el asesinato de decenas de miembros de la gendarmería en Bouaké.	3
La Comisión ha podido establecer una descripción detallada y precisa de los acontecimientos de abril y mayo que provocaron importantes pérdidas de vidas, heridos y daños materiales generalizados.	2
Se impartió formación a agentes de las fuerzas de seguridad nacionales (50 en Adré y 42 en Abéché).	2
Si bien la Iniciativa se concibió en respuesta al crecimiento del tráfico de drogas y la delincuencia organizada transnacional en África occidental, las unidades contra la delincuencia transnacional funcionarán como centros de fusión de las fuerzas del orden para apoyar la capacidad técnica y analítica nacional y regional para responder a las amenazas transnacionales.	2
Medidas específicas y graduales como respuesta al tráfico ilícito de armas pequeñas y ligeras	1
Tres días después, los Jaleele compraron 25 rifles de asalto AK-47, 2 cañones antiaéreos, 6 ametralladoras PKM, 4 RPG-2 y municiones.	1
Reconociendo el valor de las sesiones informativas anuales de los jefes de los componentes militares, el Consejo dijo que también acogería con agrado sesiones informativas similares de los jefes de los componentes policiales para mejorar su comprensión de los desafíos operacionales.	4
Además, los talibanes han mantenido su capacidad de importar armas, material y mano de obra, y la clave del éxito militar reside en neutralizar sus líneas de suministro y negarles zonas seguras donde sus combatientes puedan recuperarse entre operaciones y entrenar nuevos reclutas.	1
El Consejo apoya la idea de establecer una unidad de asistencia sobre el estado de derecho dentro de la Secretaría y espera recibir las propuestas de la Secretaría para la implementación de las recomendaciones establecidas en el párrafo 65 del informe del Secretario General sobre el estado de derecho y la justicia de transición en los conflictos. y las sociedades que salen de conflictos (S/2004/616).	4
Además, hay una serie de grupos armados palestinos operando en el país dentro y fuera de los campos de refugiados.	1
El Consejo expresa su profunda preocupación porque los civiles siguen representando la mayoría de las víctimas de actos de violencia cometidos por partes en conflictos armados, incluso como resultado de ataques deliberados, uso indiscriminado y excesivo de la fuerza, uso de civiles como escudos humanos y de violencia sexual y de género, así como todos los demás actos que violen el derecho internacional aplicable.	3
484. En las conversaciones con la Comisión sobre la metodología de los comités de violación, se destacó mucho la amplia publicidad del mandato de los comités.	4
&quot;El Consejo de Seguridad pide a Burundi que impida cualquier apoyo desde su territorio a grupos armados en la República Democrática del Congo.	3
30. En términos generales, la actitud de las autoridades gubernamentales hacia la Comisión ha sido de cooperación.	4
También hace hincapié en la prohibición y el bloqueo de sitios de Internet que contengan materiales extremistas y en la regulación de los problemas en este ámbito.	1
La Comisión recomienda que las siguientes personas sean procesadas por posesión, uso y movimiento ilegales de armas de la PNTL los días 8 y/o 21 de mayo: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da Conceição, alias Rai Los, Mateus dos Santos Pereira, alias Maurakat, Leandro Lobato, alias Gray Harana, Antonio Lurdes, alias 55, Marcos da Silva Piedade, alias Labadae, Francisco y Santa Cruz.	3
Todos los Estados han tipificado ahora como delito en su derecho interno la provisión de refugio seguro a los terroristas y sus partidarios y el uso de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos.	1
Después del ataque, toda la población de la zona se dirigió a Kailek.	1
Algunos de estos reclutas de la Liga de Jóvenes Comunistas del ejército y la milicia maoístas tienen menos de 18 años.	1
31. El Estado considera que la difusión del cristianismo es una amenaza particularmente grave, ya que cuestiona ideológicamente el culto oficial a la personalidad y proporciona una plataforma para la organización y la interacción social y política fuera del ámbito del Estado.	1
A juicio de este Estado, esa actividad, en su forma más extrema, a menudo conduce al extremismo violento y a la pérdida de vidas.	1
634. De la información recopilada y verificada por la Comisión se desprende claramente que la violación u otras formas de violencia sexual cometidas por los Janjaweed y los soldados del Gobierno en Darfur fueron generalizadas y sistemáticas y, por lo tanto, bien pueden constituir un crimen de lesa humanidad.	1
Las mujeres y los niños fueron separados de los hombres, confinados en un área alrededor de la mezquita y luego sus captores se los llevaron para violarlos.	1
En esa reunión las partes acordaron una mayor cooperación en los temas de la inspección ferroviaria y el regreso de los refugiados y desplazados internos.	4
452. Según el artículo 31 de la Ley de Seguridad Nacional, en virtud de una orden emitida por el Director General, un agente de seguridad puede llevar a cabo un arresto, un registro o detener e investigar a una persona. Dispone de tres días para comunicar al detenido los motivos de su arresto y detención.	1
&quot;El Consejo de Seguridad reconoce que el terrorismo no será derrotado únicamente mediante la fuerza militar, medidas de aplicación de la ley y operaciones de inteligencia, y subraya la necesidad de abordar las condiciones que favorecen la propagación del terrorismo, incluida, entre otras, la necesidad de fortalecer esfuerzos para la prevención exitosa y la resolución pacífica de conflictos prolongados, y la necesidad de promover el estado de derecho, la protección de los derechos humanos y las libertades fundamentales, la buena gobernanza, la tolerancia y la inclusión para ofrecer una alternativa viable a aquellos que podrían ser susceptibles a ataques terroristas. reclutamiento y radicalización que conduce a la violencia.	4
&quot;El Consejo de Seguridad reafirma además la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas.	4
Destaca la necesidad de un compromiso sin reservas con el proceso de integración de las fuerzas armadas, en el espíritu del Acuerdo Global e Inclusivo.	4
Muchas personas murieron y más de 100 resultaron heridas.	1
Se cree que estas milicias operan principalmente bajo una estructura de gestión tribal.	1
La tortura está absolutamente prohibida por los Convenios de Ginebra, tanto en conflictos armados internos como internacionales.	1
VIII. Prohibición de viajar 116. El Equipo de Vigilancia sigue considerando la prohibición de viajar como una importante medida de sanciones contra Al-Qaida y los talibanes, pero observa el ingenio demostrado por los terroristas que intentan cruzar las fronteras nacionales sin ser detectados.	1
285. En algunos Estados, las definiciones vagas o demasiado amplias de delitos terroristas siguen planteando un problema para la aplicación efectiva de la resolución 1373 (2001).	1
Si Afganistán se vuelve menos atractivo en términos de objetivos para los grupos militantes, es posible que reorienten sus esfuerzos en su propio país o en otros países.	1
o El 8 de noviembre de 2014, las fuerzas del régimen atacaron la ciudad de Sheikh Miskeen y mataron a cinco personas, entre ellas dos niños y dos mujeres.	1
En general, se acepta que la escalada coincidió con la intensificación del conflicto armado interno entre el Gobierno y los dos movimientos rebeldes, el Movimiento/Ejército de Liberación del Sudán y el Movimiento Justicia e Igualdad.	1
64. La cuestión de las armas pequeñas no puede abordarse únicamente con medidas de control de armamentos. Es parte integral de un espectro más amplio, en el que se cruzan los conflictos, la seguridad, la violencia armada, el crimen, el comercio, los derechos humanos, la salud y el desarrollo.	1
La perspectiva de la PNTL expresada a la Comisión fue que los peticionarios debían ser arrestados y entregados a la PNTL sólo si estaban en movimiento, y que no se autorizaban operaciones para capturar a los peticionarios.	1
123. Cuando las milicias atacan conjuntamente con las fuerzas armadas, se puede considerar que actúan bajo el control efectivo del Gobierno, de conformidad con la noción de control establecida en 1999 en Tadić (Apelación), en los párrafos 98 a 145.	1
3. Los sistemas comerciales de doble uso se producen con fines civiles, pero también pueden utilizarse en ataques terroristas.	1
Durante el ataque se utilizaron dos helicópteros artillados y un avión Antonov, posiblemente con fines de reconocimiento.	1
También sorprende que ningún elemento perteneciente a las llamadas fuerzas paralelas haya podido ser arrestado y procesado por estos crímenes.	2
Destacar la necesidad de excluir y rechazar cualquier forma de amnistía por genocidio, crímenes de lesa humanidad, crímenes de guerra u otras violaciones graves de los derechos humanos en los procesos de resolución de conflictos, y garantizar que ninguna amnistía concedida anteriormente sea un impedimento. a ser procesado ante cualquier tribunal creado o asistido por las Naciones Unidas.	4
A partir de dicha fecha, esa decisión estableció una prohibición de los vínculos comerciales, económicos, financieros, de transporte y de otro tipo con Abjasia a nivel estatal.	1
Dijeron: &quot;¿Por qué os quedáis aquí, esclavos?&quot;.	3
De los 168 niños, 135 fueron secuestrados con fines de reclutamiento, mientras que 33 fueron secuestrados con fines culturales y políticos o por otros motivos.	1
Otro celebró un seminario internacional en 2009 sobre el fortalecimiento de la cooperación y el diálogo en la lucha contra el terrorismo entre los organismos gubernamentales, los medios de comunicación y la sociedad civil.	4
En respuesta a la pandemia de influenza A (H1N1), desde mediados de 2009 hasta agosto de 2010, el Ministerio de Salud, con el apoyo de la OMS, elaboró planes de preparación para una pandemia, incluida la mejora de sus sistemas de vigilancia; obtuvo tabletas de Tamiflu; instaló un ventilador en el hospital nacional; y llevó a cabo una serie de sesiones de capacitación para trabajadores de la salud.	2
408. En lo que respecta al derecho internacional humanitario, el artículo 3 común a los Convenios de Ginebra prohíbe los actos de violencia contra la vida y las personas, incluidos los tratos crueles y la tortura, la toma de rehenes y los atentados contra la dignidad personal, en particular los tratos humillantes y degradantes.	1
Al cabo de media hora llegaron otros tres jeeps procedentes de Chad apoyados por un helicóptero militar y se produjo de nuevo un enfrentamiento con la unidad militar sudanesa en el que resultaron heridos un soldado y varios civiles.	1
En Darfur Meridional, uno de los enfrentamientos más devastadores se produjo el 19 de septiembre, cuando el SLM/A atacó posiciones de las Fuerzas Armadas Sudanesas en la aldea de Shaeria y sus alrededores.	1
El Consejo de Seguridad también reitera su apoyo al Representante Especial del Secretario General, Sr. Ahmedou Ould-Abdallah, por sus esfuerzos para hacer avanzar el proceso político en Somalia.	4
35. La Dirección Ejecutiva propone tres ajustes menores a su organización y práctica operativa para reflejar mejor el cambio de prioridades y las nuevas actividades propuestas.	4
▪ Coordinación sistemática, entre los componentes civil y militar de la misión y entre la misión y los actores humanitarios, para consolidar conocimientos sobre la protección de civiles.	2
o El 30 de noviembre de 2014, aviones de combate del régimen lanzaron un misil contra la ciudad de Andan, matando a 11 personas, entre ellas 1 niño. Deraa	1
De conformidad con las orientaciones políticas del Comité sobre derechos humanos y lucha contra el terrorismo, la Dirección Ejecutiva incorpora los derechos humanos en su estrategia de comunicaciones, destacando que los Estados deben garantizar que sus medidas contra el terrorismo cumplan con sus obligaciones en virtud del derecho internacional.	4
&quot;El Consejo de Seguridad acoge con satisfacción la resolución A/RES/64/289 de la Asamblea General que establece la Entidad de las Naciones Unidas para la Igualdad de Género y el Empoderamiento de las Mujeres (ONU Mujeres), que estará plenamente operativa en enero de 2011.	4
17. Para el cumplimiento de la cuarta tarea, la Comisión consideró necesario hacer una evaluación preliminar del grado en que el sistema de justicia penal sudanés ha podido y ha estado dispuesto a procesar y enjuiciar a los presuntos autores de crímenes internacionales perpetrados en Darfur, y luego considere los diversos mecanismos internacionales existentes disponibles.	2
33. De conformidad con el Decreto Presidencial Nº 2004-236 por el que se movilizaron las fuerzas armadas nacionales y las instrucciones recibidas durante la reunión del 24 de marzo entre el Presidente, el Primer Ministro, los Ministros de Defensa y Seguridad Interior, así como los jefes de la policía nacional interesados , la gendarmería y las FANCI, las fuerzas de seguridad estaban desplegadas en muchas zonas de la periferia de la ciudad, en particular en los lugares donde estaba previsto que se celebraran reuniones de protesta y manifestaciones.	1
44. La Oficina Conjunta de Derechos Humanos de las Naciones Unidas siguió investigando presuntas violaciones de los derechos humanos y del derecho internacional humanitario cometidas tanto por grupos armados como por fuerzas de seguridad nacionales.	2
Es necesaria una aplicación más eficaz de la resolución 1624 (2005), que fomenta el diálogo y el entendimiento entre religiones y culturas a fin de contrarrestar la incitación a actos terroristas motivados por el extremismo y la intolerancia.	4
Para ello, uno de los instrumentos a disposición de los Estados Miembros es el Registro de Armas Convencionales de las Naciones Unidas. Incluye datos proporcionados por los Estados sobre transferencias internacionales de armas, así como información sobre existencias militares, adquisiciones a través de la producción nacional y políticas pertinentes.	2
