en_es_DEEPL	QuadClass
Reconociendo el valor de las sesiones informativas anuales a cargo de los jefes de los componentes militares, el Consejo declaró que también acogería con satisfacción la celebración de sesiones informativas similares a cargo de los jefes de los componentes policiales, a fin de mejorar su comprensión de los retos operativos.	4
Además, los talibanes han mantenido su capacidad de importar armas, material y mano de obra, y la clave del éxito militar reside en neutralizar sus líneas de suministro y en negarles zonas seguras donde sus combatientes puedan recuperarse entre operaciones y entrenar a nuevos reclutas.	1
El Consejo apoya la idea de crear una unidad de asistencia al Estado de Derecho dentro de la Secretaría y espera con interés recibir las propuestas de la Secretaría para la aplicación de las recomendaciones que figuran en el apartado 65 del informe del Secretario General sobre el Estado de Derecho y la justicia de transición en las sociedades que sufren o han sufrido conflictos (S/2004/616).	4
Además, hay una serie de grupos armados palestinos que operan en el país dentro y fuera de los campos de refugiados.	1
El Consejo expresa su más profunda preocupación por el hecho de que los civiles sigan constituyendo la mayoría de las víctimas de los actos de violencia cometidos por las partes en los conflictos armados, en particular como consecuencia de los ataques deliberados contra ellos, del uso indiscriminado y excesivo de la fuerza, de la utilización de civiles como escudos humanos y de la violencia sexual y de género, así como de todos los demás actos que violan el Derecho internacional aplicable.	3
484. En las discusiones con la Comisión sobre la metodología de los comités de violación, se hizo mucho hincapié en la amplia publicidad del mandato de los comités.	4
"El Consejo de Seguridad pide a Burundi que impida todo apoyo desde su territorio a los grupos armados de la República Democrática del Congo.	3
30. En general, la actitud de las autoridades gubernamentales hacia la Comisión ha sido de cooperación.	4
También hace hincapié en la prohibición y el bloqueo de sitios de Internet que contengan material extremista y en la regulación de los problemas en este campo.	1
La Comisión recomienda que se procese a las siguientes personas en relación con la posesión, uso y circulación ilegales de armas de la PNTL el 8 de mayo y/o el 21 de mayo: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da Conceição, alias Rai Los, Mateus dos Santos Pereira, alias Maurakat, Leandro Lobato, alias Grey Harana, Antonio Lurdes, alias 55, Marcos da Silva Piedade, alias Labadae, Francisco y Santa Cruz.	3
En la actualidad, todos los Estados han tipificado como delito en su derecho interno la provisión de refugio seguro a terroristas y a quienes les apoyan, así como la utilización de sus territorios para cometer o preparar actos terroristas contra otros Estados o sus ciudadanos.	1
Tras el ataque, toda la población de la zona se dirigió a Kailek.	1
Algunos de estos reclutas de las Juventudes Comunistas procedentes del ejército y la milicia maoístas son menores de 18 años.	1
31. El Estado considera la propagación del cristianismo una amenaza especialmente grave, ya que desafía ideológicamente el culto oficial a la personalidad y proporciona una plataforma para la organización y la interacción social y política fuera del ámbito del Estado.	1
En opinión de este Estado, dicha actividad, en su forma más extrema, suele conducir al extremismo violento y a la pérdida de vidas humanas.	1
634. De la información recopilada y verificada por la Comisión se desprende que las violaciones u otras formas de violencia sexual cometidas por los Janjaweed y los soldados del Gobierno en Darfur fueron generalizadas y sistemáticas, por lo que bien podrían constituir un crimen contra la humanidad.	1
Las mujeres y los niños fueron separados de los hombres, confinados en una zona alrededor de la mezquita y posteriormente llevados por sus captores para ser violados.	1
En dicha reunión, las partes acordaron seguir cooperando en las cuestiones del estudio ferroviario y el retorno de los refugiados y desplazados internos.	4
452. En virtud del artículo 31 de la Ley de seguridad nacional, por orden del Director General un agente de seguridad puede llevar a cabo una detención, un registro o detener e investigar a una persona. Dispone de tres días para comunicar al detenido los motivos de su arresto y detención.	1
"El Consejo de Seguridad reconoce que el terrorismo no será derrotado únicamente por la fuerza militar, las medidas de aplicación de la ley y las operaciones de inteligencia, y subraya la necesidad de abordar las condiciones que propician la propagación del terrorismo, incluidas, entre otras, la necesidad de redoblar los esfuerzos para prevenir con éxito y resolver pacíficamente los conflictos prolongados, y la necesidad de promover el Estado de Derecho, la protección de los derechos humanos y las libertades fundamentales, la buena gobernanza, la tolerancia y la inclusión para ofrecer una alternativa viable a quienes podrían ser susceptibles de ser reclutados por terroristas y de radicalizarse para desembocar en la violencia".	4
"El Consejo de Seguridad reafirma además la necesidad de combatir por todos los medios, de conformidad con la Carta de las Naciones Unidas, las amenazas a la paz y la seguridad internacionales causadas por actos terroristas.	4
Subraya la necesidad de un compromiso sin reservas con el proceso de integración de las fuerzas armadas, en el espíritu del Acuerdo Global e Integrador.	4
Muchas personas murieron y más de 100 resultaron heridas.	1
Se cree que estas milicias operan principalmente bajo una estructura de gestión tribal.	1
La tortura está absolutamente prohibida por los Convenios de Ginebra, tanto en conflictos armados internos como internacionales.	1
VIII. Prohibición de viajar 116. El Equipo de Vigilancia sigue considerando que la prohibición de viajar es una importante medida de sanción contra Al-Qaida y los talibanes, pero señala el ingenio de que hacen gala los terroristas que intentan cruzar las fronteras nacionales sin ser detectados.	1
285. En algunos Estados, las definiciones vagas o demasiado amplias de los delitos de terrorismo siguen planteando un problema para la aplicación efectiva de la resolución 1373 (2001).	1
Si Afganistán se vuelve menos atractivo en términos de objetivos para los grupos militantes, éstos podrían volver a centrar sus esfuerzos en su propio país o en otros.	1
o El 8 de noviembre de 2014, las fuerzas del régimen atacaron la ciudad de Sheikh Miskeen, matando a 5 personas, entre ellas 2 niños y 2 mujeres.	1
Hay acuerdo general en que la escalada coincidió con la intensificación del conflicto armado interno entre el Gobierno y los dos movimientos rebeldes, el Movimiento/Ejército de Liberación de Sudán y el Movimiento Justicia e Igualdad.	1
64. La cuestión de las armas ligeras no puede abordarse únicamente con medidas de control de armamento. Es parte integrante de un espectro más amplio, en el que se entrecruzan los conflictos, la seguridad, la violencia armada, la delincuencia, el comercio, los derechos humanos, la salud y el desarrollo.	1
La perspectiva de la PNTL expuesta a la Comisión era que los peticionarios debían ser detenidos y entregados a la PNTL sólo si se desplazaban, y que no se autorizaba ninguna operación para capturar a los peticionarios.	1
123. Cuando las milicias atacan conjuntamente con las fuerzas armadas, puede sostenerse que actúan bajo el control efectivo del Gobierno, en consonancia con la noción de control establecida en 1999 en Tadić (Apelación), en los apartados 98 a 145.	1
3. Los sistemas comerciales de doble uso se producen con fines civiles pero también pueden utilizarse en atentados terroristas.	1
Durante el ataque se utilizaron dos helicópteros artillados y un avión Antonov, posiblemente con fines de reconocimiento.	1
También resulta sorprendente que ningún elemento perteneciente a las denominadas fuerzas paralelas pudiera ser detenido y procesado por estos delitos.	2
Subrayar la necesidad de excluir y rechazar cualquier forma de amnistía por genocidio, crímenes contra la humanidad, crímenes de guerra u otras violaciones graves de los derechos humanos en los procesos de resolución de conflictos, así como el respaldo a dicha amnistía, y garantizar que ninguna amnistía de este tipo concedida con anterioridad impida el enjuiciamiento ante cualquier tribunal creado o asistido por las Naciones Unidas.	4
Dicha decisión estableció a partir de la citada fecha la prohibición de los vínculos comerciales, económicos, financieros, de transporte y de otro tipo con Abjasia a nivel estatal.	1
Me dijeron: "¿Por qué os quedáis aquí, esclavos?	3
De los 168 niños, 135 fueron secuestrados con fines de reclutamiento, mientras que 33 lo fueron para programas culturales y políticos o por otros motivos.	1
En 2009 se celebró otro seminario internacional sobre el fortalecimiento de la cooperación antiterrorista y el diálogo entre los organismos gubernamentales, los medios de comunicación y la sociedad civil.	4
En respuesta a la pandemia de gripe A (H1N1), desde mediados de 2009 hasta agosto de 2010, el Ministerio de Sanidad, con el apoyo de la OMS, elaboró planes de preparación para la pandemia, incluida la mejora de sus sistemas de vigilancia; obtuvo comprimidos de Tamiflu; instaló un respirador en el hospital nacional; y llevó a cabo una serie de sesiones de formación para el personal sanitario.	2
408. En cuanto al derecho internacional humanitario, el artículo 3 común a los Convenios de Ginebra prohíbe los actos de violencia contra la vida y la persona, incluidos los tratos crueles y la tortura, la toma de rehenes y los ultrajes a la dignidad personal, en particular los tratos humillantes y degradantes.	1
Al cabo de media hora, llegaron otros tres jeeps desde Chad apoyados por un helicóptero militar y de nuevo se produjo un enfrentamiento con la unidad militar sudanesa en el transcurso del cual resultaron heridos un soldado y varios civiles.	1
En Darfur meridional, uno de los enfrentamientos más devastadores se produjo el 19 de septiembre, cuando el SLM/A atacó posiciones de las Fuerzas Armadas sudanesas en la aldea de Shaeria y sus alrededores.	1
El Consejo de Seguridad reitera también su apoyo al Representante Especial del Secretario General, Sr. Ahmedou Ould-Abdallah, por sus esfuerzos para hacer avanzar el proceso político en Somalia.	4
35. La Dirección Ejecutiva propone tres ajustes menores en su organización y práctica operativa para reflejar mejor el cambio de sus prioridades y las nuevas actividades propuestas.	4
▪ Coordinación sistemática, entre los componentes civil y militar de la misión y entre la misión y los actores humanitarios, con el fin de consolidar los conocimientos especializados en materia de protección de civiles.	2
o El 30 de noviembre de 2014, aviones de guerra del régimen lanzaron un misil contra la ciudad de Andan, matando a 11 personas, entre ellas un niño. Dar`a	1
En consonancia con las orientaciones políticas del Comité sobre derechos humanos y lucha antiterrorista, la Dirección Ejecutiva incorpora los derechos humanos a su estrategia de comunicación, subrayando que los Estados deben garantizar que sus medidas antiterroristas cumplen las obligaciones que les impone el Derecho internacional.	4
