en_ar_DEEP	QuadClass
وقد أجرى العديد من الاتصالات مع الحكومة المغربية، التي طلبت، قبل قبول استئناف الدبلوماسية المكوكية، عقد اجتماع لتوضيح مخاوفها بشأن التقرير الأخير للأمين العام (S/2014/258)، موضحا أن المغرب يعتبر أن وهذا من شأنه أن يسمح للعملية بالمضي قدمًا بأفضل طريقة ممكنة.	4
ولكن على الرغم من الاهتمام المتزايد والتطورات الإيجابية الأخيرة في هذا المجال، لا تزال هناك تحديات عديدة على أرض الواقع فيما يتصل بالتنفيذ، ولا سيما التحديات المتعلقة بالافتقار المستمر إلى الوضوح المحيط بمفهوم وتفعيل حماية المدنيين، وآليات التنسيق الداخلية والخارجية، والإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات والموارد.	3
15 - منذ تقريري المؤرخ 2 كانون الثاني/يناير 2008 المقدم إلى مجلس الأمن (S/2008/1)، قامت عملية الأمم المتحدة في كوت ديفوار بإزالة جميع مراكز المراقبة السبعة عشر التي أنشأتها على طول الخط الأخضر، باستثناء مركزين، وذلك تمشيا مع أحكام اتفاق واغادوغو.	2
50 - أجرى المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب زيارة رسمية إلى بوركينا فاسو في الفترة من 8 إلى 12 نيسان/أبريل 2013، بدعوة من الحكومة، لجمع معلومات عن الوضع الحالي في بوركينا فاسو. ومن ثم مساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تنفيذ الصكوك الدولية.	2
وكان الهدف من هذه الجهود هو تحسين الأمن في المنطقة وتعزيز تحالف وادي جوبا والمصالحة بين الجنرال "مورغان" والتحالف اللذين يتقاتلان على مناطق في وادي جوبا منذ عدة سنوات.	2
وينبغي للدول أن تمتنع عن تثبيط الجهات الفاعلة الإنسانية في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول لأغراض إنسانية، بما في ذلك القيام بأنشطة تهدف إلى تعزيز احترام القانون الإنساني الدولي.	3
يحث الدول الأعضاء على ضمان زيادة تمثيل المرأة على جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع الصراعات وإدارتها وحلها.	4
38 - يوعز إلى اللجنة بتحديد الحالات المحتملة لعدم الامتثال للتدابير المنصوص عليها في الفقرة 1 أعلاه وتحديد مسار العمل المناسب في كل حالة، ويطلب إلى الرئيس، في تقارير دورية تقدم إلى المجلس عملاً بالفقرة 46 أدناه، وتقديم تقارير مرحلية عن عمل اللجنة بشأن هذه المسألة؛	2
حاء - منع الاستغلال والاعتداء الجنسيين من جانب موظفي الأمم المتحدة والأفراد المرتبطين بها وشركاء الأمم المتحدة والتصدي لهما؛	2
6 - استنادا إلى الاستعراض الشامل لجميع الأسماء المدرجة في القائمة في عام 2010، عملا بالفقرة 25 من القرار 1822 (2008)، قامت اللجنة منذ ذلك الحين بتنفيذ العديد من الآليات لضمان أن القائمة تعكس على أفضل وجه التهديد الذي يشكله تنظيم القاعدة ولضمان ذلك. تتم مراجعة كل إدخال بشكل دوري لتحديد ما إذا كان الإدراج المستمر مناسبًا.	2
وقد استحدثت ثلاث دول إجراءات تحظر تسليم الأفراد الذين قد يواجهون خطر التعذيب أو الاضطهاد.	2
ضمان التنسيق والتنفيذ الفعالين لسياسة مكافحة الألغام والمبادئ التوجيهية الجنسانية لبرامج الأعمال المتعلقة بالألغام. الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (برئاسة إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) أنشأته اللجنة الأوروبية للسلام والأمن لتحسين أداء المنظمة في مجال نزع السلاح والتسريح وإعادة الإدماج، ويقدم الفريق العامل المشترك بين الوكالات المشورة الاستراتيجية، بما في ذلك احتياجات التدريب والسياسات والاستراتيجيات؛ الحفاظ على ومراجعة المجموعة المطورة من إرشادات الأمم المتحدة بشأن نزع السلاح والتسريح وإعادة الإدماج؛ تطوير وإدارة مركز موارد الأمم المتحدة لنزع السلاح والتسريح وإعادة الإدماج؛ ويسهل تخطيط عمليات نزع السلاح والتسريح وإعادة الإدماج بين وكالات الأمم المتحدة ذات الصلة.	2
وأعرب أيضا عن أن فشل البرلمان اللبناني في انتخاب رئيس جديد قد قوض استقرار لبنان وقدرته على الصمود منذ بداية النزاع في الجمهورية العربية السورية.	3
وقد تأثرت النساء والأطفال، وخاصة الفتيات، من أعمال العنف والصراعات الناشئة حديثا والمرتبطة بانتشار الميليشيات والجماعات المسلحة، والتي ترتبط في بعض الحالات بالتطرف العنيف، في حين لا تزال العديد من الصراعات التي طال أمدها دون حل.	1
60 - ويتطلب دعم استعادة الحد الأدنى من سلطة الدولة المستدامة وتوسيع نطاقها ليشمل المناطق المحررة من الجماعات المسلحة التزاما معززا من جانب الحكومة بنشر إدارة الدولة، بما في ذلك أفراد الشرطة والقضاء والسجون وتزويدهم بالموارد اللازمة.	2
"ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قانون مكافحة القرصنة، بما في ذلك ضمان الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم وسجن المدانين منهم. ويشجع المبادرات الحالية والمستقبلية في هذا الصدد.	4
وفي قضية أخرى، نظرت المحكمة مرة أخرى في العناصر المختلفة للهجوم الموجه ضد السكان المدنيين كجزء من تعريف الجرائم ضد الإنسانية.	4
واستجابة لذلك، أنشأت وزارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريق عمل مشترك مع ركيزة بناء المؤسسات لدراسة التقرير وتطوير سبل تنفيذ توصياته.	4
43 - يكرر تأكيد الحاجة إلى تعزيز التعاون المستمر بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، فضلا عن أفرقة الخبراء التابعة لكل منها، بما في ذلك من خلال تعزيز المعلومات، حسب الاقتضاء - تبادل وتنسيق الزيارات إلى البلدان الواقعة ضمن ولاية كل منها، وتيسير ورصد المساعدة التقنية، والعلاقات مع المنظمات والوكالات الدولية والإقليمية، وبشأن القضايا الأخرى ذات الصلة بجميع اللجان الثلاث، ويعرب عن اعتزامه تقديم التوجيه إلى اللجان بشأن المجالات ذات الاهتمام المشترك من أجل تنسيق جهودها بشكل أفضل وتيسير هذا التعاون، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لتواجد المجموعات في مكان واحد في أقرب وقت ممكن؛	2
(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وتطوير سبل العمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرة كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، والإحاطات من وإلى اللجنة وتعزيز ترتيبات تبادل المعلومات؛	2
"ويدين مجلس الأمن بشدة استهداف المقاتلين المتعمد للمدنيين في الصراعات المسلحة، ويطالب جميع المعنيين بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان.	3
وعلى الدول أيضا أن تمنع من يمولون الأعمال الإرهابية أو يخططون لها أو يسهلونها أو يرتكبونها من استخدام أراضيها لتلك الأغراض ضد دول أخرى أو ضد مواطنيها (الفقرة 2 (د)).	2
(د) دعم أعمال أو أنشطة الأشخاص المدرجين في القائمة وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بحركة الطالبان والتي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان؛	1
(أ) فريق رصد في نيويورك يضم ما يصل إلى خمسة خبراء، من بينهم رئيس، لرصد تنفيذ جميع التدابير المفروضة بموجب القرارين 1267 (1999) و 1333 (2000)، بما في ذلك في مجالات حظر الأسلحة ومكافحة الأسلحة النووية. الإرهاب والتشريعات ذات الصلة، ونظرًا لارتباطه بشراء الأسلحة وتمويل الإرهاب وغسل الأموال والمعاملات المالية والاتجار بالمخدرات؛ و	2
واعتقل النظام ما يقارب 47 شخصاً يعتقد أنهم تم تجنيدهم قسراً للانضمام إلى قوات النظام.	1
بالإضافة إلى ذلك، تقوم فرق الموت والميليشيات المكونة من عناصر مستقلة بزرع الرعب وتنفيذ عمليات الإعدام والاختطاف.	1
(ج) يهيب كذلك بجميع الأطراف المدرجة في مرفقي تقرير الأمين العام عن الأطفال والنزاع المسلح أن تعالج جميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد؛	4
وفي الجلسة 4170 المعقودة في 13 تموز/يوليه، اتخذ المجلس القرار 1307 (2000) الذي أذن فيه، في جملة أمور، بتمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا لمواصلة رصد تجريد شبه الجزيرة من السلاح حتى 15 كانون الثاني/يناير 2001.	2
يجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم بأن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات 1267) عادل، وأن يعيد، بدعم متزايد من الدول الأعضاء، تأكيد هدفه الأصلي المتمثل في تخليص العالم من التهديد الإرهابي المتمثل في تنظيم القاعدة وحركة طالبان والمرتبطين بهما.	2
وتتمثل مشكلة إضافية في أن الحكومة لم تكن تمتلك على ما يبدو موارد عسكرية كافية، حيث أن العديد من قواتها لا تزال متمركزة في الجنوب، كما أن القوات الموجودة في دارفور تتمركز بشكل رئيسي في المراكز الحضرية الكبرى.	1
8 أيار/مايو 2006 حادثة عنف في غلينو تعرض فيها ضباط من قوة الشرطة الوطنية الشرقية لهجوم.	1
أجرى فريق الوساطة مناقشات ثنائية مع الحكومة وهيئة التنسيق المؤلفة من الحركة الوطنية لتحرير أزواد، والمجلس الأعلى لوحدة أزواد، والحركة العربية لتحرير أزواد. أزواد (MAA)، انضم إليها أفراد من تنسيقية الحركات والجبهات الوطنية للمقاومة الثانية (CMFPR-II) وفصيل من تحالف شعب أزواد (CPA) من جهة، ومع الحكومة والبرنامج. من جهة أخرى، مجموعات مسلحة تتألف من CMFPR-I وCPA والفصيل الآخر من الحركة العربية لأفغانستان، بالإضافة إلى أفراد من مجموعة الدفاع الذاتي طوارق إمغاد وحلفائهم (GATIA) المدعوين من قبل المنصة.	4
(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية، والترتيبات المتعددة الأطراف التي تتناول ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملاً القرارات 1540 (2004)، 1267 (1999) و 1373 (2001)، بتقييم مستوى تبادل المعلومات وتنسيق الزيارات إلى البلدان، على وجه الخصوص، وتقديم توصيات محددة، إذا كان ذلك مناسبا، لتعزيز التعاون.	2
31 - ورحبت الدول والعديد من الجهات الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على مواصلة هذا النهج وزيادة جهودها المفيدة بالفعل لتحقيق الشفافية والشمول.	4
هاجموا وقتلوا 54 شخصًا، وأصابوا 24 آخرين وأحرقوا المنازل قبل أن ينسحبوا بالماشية والممتلكات المنزلية المنهوبة.	1
كما قررنا إجراء مناقشتين مواضيعيتين بشأن منع نشوب الصراعات والأطفال في الصراعات المسلحة، في 20 و 26 تموز/يوليه على التوالي.	4
103. نقلت القوات الجوية لكوت ديفوار جميع أصولها الجوية الباقية والمتضررة إلى قاعدتها الجوية في مطار أبيدجان الدولي.	2
وفي ليرنيب (منطقة تمبكتو)، في سبتمبر/أيلول، حذرت الحركة العربية لأزميرا (المنصة) في اجتماعات عامة مختلفة من أنها ستعاقب أفراد السكان المحليين الذين يقدمون معلومات إلى البعثة المتكاملة والقوات الفرنسية. وفي 23 سبتمبر/أيلول، عثر على جثة رجل مقطوع الرأس في منطقة زويرة، على بعد 80 كيلومتراً شمال تمبكتو. وكان واحداً من خمسة رجال اختطفهم تنظيم القاعدة في بلاد المغرب الإسلامي في 16 سبتمبر/أيلول، واتهمهم هذا التنظيم بالتعاون مع القوات الدولية، الذين اختفوا منذ ذلك الحين.	1
121- إن الجنجويد الذين يشير إليهم معظم الضحايا في الصراع الحالي هم الميليشيات العربية التي تداهم قرى هؤلاء الضحايا على ظهور الخيل أو الجمال، وتقتل وتنهب وتحرق وتغتصب.	1
علاوة على ذلك، ينفذ الاتحاد الأوروبي نظاما فوق وطني يهدف إلى ضمان تجميد أموال وأصول الإرهابيين داخل جميع الدول الأعضاء فيه.	2
23 - يطلب إلى فريق الدعم التحليلي ورصد الجزاءات أن يقدم، بالتعاون الوثيق مع هيئات الأمم المتحدة الأخرى لمكافحة الإرهاب، تقريرا إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011) في غضون 180 يوما، وأن يقدم بيانا شفهيا أوليا تقديم تحديث إلى اللجنة في غضون 60 يومًا بشأن التهديد الذي يشكله المقاتلون الإرهابيون الأجانب الذين تم تجنيدهم أو الانضمام إليهم من قبل تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وجميع الجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، بما في ذلك:	2
وفي وقت لاحق من عام 2006، اعتمدت الجمعية العامة بالإجماع استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب، وكان لها أهمية كبيرة في إعادة تأكيد الالتزام الجماعي للمجتمع الدولي بمكافحة التهديد المشترك المتمثل في الإرهاب.	2
محطات المياه o في 23 تشرين الثاني/نوفمبر 2014، فجّر تنظيم داعش سيارة مفخخة بالقرب من محطة تنقية في قرية الميدان بالحسكة، مما أدى إلى أضرار جسيمة في المحطة. محطات توليد الطاقة	1
94. وعلى الرغم من التقدم المحرز مؤخراً، فإن القيود اللوجستية والسياسية والأمنية سوف تجعل عملية تسريح وإعادة إدماج 180 ألف مقاتل سابق، كما هو مخطط لها، بحلول نهاية فترة اتفاق السلام الشامل، عملية بالغة الصعوبة.	1
وأعدت الحكومة وفريق الأمم المتحدة القطري، بمساهمة من البنك الدولي، كتيبا عن الأهداف يبين الوضع الحالي لتيمور - ليشتي ويحدد الآثار المترتبة على السياسة العامة لتحقيق الأهداف والمؤشرات.	2
ومع ذلك، في العديد من مناطق البلاد، لا توجد قدرة على الاحتجاز ولا أي محاكم عاملة، مما يجبر سلطات إنفاذ القانون على إطلاق سراح الجناة الذين يُزعم أنهم خطرون أو مطالبة وحدات بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية باحتجاز المشتبه بهم لأسباب تتعلق بالأمن وحماية المدنيين.	1
قُتل ستة رجال ودُفنوا في قبور فردية.	1
تتولى الإدارة مسؤولية إدارة وتنظيم فيلق حماية كوسوفو، فضلاً عن تخطيط وتنسيق وتنفيذ الاستجابة لحالات الطوارئ في حالات الكوارث الطبيعية أو غيرها.	2
وهذه الاحتياطات المنصوص عليها في القانون الدولي العرفي هي كما يلي: يجب على الطرف المحارب (أ) بذل كل ما في وسعه للتحقق من أن الأهداف التي سيتم مهاجمتها ليست ذات طابع مدني؛ (ب) اتخاذ جميع الاحتياطات الممكنة عند اختيار وسائل وأساليب القتال بهدف تجنب الإصابة العرضية بالمدنيين أو الأعيان المدنية أو على الأقل التقليل منها إلى أدنى حد؛ (ج) الامتناع عن شن هجمات قد يتوقع منها أن تسبب خسائر عرضية في أرواح المدنيين أو إصابات في صفوف المدنيين أو الأعيان المدنية تكون مفرطة مقارنة بالميزة العسكرية الملموسة والمباشرة المتوقعة؛ (د) إعطاء تحذير مسبق فعال بشأن الهجمات التي قد تؤثر على السكان المدنيين، باستثناء حالات الاعتداء (على النحو المنصوص عليه في المادة 26 من قواعد لاهاي لعام 1907) أو على النحو المنصوص عليه في المادة 57 (2) (ج)، ما لم تسمح الظروف بذلك - أي عندما يعتبر الطرف المحارب أن الهجوم المفاجئ لا غنى عنه.	2
وقد سنوا تشريعات لمكافحة الإرهاب وبذلوا جهودا لزيادة تعزيز التنسيق والتعاون الإقليميين، وخاصة في السياق البحري.	2
وتتعلق المخاوف الأمنية الرئيسية بالنشاط الإجرامي والقتال بين الفصائل.	1
يؤكد وجوب محاسبة جميع المسؤولين عن انتهاكات وتجاوزات حقوق الإنسان، ويشدد على ضرورة إجراء تحقيق شامل ومستقل ومحايد يتوافق مع المعايير الدولية في التجاوزات والانتهاكات المزعومة لحقوق الإنسان، لمنع الإفلات من العقاب وضمان المساءلة الكاملة؛	3
تتراوح المواقع من تلك التي تم إنشاؤها للترويج لأفراد معينين، مثل شامل باساييف في الشيشان، أو مجموعات، مثل عسكر الطيبة في باكستان، إلى تلك التي تهدف إلى تبرير الإرهاب المرتبط بتنظيم القاعدة بشكل عام، مثل موقع صوت العالم. الجهاد، أو تقديم التدريب الإرهابي، مثل البتار.	1
67. وأجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع البحارة الأبرياء المحتجزين كرهائن في الصومال حتى يتمكنوا من الانضمام إلى أسرهم.	3
ومن جانبهم، اتهم زعماء الحكومة ومؤيدوها الحركة الوطنية لكوت ديفوار وغيرها من "حركات التمرد" باستخدام القوات الأجنبية وارتكاب فظائع، أبرزها مقتل العشرات من أفراد الدرك في بواكي.	3
وتمكنت اللجنة من تقديم رواية مفصلة ودقيقة لأحداث نيسان/أبريل وأيار/مايو التي أسفرت عن خسائر كبيرة في الأرواح والإصابات وأضرار واسعة النطاق في الممتلكات.	2
وتم توفير التدريب لضباط قوات الأمن الوطني (50 في أدري و 42 في أبيشي).	2
ورغم أن المبادرة جاءت استجابة لنمو الاتجار بالمخدرات والجريمة المنظمة العابرة للحدود الوطنية في غرب أفريقيا، فإن وحدات مكافحة الجريمة العابرة للحدود الوطنية ستعمل كمراكز اندماج لإنفاذ القانون لدعم القدرات التحليلية والتقنية الوطنية والإقليمية للاستجابة للتهديدات العابرة للحدود الوطنية.	2
تدابير هادفة ومتدرجة للتصدي للاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة	1
وبعد ثلاثة أيام، اشترى الجليل 25 بندقية هجومية من طراز AK-47 ومدفعين مضادين للطائرات و6 رشاشات من طراز PKM و4 قذائف RPG-2 وذخيرة.	1
واعترافا من المجلس بقيمة الإحاطات السنوية التي يقدمها رؤساء العناصر العسكرية، قال إنه يرحب أيضا بالإحاطات الإعلامية المماثلة التي يقدمها رؤساء عناصر الشرطة من أجل تحسين فهمه للتحديات التشغيلية.	4
علاوة على ذلك، حافظت حركة طالبان على قدرتها على استيراد الأسلحة والعتاد والقوى العاملة، ويكمن مفتاح النجاح العسكري في تحييد خطوط إمدادها وحرمانها من المناطق الآمنة حيث يمكن لمقاتليها التعافي بين العمليات وتدريب المجندين الجدد.	1
ويؤيد المجلس فكرة إنشاء وحدة للمساعدة في مجال سيادة القانون داخل الأمانة العامة ويتطلع إلى تلقي مقترحات الأمانة العامة بشأن تنفيذ التوصيات الواردة في الفقرة 65 من تقرير الأمين العام عن سيادة القانون والعدالة الانتقالية في حالات النزاع. ومجتمعات ما بعد الصراع (S/2004/616).	4
بالإضافة إلى ذلك، هناك سلسلة من الجماعات الفلسطينية المسلحة العاملة في البلاد داخل وخارج مخيمات اللاجئين.	1
ويعرب المجلس عن بالغ قلقه لأن المدنيين ما زالوا يشكلون غالبية ضحايا أعمال العنف التي ترتكبها أطراف النزاعات المسلحة، بما في ذلك نتيجة الاستهداف المتعمد، والاستخدام العشوائي والمفرط للقوة، واستخدام المدنيين كدروع بشرية، واستخدام القوة بشكل عشوائي ومفرط، واستخدام المدنيين كدروع بشرية. العنف الجنسي والعنف القائم على النوع الاجتماعي، بالإضافة إلى جميع الأعمال الأخرى التي تنتهك القانون الدولي المعمول به.	3
484 - وفي المناقشات التي جرت مع اللجنة بشأن منهجية لجان الاغتصاب، تم التأكيد بشكل كبير على الدعاية الواسعة النطاق لولاية اللجان.	4
"ويدعو مجلس الأمن بوروندي إلى منع تقديم أي دعم من أراضيها إلى الجماعات المسلحة في جمهورية الكونغو الديمقراطية.	3
30 - وبشكل عام، كان موقف السلطات الحكومية تجاه اللجنة متعاونا.	4
كما تركز على حظر وحجب مواقع الإنترنت التي تحتوي على مواد متطرفة وعلى تنظيم المشاكل في هذا المجال.	1
توصي اللجنة بمحاكمة الأشخاص التالية أسماؤهم فيما يتعلق بحيازة واستخدام ونقل أسلحة الشرطة الوطنية لتيمور - ليشتي بشكل غير قانوني في 8 مايو و/أو 21 مايو: روجيريو لوباتو، أوسيبيو سالسينيا، أنطونيو دا كروز، فيسنتي دا كونسيساو، المعروف أيضًا باسم راي لوس، ماتيوس. دوس سانتوس بيريرا، المعروف أيضًا باسم موركات، ولياندرو لوباتو، المعروف أيضًا باسم جراي هارانا، وأنطونيو لورديس، المعروف أيضًا باسم 55 عامًا، وماركوس دا سيلفا بيداد، المعروف أيضًا باسم لاباداي، وفرانسيسكو وسانتا كروز.	3
لقد جرمت جميع الدول الآن في قوانينها المحلية توفير الملاذ الآمن للإرهابيين ومؤيديهم واستخدام أراضيها لارتكاب أعمال إرهابية أو الإعداد لها ضد دول أخرى أو مواطنيها.	1
بعد الهجوم، توجه جميع سكان المنطقة إلى كايلك.	1
بعض هؤلاء المجندين في رابطة الشباب الشيوعي من الجيش والميليشيا الماوية تقل أعمارهم عن 18 عامًا.	1
31- وتعتبر الدولة أن انتشار المسيحية يشكل تهديداً خطيراً بشكل خاص، لأنه يتحدى إيديولوجياً عبادة الشخصية الرسمية ويوفر منبراً للتنظيم الاجتماعي والسياسي والتفاعل خارج نطاق الدولة.	1
وترى هذه الدولة أن مثل هذا النشاط، في أشكاله المتطرفة، غالبا ما يؤدي إلى التطرف العنيف وفقدان الأرواح.	1
634 - يتضح من المعلومات التي جمعتها اللجنة وتحققت منها أن الاغتصاب أو غيره من أشكال العنف الجنسي التي ارتكبها الجنجويد وجنود الحكومة في دارفور كانت واسعة النطاق ومنهجية، وبالتالي قد ترقى إلى مستوى جريمة ضد الإنسانية.	1
وتم فصل النساء والأطفال عن الرجال، واحتجازهم في منطقة حول المسجد، ثم أخذهم خاطفوهم في وقت لاحق ليتم اغتصابهم.	1
وفي ذلك الاجتماع، اتفق الطرفان على مزيد من التعاون في قضايا مسح السكك الحديدية وعودة اللاجئين والنازحين داخليا.	4
452. بموجب المادة 31 من قانون الأمن الوطني، يجوز لضابط الأمن بموجب أمر يصدره المدير العام أن يقوم بإلقاء القبض على شخص أو تفتيشه أو احتجازه والتحقيق معه. ويحق له خلال ثلاثة أيام أن يزود المحتجز بأسباب اعتقاله واحتجازه.	1
"ويقر مجلس الأمن بأن الإرهاب لن يُهزم بالقوة العسكرية وتدابير إنفاذ القانون والعمليات الاستخباراتية وحدها، ويشدد على ضرورة معالجة الظروف المؤدية إلى انتشار الإرهاب، بما في ذلك، على سبيل المثال لا الحصر، الحاجة إلى تعزيز الجهود الرامية إلى الوقاية الناجحة والحل السلمي للصراعات الطويلة الأمد، والحاجة إلى تعزيز سيادة القانون وحماية حقوق الإنسان والحريات الأساسية والحكم الرشيد والتسامح والشمول لتوفير بديل قابل للتطبيق لأولئك الذين قد يكونون عرضة للتجنيد الإرهابي والتطرف المؤدي إلى العنف.	4
