ar_en_DEEP	QuadClass
After the expected elections, consultations will be required with the newly elected government to determine the nature and level of support that the Ivorian authorities will require from UNOCI in order to hold the legislative and local elections before the process can begin to wind down its work.	4
Meanwhile, resources are being mobilized, with support from UNOCI, UNICEF and the World Food Programme, for the rehabilitation and reintegration of a total of 511 child soldiers, including 204 girls who were released and handed over to UNICEF by the Forces Nouvelles leadership.	2
95 - In light of the continuing pattern of human rights violations in CÃ´te d'Ivoire over the past years, the international community may also wish to consider the need to establish an independent human rights mechanism for the United Nations Commission on Human Rights (a special country rapporteur or independent expert), which could Its mandate is to submit reports, also to the General Assembly, on the progress achieved in the effective implementation of international human rights norms and their translation into practices at the national level, as well as on ending the phenomenon of impunity and ensuring the rule of law in CÃ´te d'Ivoire.	4
According to his statement, he was in his office when he was informed of the explosion.	1
While the Government of Iraq affirms its respect for its obligations under the United Nations Security Council resolutions and its pursuit of peaceful policies and living in peace with its neighbors in a way that contributes to the security and stability of the region, the Government of Iraq looks forward to the Security Councilâs recognition of the great and positive developments that have been achieved in Iraq, and that the situation in Iraq is completely different. Essentially, the situation that existed when the Security Council adopted Resolution 661 (1990) and that the time has come for Iraq to regain its legal and international status that prevailed before the Security Council adopted the aforementioned resolution and the subsequent sanctions imposed on it under Chapter VII of the Charter of the United Nations.	4
(v) All States are encouraged, in accordance with paragraph 8 of resolution 1977 (2011), to prepare, on a voluntary basis, and with the assistance of the Committee established pursuant to resolution 1540 (2004) as appropriate, national implementation plans, setting out their priorities and plans for implementing the main provisions of resolution 1540 (2004), and to submit those plans to the Committee;	2
They also noted that the increased availability of information on the harmful effects of piracy has led to positive changes in former piracy hotspots.	4
The Council also adopted a presidential statement (S/PRST/2011/17) in which it stressed the need to improve communication between the Security Council, troop- and police-contributing countries, the United Nations Secretariat and other stakeholders in order to enhance the spirit of partnership, trust, cooperation and mutual trust, and to ensure that the Council Security from the perspectives of those working in the field when making decisions on peacekeeping mandates.	2
The committee could not confirm the government's claim that wounded soldiers and civilians were killed inside the hospital building.	3
Resolution 1373 (2001), adopted in the wake of the heinous attacks that occurred in the United States on 11 September 2001, constituted a milestone in the efforts made in this regard at the United Nations level.	2
The common objective element (knowledge of the systemic nature of forced displacement) lies in the fact that the displacement clearly amounts to a government policy that the relevant government authorities and the Janjawid have been following.	1
87. This mixed control over the Somali marine environment has created or enhanced three important sources of income for local administrations: (a) the export of a range of basic commodities from Somalia, including large commercial quantities of charcoal; (b) unrestricted access by foreign fishing vessels to Somali marine resources and fisheries; and (c) widespread incidents of piracy.	1
Based on instructions from the first investigating judge in the military court, and with the approval of the Director General of the Internal Security Forces, the cars belonging to Haririâs convoy were taken to the Helou barracks, after photographs were taken of them at the scene of the incident and a videotape was recorded of them in the presence of the commander of the Beirut Second District and the commander of the traffic detachment in the Beirut District. Beirut II, the commander of the Burj police station, and a team of criminal investigators, using lighting lamps provided by the civil defense services, according to report No. 144/302 of February 14, 2005.	2
âThe Security Council recalls its resolutions 1265 (1999) of 17 September 1999 and 1296 (2000) of 19 April 2000 on the protection of civilians in armed conflict, and the statements of its President of 12 February 1999 (S/1999/6 ) and 15 March 2002 (S/2002/6) and 20 December 2002 (S/2002/41), and reaffirms the need to protect civilians in armed conflicts as an important item on the Councilâs agenda.	4
Council members called for a peaceful settlement of the conflict in the region, and condemned providing support to armed and terrorist groups. Asia	3
375 - A number of international human rights instruments prohibit the practice of torture.	2
19. Moreover, in carrying out its fact-finding mission and its duty to identify the perpetrators, the Commission could have benefited from the assistance that could have been provided to it by a greater number of investigators, jurists, military analysts and forensic experts.	2
The Council requests the Mission to continue monitoring reports of extrajudicial violence and to submit a report to the Council.	4
For example, a large number of these violations relate to death, torture, personal injury, mental anguish and distress, hostage-taking, and loss and damage to real and personal property.	1
By December, the Conduct and Discipline Unit will replace the Office to Address Sexual Exploitation and Abuse, and the Unit will look into cases of sexual exploitation and abuse and other forms of misconduct.	2
The treaty establishing the Court, the Rome Statute, entered into force on 1 July 2002.	2
The mission conducted an assessment of the extent of institutional, technical, security, legal and political readiness to organize the elections. The mission identified areas where support was needed and called for enhancing the participation of women and youth, improving institutional transparency, and developing the necessary mechanisms to prevent political and electoral conflicts.	4
In a presidential statement (S/PRST/2004/15) adopted on 14 May, the Council expressed deep concern regarding reports that elements of the Rwandan army had launched a raid within the territory of the Democratic Republic of the Congo, and reports of increased military activity by The Democratic Forces for the Liberation of Rwanda in the eastern part of the Democratic Republic of the Congo, and the raids launched by those forces in the territory of Rwanda.	1
Dutch prosecutors then sought to impose a ban on the foundation, dissolve it, and hand over any credit balances in the organization's bank account to the state, but the court decided that the government had not proven that the Al-Haramain Foundation's branch in the Netherlands, which is independent and separate from the international organization, had supported terrorism, Dutch prosecutors stated. They will appeal the court's ruling, and will seek additional information about Al Haramain and about Mr. Al Aqel from the United States.	3
States must make their legislation and directives flexible and effective enough to cover emerging threats and continue to perform their preventive role.	2
On November 29, 2014, regime helicopters dropped two explosive barrels on a clinic in Kafr Sijna in Idlib, destroying parts of it.	1
In Italy, for example, the Political-Military Affairs Unit, established by the Prime Minister's Office, is composed of senior representatives of all government departments and agencies responsible for combating terrorism, and has broad and comprehensive tasks.	2
âThe Security Council welcomes the significant reduction in the number of successful piracy-related attacks in various regions resulting from the adoption of effective measures to combat piracy by doubling national, bilateral and multilateral initiatives, as well as regional cooperation mechanisms, and recognizes the necessity of continuing these efforts and implementing these measures to combat piracy, since These gains can be lost as long as conditions on land are conducive to piracy at sea.	2
It is worth noting that the two movements do not present this issue from a tribal point of view, but rather they speak on behalf of all Darfurians and direct their attacks directly at government facilities.	1
...Notes the importance of conducting ongoing reviews of methods and procedures followed, reviewing the outcome of operations, and conducting investigations, in cooperation with the Government... in cases in which civilian casualties are recorded and when the Government deems it desirable... to conduct such joint investigations, and to continue cooperation with [the national security forces] ] In order to move forward in structuring the protection of civilians, especially women and girls,	2
I have the honor to transmit herewith the report of the Security Council Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida, the Taliban and related individuals and entities, which contains the Committeeâs position on the recommendations contained in the sixth report of the Analytical Support and Sanctions Monitoring Team (S/2007/132, enclosure ) (See the attachment).	2
She confirmed that a Russian helicopter had been shot down and that a United Nations board of inquiry, which was in the country last week, would submit a report on that in early November.	1
She also continued her participation in crime prevention working groups and helped establish the District Policewomen's Association. The Mission handed over to law enforcement agencies in Zugdidi equipment donated by the Government of Switzerland, while providing a similar amount of equipment to law enforcement agencies in Gali.	2
Syria calls on the United Nations and its bodies concerned with combating terrorism and preventing its financing, including the Security Council and its specialized committee, as well as the Human Rights Council, to deprive terrorists and those who support them of any cover for their destructive practices in order to preserve the sovereignty and independence of states, and to preserve security, peace and stability.	4
In this regard, an understanding was reached with the two parties regarding the possibility of reviewing the military agreements, with the aim of better responding to what is happening on the ground.	4
:: Using the Trust Fund for Disarmament Activities at the global and regional levels to advance projects and activities immediately	2
66. In an effort to combat the increasing rates of crimes committed at sea, the Maritime Organization of West and Central Africa, with the assistance of the International Maritime Organization, is working to strengthen cooperation among law enforcement agencies by establishing a network of coast guard units.	2
Reports stated that in some cases, women were raped in public, and in some incidents, women were also subjected to severe abuse and described as âslavesâ or tora bora.	1
In Kosovo, responsibility for the province's operations has been transferred to the Kosovo Police Service, with international police acting as a monitor.	2
More recently, in July 2014, Boko Haram launched a cross-border raid in Cameroon that led to the kidnapping of the wife of Mr. Amadou Ali, the Deputy Prime Minister, and the killing of three others.	1
25 - Calls on all States to exercise responsibility in managing the use of highly enriched uranium for civilian purposes, and to reduce its use to the minimum technically and economically possible, including by working to convert nuclear research reactors and radioisotope production operations towards the use of fuel types and objectives. of low-enriched uranium;	4
However, the Caribbean States have adopted the Caribbean Treaty on Mutual Legal Assistance in Serious Criminal Matters (including offenses relating to terrorism, terrorist financing, money laundering and drug trafficking).	2
The Committee cannot agree with the Government's position that statistics related to the work of the committees indicate a rate of incidence of rape that is much lower than the rate reported by other sources such as the United Nations, the African Union, and other national and international organizations.	3
No country applies adequate measures to protect non-profit organizations from terrorist financing.	3
Commander Da Cruz disarmed members of the Eastern Border Control Unit so that he could provide these weapons.	2
In 1980, the Air Force of CÃ´te d'Ivoire introduced into service six Dassault/Dornier Alpha Jet CI light aircraft for attack and training work.	1
90 - Paragraph 4 of resolution 1624 (2005) emphasized that âin taking any measure to implement paragraphs 1, 2 and 3 of the resolution, States must ensure compliance with all their obligations under international law, in particular international human rights law and refugee law.â and humanitarian law.	4
Therefore, the Register has become a tool of direct relevance to the work of the Security Council and the General Assembly on small arms and light weapons.	2
However, any changes to the agreements must be mutually acceptable and remain consistent with the principle that military forces should maintain the status quo during a ceasefire and that the Mission's military observers should be allowed full freedom of movement, in accordance with the basic principles of peacekeeping.	4
Locally made firearms. Molotov cocktails. Rockets made improvised in metal workshops.	1
In a widely broadcast comment addressed to the citizens of the village of Kalbus, which the rebels failed to enter in December 2003, the president said, âWe place at the top of our priorities from now on eliminating the rebellion, and we will track down every outlaw... and we will use the army, the police, the mujahideen, and the knights.â To eliminate the rebellion. The Minister of Justice addressed the special delegation of the European Parliament's Development and Cooperation Committee during the delegation's visit in February 2004 and said that âthe government had some relationship with the Janjaweed.	1
It is common for people forcibly returned from China to be subjected to torture, arbitrary detention, summary execution, forced abortion and other forms of sexual violence.	1
Collaborate on the development and implementation of gender-sensitive public HIV/AIDS policy in the areas of training, codes of conduct, HIV detection, civilian-military cooperation, information on resources and materials on best practices; Incorporate an HIV/AIDS policy into the Department of Peacekeeping Operations, and strengthen the capacity of peacekeeping operations (including those of incoming staff) to address HIV/AIDS.	2
The European Union now calls on the Government of National Unity to move forward at a rapid pace in addressing other aspects of the implementation of the Comprehensive Peace Agreement, including the establishment of an assessment and evaluation committee to monitor progress in this regard as a first step.	2
The degree of damage to the metal fragments presented to us by the police (they were said to have originated from a Mitsubishi Canter) is consistent with the fragmentation we would expect to have occurred if the car had been at the center of the explosion.	1
Mali and Niger have joined the newly established Subregional Joint Intelligence Center in Tamanrasset, Algeria.	2
:: Some members of the Security Council called on member states that have not yet joined the agreements and protocols on counter-terrorism negotiated under the auspices of the United Nations to do so.	4
40. The Office continued to provide technical assistance in the field of counter-terrorism to countries in East Africa; For example, in close consultation with national authorities in Ethiopia, Djibouti, Somalia and Kenya, it has developed country programs dedicated to long-term assistance to strengthen their criminal justice response to terrorism in accordance with the rule of law and with due respect for human rights.	2
It urges the international community to ensure the timely provision of adequate funds to meet humanitarian needs and to provide adequate humanitarian assistance to alleviate the suffering of civilian populations, especially those living in areas afflicted by armed conflict or emerging from a conflict situation.	4
However, the effectiveness of controls could be significantly enhanced through increased police patrols and the acquisition of detection equipment, especially given the porous borders in the subregion.	1
Emphasizes that international law contains provisions prohibiting attacks knowingly and intentionally directed against personnel engaged in a humanitarian assistance or peacekeeping mission carried out in accordance with the Charter of the United Nations, which, in situations of armed conflict, constitute war crimes, and points out the need for States to put an end to impunity for such criminal acts.	1
The Committee makes a set of recommendations to take immediate steps to put an end to human rights violations and address the human rights concerns raised by the Committee, including specific recommendations addressed to the Security Council, which require the Councilâs attention and consideration.	2
In the early hours of 11 July, unidentified gunmen stormed the home of Mr. Abdelkader Yahya, a long-time activist and senior member of the Center for Research and Dialogue, and assassinated him.	1
7 - Expresses its strong determination to consider including in the list of individuals, groups, institutions and entities associated with Al-Qaeda, pursuant to resolution 2161 (2014), those who finance, arm, manage their affairs, recruit people for their benefit, or support their work or activities in any way. another way, including through information and communications technologies, such as the Internet, social media or any other means;	1
Attacks in Afghanistan increasingly demonstrate the influence of Al-Qaeda's tactics in Iraq, where suicide bombings are used and beheadings are a common practice demonstrated on television.	1
The Council affirms the role played by the Supreme Media Commission, the International Committee of Eminent Persons, and the International Committee to Support the Transitional Process in order to enhance the smooth conduct of the electoral process and calm the political climate, and renews its support for them.	2
45. In addition, the Mission documented killings of children in CitÃ© Soleil and other slums during shootouts between gangs and the Haitian National Police, and the continued use of sexual violence against children.	1
13 - Urges Member States to promote awareness of the Al-Qaida sanctions list as widely as possible, including among relevant domestic agencies, the private sector and the general public to ensure the effective implementation of the measures contained in paragraph 1; It encourages Member States to urge their administrations concerned with company and property registration, and other types of registration relating to the public and private sectors, to regularly check their available databases, including, but not limited to, those containing information on legal and/or beneficial ownership. , to ensure that it does not contain names included in the sanctions list imposed on Al-Qaeda;	4
In order to implement the Ninth Program of Work more effectively and to guide the work of experts more clearly and effectively, the Committee will operate a working group system that will be open to all members of the Committee established pursuant to resolution 1540 (2004). The working groups will focus on important and recurring issues.	4
Emphasizing that the measures imposed under resolutions 1572 (2004) and 1643 (2005) continue to contribute to achieving stability in CÃ´te d'Ivoire, particularly in the context of the planned presidential elections, and emphasizing that those measures aim to support the peace process in CÃ´te d'Ivoire,	2
Reaffirming its call on all States to become parties as soon as possible to international conventions and protocols against terrorism, whether or not they are parties to regional conventions on this issue, and to fully implement the obligations imposed on them under the conventions to which they are party,	4
Deeply concerned that terrorist groups that benefit from transnational organized crime may contribute to undermining affected States, in particular undermining their security, stability, foundations of governance and social and economic development,	3
Notes that the protection of civilians requires a coordinated response among all relevant components of the Mission, and encourages [the Mission] to strengthen interaction, under the authority of the Special Representative of the Secretary-General, between its civilian and military components at all levels and among actors working in the humanitarian field, in order to unify expertise in the field of Protection of civilians.	4
34. There is also an increase in the number of regional counter-terrorism centres, where best practices in implementing sanctions can be established, depending on the specific circumstances involved.	2
A quarrel ensued, leading to the police being called to the scene and tear gas being fired.	1
(b) Take the necessary steps to provide the greatest amount of assistance in terrorism cases to other States, and build bridges between different legal systems;	4
Building on the November 2010 workshop for Central Asia between the Executive Directorate and the OSCE on resolution 1624 (2005) and combating incitement to terrorist acts motivated by extremism and intolerance, through similar initiatives in other regional regions;	4
On the other hand, the Israeli authorities claim that these sorties are carried out for security reasons, citing alleged violations of the arms embargo imposed under Resolution 1701 (2006).	3
343 - The Commission conducted interviews with a number of eyewitnesses who confirmed that following joint attacks launched by government soldiers and Janjaweed in the area, approximately 30,000 people were detained in Kaylek, South Darfur, for a period of approximately 50 days.	1
Its intention and ability to plan attacks in Algeria and Niger in 2013 became clear.	1
9. Indeed, the situation of human rights defenders throughout the country represents another cause for serious concern. Many of them are vulnerable to harassment, arbitrary arrest and unjustified detention.	1
During the reporting period, a number of members of the political opposition in Niger were arrested and released on bail.	1
âThe Security Council calls upon the international community to provide, where appropriate, financial and technical support, as well as appropriate training, for the implementation of resolution 1325 (2000) at the national level, and calls upon the United Nations system, civil society and other relevant parties to cooperate and provide assistance to Member States in accordance with to national priorities, in particular to States affected by armed conflict, in order to expeditiously develop national action plans, and to work closely with the national bodies responsible for implementing this resolution through several means including, where appropriate, through United Nations country teams.	4
âThe Security Council reiterates its concern about the increasing nexus, in many cases, between terrorism and transnational organized crime, illicit drugs, money laundering and illicit arms trafficking, and stresses the need for enhanced coordination of efforts at the national, subregional, regional and international levels in support of a global response in Addressing the serious challenge and threat to international peace and security, UNODC is encouraged to continue its work in this regard in cooperation with other relevant United Nations entities.	3
16. Reviewing States then had three months to provide any additional identifying or other information bearing on the elements of the List, such as updated information on the operational status of listed entities, or on the movement, detention or death of listed individuals Their names on the list, or new charges against them related to terrorist operations.	2
16 - Despite the military defeat of the M23, Congolese and foreign armed groups, including the Allied Democratic Forces, the Democratic Forces for the Liberation of Rwanda and several Mayi-Mayi groups, continue to pose a threat to the civilian population and to stability and development in general in the eastern Democratic Republic of the Congo and the Great Lakes region.	3
The team recognizes that there are national and international laws that place restrictions on the exchange of information between countries, but international cooperation is essential for the effective implementation of the asset freeze process.	4
In its resolution 2122 (2013), the Council expressed its intention to give greater attention to issues related to women, peace and security in all the relevant thematic areas of work on its agenda, including, in particular, the protection of civilians in armed conflicts and peacebuilding in the post- Conflict, achieving and strengthening the rule of law in the context of maintaining international peace and security, peace and security in Africa, threats to international peace and security resulting from terrorist acts, and maintaining international peace and security.	2
Council members agreed that the root causes of the conflict must be addressed and that there is a need for coordinated responses involving all relevant United Nations bodies.	4
The Justice and Equality Movement noted that the fact that no Arab women were raped and that no Arab village was destroyed constituted evidence that the government was specifically targeting African tribes.	1
4 - On the basis of the provisional verbatim record of the 4688th meeting of the Security Council, held on 20 January 2003 (S/PV.4688), members of the Council provided comments, suggestions and proposals in the following areas: international instruments; international cooperation; The role of international, regional and subregional organizations; providing assistance; and the Security Council Committee established pursuant to resolution 1373 (2001) (hereinafter referred to as the Counter-Terrorism Committee).	4
Decides to entrust [the mission] with the following mandate in the order of priorities set out below: Protection of civilians (g) Support the efforts of the Government, together with international partners and neighboring countries, with a view to creating appropriate conditions for the safe, voluntary and dignified return of internally displaced persons and refugees, or voluntary integration or resettlement at the level the local.	2
The members of the Security Council also instructed the President of the Council to convey to the Permanent Representative of the Democratic Republic of the Congo their concern about the expulsion of the Director of the United Nations Joint Human Rights Office and to call on the Government of the Democratic Republic of the Congo to continue working to combat impunity and promote respect for human rights and the rule of law.	4
In paragraphs 1 and 2 of resolution 2118 (2013), the Security Council determined that the use of chemical weapons wherever it may constitute a threat to international peace and security, and condemned in the strongest terms any use of chemical weapons in the Syrian Arab Republic.	3
Urge humanitarian and development organizations to take appropriate measures to prevent their personnel from committing any sexual exploitation or abuse, including by conducting pre-deployment and field awareness-raising training, in the case of United Nations actors, and promoting and ensuring compliance with the Secretary-Generalâs Bulletin on Special Measures for Protection from Sexual Exploitation and Abuse (ST/SGB/2003/13), including by civilian personnel of United Nations peacekeeping operations and other relevant missions.	4
The mission did not receive accurate information about the number of people detained by the security forces.	1
In this subregional context, the Office will strengthen its cooperation, in particular, with the Economic and Monetary Community of Central Africa, the Economic Community of Central African States, and the multinational forces of the Economic and Monetary Community of Central Africa, in the field of security and early warning and prevention.	2
78- Seven countries have institutional structures to implement counter-terrorism strategies.	2
Therefore, the conflict is not limited to a mere state of unrest, internal tensions, riots, or isolated and sporadic acts of violence. Rather, the conditions (a) the presence of organized armed groups fighting the central authorities, (b) rebel control over part of the territory, and (c) prolonged fighting were met for this conflict to be considered an internal armed conflict under General Article 3 of the Geneva Conventions.	1
- Pledges to strengthen coordination with the Peacebuilding Commission, and looks forward to the 2010 review of the Peacebuilding Commission and recommendations on how to further strengthen its role;	4
Also in the Bakool region in central Somalia, clashes on 10 and 11 June between militiamen from the Hadamo and Ogaden tribes in the Barde region led to the deaths of at least four people and the injury of 10 people. On 15 June, 16 people were killed and 20 others injured in fighting between militiamen disputing over land and grazing rights in the same area.	1
The program requires former combatants to return publicly, give up weapons and agree to respect government legitimacy, the rule of law and a community monitoring mechanism, among other measures depending on the individual concerned.	2
The two Governments are key partners of the Committee in its efforts to make the system more effective and risk-focused, and have presented many useful proposals and provided detailed information to the Group on the latest developments.	2
18 - Although this is the first time that the United Nations has initiated a planning effort of this degree of complexity and breadth, covering practically all the major areas of work related to women, peace and security, the system-wide action plan contains extensive information on the activities undertaken by the system United Nations for the benefit of women in conflict areas and post-conflict areas.	2
24 - The Security Council, in paragraph 7 of its resolution 1535 (2004), emphasized that to ensure that the Committee continues to work effectively during the process of converting its support structure to its implementing body, the Committee will continue to work using its current support structure, until the Committee, in consultation with the Secretary, decides In general, the executive body has become able to work.	4
(e) Conduct joint patrols with riot control units of the National Police to improve the security situation in the event of civil unrest.	2
1 - In a statement issued by its President on 4 September 2008 (PRST/2008/33S/), the Security Council requested the Secretary-General to identify and approach States that could contribute the necessary financial resources, personnel, equipment and services to the establishment of a multinational force to Somalia.	4
Samira Ahmed Al-Sahli, a 53-year-old nurse from Yarmouk camp, was arrested by Syrian regime forces on June 11, 2014 because of her medical work. Her family learned that she died under torture inside a regime detention center on November 8, 2014.	1
Condemn the violations and manifestations of ill-treatment committed against women and girls in situations of armed conflict and call for their immediate cessation.	3
The Commission found that the forced displacement of the civilian population was systematic and widespread, and constitutes a crime against humanity.	1
125 - Several factors have hampered the implementation of resolution 1373 (2001) in Central Asia, namely: proximity to the conflict in Afghanistan (where drug production fuels terrorist activities, which has contributed to the popularity of arms-for-drug swaps); illicit activities by cross-border cash holders (a potential source of terrorist financing); the circulation of surplus weapons (as a result of political and regional unrest); The remoteness of the borders and the lack of adequate protection, combined with the lack of human and material resources to ensure effective border control; The large number of migrant workers (which in turn leads to an increase in the use of informal transfer systems, which is also a potential source of terrorist financing).	1
Some reports hinted, while a few confirmed, that the elements of the crime of genocide exist in the patterns and nature of violations committed by the government and its affiliated militias.	1
18. The Committee will continue to conduct an assessment of technical assistance needs, with contributions from the Executive Directorate and in close cooperation, as appropriate, with the Counter-Terrorism Implementation Task Force Support Office and relevant entities, as well as with other bilateral and regional providers of assistance, in order to explore Ways to facilitate the provision of assistance to concerned Member States.	2
Although this method is relatively simple, the explosives produced from it are unstable and unreliable - unlike military explosives.	1
States have established regional mechanisms to ensure consistent legal and institutional capacity building in the areas of financial system oversight, law enforcement, border control, cooperation, attention to human rights and non-duplication of activities.	2
In the immediate aftermath of the explosion, the security, military, and civil defense agencies, as well as the Red Cross, rushed to the crime scene to perform their duties.	1
One of the police officers was killed by a soldier thirty minutes later.	1
In Eastern and Southern Africa, the Organization supports the National Customs Enforcement Network, which enables countries to record and analyze information on shipments and suspicious persons (including aspects relevant to counter-terrorism).	2
As for the killing of detained soldiers by the rebels, the Commission received reports, particularly from the Government, of the rebels executing detained soldiers.	1
19. The National Community Reintegration and Rehabilitation Programme, which is expected to accommodate a total of 6,000 former combatants, has facilitated the registration of members of the new forces and shed light on their background.	2
There are reports that women and girls continue to be subjected to sexual violence during attacks on their villages, including a report of a recent attack on Hamada on 13 January 2005 during which women were raped.	1
103 - Six States have appropriate institutional structures and inter-agency cooperation to deal with counter-terrorism issues, and another nine States have some policies and procedures in this area.	2
The objectives of the meeting were to initiate dialogue with the private sector; gain a better understanding of the challenges faced by the financial community in implementing the sanctions regime; identify ways to make compliance simpler, more cost-effective and more efficient; and generate ideas for improvement.	4
Most countries criminalize the use of their territory to commit or plan terrorist acts against citizens, facilities and diplomatic representatives of other countries.	2
(a) Distinguishing between combatants and civilians, and protecting civilians from acts of violence, especially attacks on life and physical integrity, and in particular murder (this rule has been reaffirmed in some agreements concluded by the Government of the Sudan with the rebels);	4
Most of those taken away were executed.	1
The Operation's police component focuses on providing support, guidance and advice to the Ivorian National Police and mixed police units deployed in the former area of ââtrust, and to a total of 600 Forces Nouvelles security assistance personnel, whom the Operation trained in 2006 before being deployed to the northern part of the country.	2
One speaker stressed that the consistency of actions taken by committees and working groups, especially those dealing with counter-terrorism, should be maintained, as well as reaffirmed in Security Council resolutions.	4
Reiterating its deep concern about the continuation of hostilities in the eastern part of the Democratic Republic of the Congo by militias and foreign armed groups, and about the threat they pose to the holding of elections in the Democratic Republic of the Congo,	3
The bombing of the areas surrounding the village was apparently being carried out with the aim of facilitating the looting and destruction of the village by the Janjawid and government armed forces operating on the ground.	1
The concepts of planning, ordering, instigating, aiding, and abetting a crime are discussed below.	1
However, while it is true that human rights law provides some flexibility in the face of security challenges, States must respect some basic principles in all circumstances, including the principles of necessity, proportionality and non-discrimination.	2
Reiterates the importance for all relevant [national] institutions and other actors to fully, sequentially, coordinated and timely implement [national justice programmes] in order to accelerate the establishment of an impartial and transparent justice system, end impunity and contribute to the consolidation of the rule of law throughout Country;	4
A brief exchange of views took place, during which a Council member expressed his views on the force, and a troop-contributing country posed some questions to the Department of Peacekeeping Operations.	4
79. The mission asked about reports indicating the existence of a mass grave in Bouake containing the remains of dozens of executed members of the gendarmerie.	1
The representative of Israel welcomed the adoption of the resolution and stressed the need to make further efforts to fully implement the provisions of resolution 1701 (2006), including those relating to the disarmament and dismantling of Hezbollah and other militias.	4
The Mission considers that the treatment received by detainees during their arrest and interrogation could be considered acts of torture and other cruel, inhuman or degrading treatment or punishment.	1
Although training of the Armed Forces of the Republic of the Congo and Congolese National Police units remains essential, any armed forces training program should be linked to the establishment of an effective supply chain within the army in order to ensure sustainability of efforts and continuity of investment.	2
Since the 1990s, its agents have kidnapped a number of people from Chinese territory, including citizens of China and the Republic of Korea, and at least one former Japanese citizen.	1
The Janjawid detained the women for three months and some of them became pregnant as a result of rape during their detention.	1
:: Consider how more effective implementation of the Women, Peace and Security Program can contribute to improving security for all and achieving lasting peace	2
Recalling its resolution 2133 (2014) and the publication by the Global Counter-Terrorism Forum of the âAlgeria Memorandum on Best Practices for the Prevention of Abductions of Persons for Ransom and Deprivation of their Profitâ by terrorists, and strongly condemning incidents of kidnappings of persons and hostage-taking committed by terrorist groups for any purpose , including for the purpose of raising funds or extracting political concessions, Expressing its determination to prevent kidnappings and hostage-taking committed by terrorist groups, and to ensure the safe release of hostages without paying ransom or making political concessions, in accordance with applicable international law, and calling upon All States should work to prevent terrorists from benefiting directly or indirectly from ransom payments or political concessions, and to ensure the safe release of hostages, and reaffirming the need for all States to cooperate closely during incidents of kidnapping and hostage-taking committed by terrorist groups ,	3
Steps need to be taken to adequately suppress terrorist financing.	3
However, it is doubtful that the DRC armed forces deployed in the province will be able to impose sustained effective control over the whole of Katanga, or significantly limit the ability of the Mayi-Mayi to harass the local population and illegally exploit natural resources.	1
Where the allegations are proven true and the victim identifies the rapist, it is recommended that the case be referred for prosecution to the local public prosecutor's office.	2
However, the Group recommends that the Security Council draw the attention of Member States to the fact that they are obligated, under the sanctions regime, to prevent the use of the Internet for the purposes of providing, directly or indirectly, technical advice, technical assistance or training programs related to military activities, or their sale or transfer to individuals or Entities included on the list from their territories or through their nationals residing outside their territories.	3
Border control, internal security and law enforcement measures are fully implemented in most States, although a few States did not report sufficient information to permit assessment in some subcategories. 139 - The priority recommendations are: (a) Encourage steps to improve the ability to freeze terrorism-related funds and assets without delay in most countries, and protect the non-profit sector from misuse in terrorist financing;	4
Calls upon all States to take urgent action to fully implement resolution 1373 (2001), and to assist each other in doing so, and affirms the commitment of States to deny financial support, safe haven and all other forms of support to terrorists and those who support terrorism,	3
He added that he was encouraged by the renewed determination of countries in the subregion to work together to address those threats.	4
2. This report covers the period from 1 July to 31 December 2014. It gives an overview of developments and trends of events in the West African region, and presents the activities undertaken by the Office in the areas of good offices and capacity-building at the subregional level to address cross-border and multi-faceted threats to peace and security, good governance, and respect for the rule of law and human rights. Taking into account gender considerations.	2
Overall, the Commission has collected very substantial material and testimony that tends to confirm the killing of thousands of civilians in the context of attacks on villages.	1
:: Assessing progress in the peacebuilding process before considering decisions on the United Nations withdrawal and/or transition from one form of engagement to another, which could include: (a) the level of support and commitment of the international community; (b) ways to strengthen the capacity of United Nations country teams to enable them to continue supporting long-term peacebuilding efforts in countries on the agenda; and (c) the opportunities and risks that peace consolidation presents to specific countries.	2
(i) Strengthening the Committee's cooperation with international, regional and subregional organizations and developing ways to work with those organizations on a case-by-case basis, in a manner that reflects the differences in the capacity and mandate of each organization, including exchanges at the operational level, briefings to and from the Committee, and arrangements Enhanced information exchange;	4
We strongly condemn the criminal attacks that the terrorist group Boko Haram continues to carry out in northern Nigeria and in neighbouring countries.	3
âThe Council recalls its resolution 1645 (2005) and recognizes the important role of the Peacebuilding Commission in promoting and supporting an integrated and coherent approach to peacebuilding, including encouraging improved coherence and harmonization among partnersâ policies on national peacebuilding strategies and priorities. The Security Council reiterates Affirms its support for the work of the Peacebuilding Commission, and expresses its continued readiness to benefit from the Commission's advisory role and its advocacy and resource mobilization role, including through targeted advice on international and national commitment to long-term peacebuilding objectives in countries on the agenda The Commission. The Council also stresses the important role of the Peacebuilding Commission in supporting the smooth transition of mandated missions in countries on its agenda, in particular by mobilizing sustained international support for capacity needs of vital importance at the national level.	4
