en_ar_DEEPL	QuadClass
"ويحث مجلس الأمن الدول والمنظمات الدولية، وكذلك القطاع الخاص على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قوانين مكافحة القرصنة، بما في ذلك ضمان فعالية محاكمة القراصنة المشتبه فيهم وسجن المدانين منهم، ويشجع المبادرات الحالية والمستقبلية في هذا الصدد.	4
وفي قضية أخرى، نظرت المحكمة مرة أخرى في العناصر المختلفة للهجوم الموجه ضد السكان المدنيين كجزء من تعريف الجرائم ضد الإنسانية.	4
واستجابة لذلك، أنشأت إدارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريق عمل مشترك مع ركيزة بناء المؤسسات لدراسة التقرير ووضع سبل تنفيذ توصياته.	4
43. يكرر التأكيد على ضرورة تعزيز التعاون الجاري بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، وكذلك أفرقة الخبراء التابعة لكل منها، بما في ذلك، حسب الاقتضاء، من خلال تعزيز تبادل المعلومات والتنسيق بشأن الزيارات إلى البلدان التي تدخل في نطاق ولاية كل منها، وبشأن تيسير المساعدة التقنية ورصدها, وبشأن العلاقات مع المنظمات والوكالات الدولية والإقليمية وبشأن المسائل الأخرى ذات الصلة باللجان الثلاث جميعها، ويعرب عن اعتزامه تقديم التوجيه إلى اللجان بشأن المجالات ذات الاهتمام المشترك من أجل تنسيق جهودها وتيسير هذا التعاون على نحو أفضل، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لتجميع الأفرقة في أقرب وقت ممكن;	2
(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وتطوير سبل العمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرات كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، وتقديم إحاطات إلى اللجنة ومنها، وتعزيز ترتيبات تبادل المعلومات	2
"ويدين مجلس الأمن بشدة استهداف المقاتلين المتعمد للمدنيين في النزاعات المسلحة ويطالب جميع المعنيين بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي وقانون حقوق الإنسان.	3
ويتعين على الدول أيضا منع من يمولون أو يخططون أو يسهلون أو يرتكبون الأعمال الإرهابية من استخدام أراضيها لهذه الأغراض ضد دول أخرى أو ضد مواطنيها (الفقرة 2 (د)).	2
(د) دعم الأعمال أو الأنشطة التي يقوم بها الأفراد والجماعات والمشاريع والكيانات الأخرى المرتبطة بحركة طالبان التي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان;	1
(أ) فريق رصد في نيويورك يصل عدد أعضائه إلى خمسة خبراء، بمن فيهم رئيس، لرصد تنفيذ جميع التدابير المفروضة بموجب القرارين 1267 (1999) و 1333 (2000)، بما في ذلك في مجالات حظر توريد الأسلحة ومكافحة الإرهاب والتشريعات ذات الصلة، وفي ضوء الصلة بين شراء الأسلحة وتمويل الإرهاب، وغسل الأموال، والمعاملات المالية والاتجار بالمخدرات؛	2
اعتقل النظام حوالي 47 شخصاً يُعتقد أنه تم تجنيدهم قسراً للانضمام إلى قوات النظام.	1
بالإضافة إلى ذلك، تقوم فرق الموت والميليشيات المكونة من عناصر مستقلة ببث الرعب وتنفيذ عمليات الإعدام والاختطاف.	1
(ج) يهيب كذلك بجميع الأطراف المدرجة أسماؤها في مرفقات تقرير الأمين العام عن الأطفال والنزاع المسلح أن تتصدى لجميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد;	4
واتخذ المجلس في جلسته 4170 المعقودة في 13 تموز/يوليه القرار 1307 (2000)، الذي أذن فيه، في جملة أمور، بتمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا لمواصلة رصد تجريد شبه الجزيرة من السلاح حتى 15 كانون الثاني/يناير 2001.	2
ويجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم بأن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات 1267) عادل، وأن يعيد تأكيد هدفه الأصلي المتمثل في تخليص العالم من خطر الإرهاب الذي يشكله تنظيم القاعدة وحركة طالبان وشركاؤهما المدرجون في القائمة بدعم متزايد من الدول الأعضاء.	2
وثمة مشكلة إضافية تتمثل في حقيقة أن الحكومة لم تكن تمتلك على ما يبدو موارد عسكرية كافية، حيث أن العديد من قواتها كانت لا تزال موجودة في الجنوب، بينما كانت القوات الموجودة في دارفور موجودة بشكل رئيسي في المراكز الحضرية الرئيسية.	1
8 أيار/مايو 2006 حادث عنف في غلينو تعرض فيه ضباط الشرطة الوطنية لتيمور الشرقية للهجوم.	1
وأجرى فريق الوساطة مناقشات ثنائية مع الحكومة والتنسيقية المؤلفة من الحركة الوطنية لتحرير أزواد، والمجلس الأعلى لوحدة أزواد والحركة العربية الأزوادية, وانضم إليهم أفراد من تنسيقية الحركات والجبهات الوطنية للمقاومة الثانية وفصيل من ائتلاف شعب أزواد من جهة، ومع الحكومة والمنصة مجموعات مسلحة مؤلفة من الحركة الوطنية لتحرير أزواد والحركة العربية الأزوادية والفصيل الآخر من الحركة العربية الأزوادية، بالإضافة إلى أفراد من مجموعة الدفاع الذاتي لأزواد وحلفائها بدعوة من المنصة من جهة أخرى.	4
(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية والترتيبات المتعددة الأطراف التي تتعامل مع ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملا بالقرارات 1540 (2004) و 1267 (1999) و 1373 (2001)، وتقييم مستوى تبادل المعلومات والتنسيق بشأن الزيارات إلى البلدان على وجه الخصوص، وتقديم توصيات محددة، عند الاقتضاء، لتعزيز التعاون.	2
31. ورحبت الدول والعديد من الجهات الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على مواصلة هذا النهج وزيادة جهودها المفيدة بالفعل من أجل تحقيق الشفافية والشمولية.	4
هاجموا وقتلوا 54 شخصًا، وأصابوا 24 آخرين بجراح وأحرقوا المنازل قبل أن ينسحبوا حاملين معهم الماشية والممتلكات المنزلية المنهوبة.	1
كما قررنا عقد مناقشتين مواضيعيتين حول منع نشوب النزاعات والأطفال في النزاعات المسلحة في 20 و26 تموز/يوليو على التوالي.	4
103. نقلت القوات الجوية لكوت ديفوار جميع أصولها الجوية الناجية والمتضررة إلى قاعدتها الجوية في مطار أبيدجان الدولي.	2
وفي لنيب (منطقة تمبكتو)، في سبتمبر/أيلول، حذرت الحركة العربية لأزواد (المنصة) في اجتماعات عامة مختلفة من أنها ستعاقب أفراد السكان المحليين الذين يقدمون معلومات إلى بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي والقوات الفرنسية. وفي 23 سبتمبر/أيلول، عُثر على جثة رجل مقطوع الرأس في منطقة الزويرة، على بعد 80 كم شمال تمبكتو. وكان هذا الرجل أحد الرجال الخمسة الذين اختطفهم تنظيم القاعدة في بلاد المغرب الإسلامي في 16 أيلول/سبتمبر، واتهمهم التنظيم بالتعاون مع القوات الدولية، وقد اختفوا منذ ذلك الحين.	1
121. أما الجنجويد الذين يشير إليهم معظم الضحايا في الصراع الحالي فهم ميليشيات عربية تداهم قرى هؤلاء الضحايا ممتطين الخيول أو الجمال ويقتلون وينهبون ويحرقون ويغتصبون.	1
وبالإضافة إلى ذلك، يطبق الاتحاد الأوروبي نظاماً فوق وطني يهدف إلى ضمان تجميد أموال الإرهابيين وأصولهم داخل جميع الدول الأعضاء فيه.	2
23. يطلب إلى فريق الدعم التحليلي ورصد الجزاءات أن يقدم إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011) في غضون 180 يوما، بالتعاون الوثيق مع هيئات الأمم المتحدة الأخرى المعنية بمكافحة الإرهاب، تقريرا إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011)، وأن يقدم إلى اللجنة في غضون 60 يوما تقريرا شفويا أوليا مستكملا عن التهديد الذي يشكله المقاتلون الإرهابيون الأجانب الذين يجندهم أو ينضمون إلى تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وجميع الجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، بما في ذلك:	2
وفي وقت لاحق من عام 2006، اعتمدت الجمعية العامة بالإجماع استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب بالإجماع، والتي كان لها أهمية كبيرة في إعادة تأكيد الالتزام الجماعي للمجتمع الدولي بمكافحة التهديد المشترك للإرهاب.	2
محطات المياه o في 23 نوفمبر 2014، قام تنظيم داعش بتفجير سيارة مفخخة بالقرب من محطة تنقية المياه في قرية الميدان في الحسكة، مما ألحق أضرارًا جسيمة بالمحطة. محطات الطاقة	1
94. وعلى الرغم من التقدم المحرز مؤخرا، فإن القيود اللوجستية والسياسية والأمنية ستجعل التسريح وإعادة الإدماج المخطط له لـ 000 180 مقاتل سابق بحلول نهاية فترة اتفاق السلام الشامل أمرا بالغ الصعوبة.	1
وقد أعدت الحكومة وفريق الأمم المتحدة القطري، بمساهمات من البنك الدولي، كتيباً عن الأهداف، يحدد موقف تيمور - ليشتي الحالي ويبين الآثار المترتبة على السياسات لتحقيق الغايات والمؤشرات.	2
ومع ذلك، لا توجد في العديد من مناطق البلاد قدرات احتجاز أو محاكم عاملة، مما يضطر سلطات إنفاذ القانون إلى الإفراج عن الجناة الذين يُزعم أنهم خطرون أو يطلب من وحدات البعثة احتجاز المشتبه بهم لأسباب أمنية وحماية المدنيين.	1
قُتل ستة رجال ودفنوا في مقابر فردية.	1
تتولى الإدارة مسؤولية تنظيم وإدارة فيلق حماية كوسوفو، بالإضافة إلى تخطيط وتنسيق وتنفيذ الاستجابة لحالات الطوارئ في حالات الكوارث الطبيعية أو غيرها من الكوارث.	2
وفيما يلي هذه الاحتياطات المنصوص عليها في القانون الدولي العرفي: (أ) يجب على المحارب (أ) أن يبذل كل ما في وسعه للتحقق من أن الأهداف التي سيهاجمها ليست ذات طابع مدني؛ (ب) أن يتخذ جميع الاحتياطات الممكنة في اختيار وسائل وأساليب القتال بغية تجنب الإصابات العرضية للمدنيين أو الأعيان المدنية أو على الأقل التقليل منها إلى أدنى حد؛ (ج) أن يمتنع عن شن هجمات قد يتوقع أن تسبب خسائر عرضية في أرواح المدنيين أو إصابات للمدنيين أو الأعيان المدنية تكون مفرطة بالنسبة إلى الميزة العسكرية الملموسة والمباشرة المتوقعة; (د) إعطاء إنذار مسبق فعال بالهجمات التي قد تؤثر على السكان المدنيين، إلا في حالات الاعتداء (كما هو منصوص عليه في المادة 26 من لوائح لاهاي لعام 1907) أو كما هو منصوص عليه في المادة 57 (2) (ج)، إلا إذا كانت الظروف لا تسمح بذلك - أي عندما يعتبر المحارب أن الهجوم المباغت أمر لا غنى عنه.	2
وقد سنّت هذه الدول تشريعات لمكافحة الإرهاب وبذلت جهوداً لزيادة تعزيز التنسيق والتعاون الإقليمي، خاصة في السياق البحري.	2
ترتبط المخاوف الأمنية الرئيسية بالنشاط الإجرامي والاقتتال بين الفصائل.	1
يشدد على ضرورة محاسبة جميع المسؤولين عن انتهاكات وتجاوزات حقوق الإنسان، ويؤكد على ضرورة إجراء تحقيق شامل ومستقل ونزيه يتسق مع المعايير الدولية في الانتهاكات والتجاوزات المزعومة لحقوق الإنسان، لمنع الإفلات من العقاب وضمان المساءلة الكاملة;	3
وتتراوح المواقع ما بين تلك التي أنشئت للترويج لأفراد معينين، مثل شامل باساييف في الشيشان، أو جماعات، مثل جماعة عسكر الطيبة في باكستان، وتلك التي تهدف إلى تبرير الإرهاب المرتبط بتنظيم القاعدة بشكل عام، مثل صوت الجهاد، أو تقدم تدريبات إرهابية، مثل موقع البتار.	1
67. وإنني أجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع البحارة الأبرياء المحتجزين كرهائن في الصومال حتى يتمكنوا من الالتحاق بأسرهم.	3
من جانبهم، اتهم قادة الحكومة ومؤيدوها الحركة الوطنية لكوت ديفوار وغيرها من "حركات التمرد" بالاستعانة بقوات أجنبية وارتكاب فظائع، لا سيما قتل العشرات من أفراد الدرك في بواكيه.	3
وقد تمكنت اللجنة من وضع سرد مفصل ودقيق لأحداث شهري أبريل/نيسان ومايو/أيار التي أسفرت عن خسائر كبيرة في الأرواح والإصابات وأضرار واسعة النطاق في الممتلكات.	2
تم توفير التدريب لضباط من قوات الأمن الوطني (50 في أدريه و 42 في أبيشي).	2
وفي حين أن المبادرة جاءت استجابةً لنمو الاتجار بالمخدرات والجريمة المنظمة عبر الوطنية في غرب أفريقيا، ستعمل وحدات مكافحة الجريمة عبر الوطنية كمراكز دمج لإنفاذ القانون لدعم القدرات التحليلية والتقنية الوطنية والإقليمية على التصدي للتهديدات عبر الوطنية.	2
التدابير المحددة الهدف والمتدرجة كرد فعل على الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة	1
بعد ثلاثة أيام، اشترى الجليلي 25 بندقية هجومية من طراز AK-47، ومدفعين مضادين للطائرات، و6 رشاشات من طراز PKM، و4 قاذفات RPG-2 وذخيرة.	1
وإدراكا منه لقيمة الإحاطات السنوية التي يقدمها رؤساء العناصر العسكرية، قال المجلس إنه يرحب أيضا بإحاطات مماثلة يقدمها رؤساء عناصر الشرطة من أجل تحسين فهمه للتحديات التشغيلية.	4
وعلاوة على ذلك، حافظت طالبان على قدرتها على استيراد الأسلحة والعتاد والقوة البشرية، ويكمن مفتاح النجاح العسكري في تحييد خطوط إمداداتها وحرمانها من المناطق الآمنة التي يمكن لمقاتليها أن يستجم فيها مقاتلوها بين العمليات وتدريب مجندين جدد.	1
ويؤيد المجلس فكرة إنشاء وحدة للمساعدة في مجال سيادة القانون داخل الأمانة العامة، ويتطلع إلى تلقي مقترحات الأمانة العامة بشأن تنفيذ التوصيات الواردة في الفقرة 65 من تقرير الأمين العام عن سيادة القانون والعدالة الانتقالية في مجتمعات الصراع ومجتمعات ما بعد الصراع (S/2004/616).	4
بالإضافة إلى ذلك، هناك سلسلة من الجماعات الفلسطينية المسلحة العاملة في البلاد داخل مخيمات اللاجئين وخارجها.	1
ويعرب المجلس عن بالغ قلقه من أن المدنيين لا يزالون يشكلون غالبية ضحايا أعمال العنف التي ترتكبها الأطراف في النزاعات المسلحة، بما في ذلك نتيجة للاستهداف المتعمد والاستخدام العشوائي والمفرط للقوة واستخدام المدنيين كدروع بشرية والعنف الجنسي والعنف القائم على أساس نوع الجنس، فضلا عن جميع الأعمال الأخرى التي تنتهك القانون الدولي الساري.	3
484. وفي المناقشات التي جرت مع اللجنة بشأن منهجية عمل لجان اﻻغتصاب، تم التشديد كثيرا على الدعاية الواسعة لوﻻية اللجان.	4
"ويدعو مجلس الأمن بوروندي إلى منع تقديم أي دعم من أراضيها إلى الجماعات المسلحة في جمهورية الكونغو الديمقراطية.	3
30. وبصفة عامة كان موقف السلطات الحكومية من اللجنة متعاونا.	4
كما أنه يركز على حظر وحجب مواقع الإنترنت التي تحتوي على مواد متطرفة وعلى تنظيم المشاكل في هذا المجال.	1
توصي اللجنة بمحاكمة الأشخاص التالية أسماؤهم فيما يتعلق بحيازة أسلحة الشرطة الوطنية لتيمور - ليشتي الوطنية واستخدامها ونقلها بصورة غير مشروعة في 8 و/أو 21 أيار/مايو: روجيريو لوباتو، وإيوزيبيو سالسينها، وأنطونيو دا كروز، وفيسنتي دا كونسيكاو، الملقب بـ "راي لوس"، وماتيوس دوس سانتوس بيريرا، الملقب بـ "موراكات"، ولياندرو لوباتو، الملقب بـ "غراي هارانا"، وأنطونيو لورديس، الملقب بـ "55"، وماركوس دا سيلفا بيدادي، الملقب بـ "لاباداي"، وفرانسيسكو وسانتا كروز.	3
وقد جرّمت جميع الدول الآن في قانونها المحلي توفير الملاذ الآمن للإرهابيين ومؤيديهم واستخدام أراضيها لارتكاب أعمال إرهابية أو الإعداد لها ضد دول أخرى أو مواطنيها.	1
بعد الهجوم، ذهب جميع سكان المنطقة إلى كايلك.	1
بعض هؤلاء المجندين من رابطة الشباب الشيوعي من الجيش الماوي والميليشيا الماويين تحت سن 18 عامًا.	1
31. وترى الدولة أن انتشار المسيحية يشكل تهديداً خطيراً بوجه خاص، لأنها تتحدى إيديولوجياً عبادة الشخصية الرسمية وتوفر منبراً للتنظيم والتفاعل الاجتماعي والسياسي خارج نطاق الدولة.	1
وترى هذه الدولة أن مثل هذا النشاط، في أكثر أشكاله تطرفًا، غالبًا ما يؤدي إلى التطرف العنيف والخسائر في الأرواح.	1
634. ويتضح من المعلومات التي جمعتها اللجنة وتحققت منها أن الاغتصاب أو غيره من أشكال العنف الجنسي التي ارتكبها الجنجويد وجنود الحكومة في دارفور كان واسع الانتشار ومنهجيا، وبالتالي قد يرقى إلى مستوى الجريمة ضد الإنسانية.	1
تم فصل النساء والأطفال عن الرجال، واحتجزوا في منطقة حول المسجد، ثم اقتادهم خاطفوهم لاحقًا ليتم اغتصابهم.	1
وفي ذلك الاجتماع، اتفق الطرفان على مزيد من التعاون بشأن قضايا مسح السكك الحديدية وعودة اللاجئين والنازحين داخلياً.	4
452. بموجب المادة 31 من قانون الأمن القومي، وبموجب أمر صادر عن المدير العام يمكن لرجل الأمن أن يقوم باعتقال شخص أو تفتيشه أو احتجازه والتحقيق معه. ولديه مهلة ثﻻثة أيام يقدم خﻻلها للشخص المعتقل أسباب اعتقاله واحتجازه.	1
