"","ar_en_DEEPL","QuadClass"
"4739","The Council encourages the establishment or strengthening, where appropriate, of subregional or regional mechanisms for cooperation, coordination and exchange of information, in particular cross-border cooperation mechanisms and information exchange networks, with a view to preventing, combating and eradicating the illicit trade in small arms and light weapons across borders.",4
"4740","In addition, the International Monetary Fund (IMF) provided direct budgetary support of $60 million in 2007 as part of its emergency post-conflict assistance and will provide the same amount of support in 2008, including support for elections and social rehabilitation.",2
"4741","In resolution 22/13, the Council mandated the Commission to investigate systematic, widespread and gross violations of human rights in the State with a view to ensuring full accountability, in particular for violations that could amount to crimes against humanity.",4
"4742","In addition, an international obligation is deemed to have been fulfilled any time the responsible state agrees after the conclusion of a peace treaty to pay war reparations or penalties to the other state or states for damage caused to the opponent's nationals, regardless of whether the payment is actually made at any time.",2
"4743","23. UNOMIG and the CIS peacekeeping force continued regular coordination visits, weekly quadripartite meetings, information exchange and joint patrols.",2
"4744","The ability of the Lebanese state to fully extend its authority over all its territory remains limited. However, a series of security incidents have once again highlighted the threats to Lebanon's security posed by armed groups outside the state's control and the proliferation of weapons.",3
"4745","4. Calls upon all States not parties to the Treaty on the Non-Proliferation of Nuclear Weapons to accede to the Treaty as non-nuclear-weapon States, with a view to achieving the universality of the Treaty at an early date, and, pending their accession, to abide by its provisions.",4
"4746","As long as countries do not require listed individuals to abide by the travel ban, they will consider circumventing the ban to be a low-risk endeavor.",1
"4747","Third, the Security Council has recognized in several instances that serious violations of human rights and international humanitarian law pose potential threats to peace and security.",3
"4748","68. The killing of two experts from the Commission on Narcotic Drugs and Crime on April 7, 2014, while on a counter-piracy mission in Somalia, was a sobering reminder of the risks faced by the United Nations in its work to improve the lives of others.",1
"4749","Some rebel groups have directly impeded humanitarian relief work by stealing cars and trucks, putting pressure on national staff working for humanitarian organizations, and even kidnapping some of them.",1
"4750","âThe Security Council encourages the Regional Task Force to continue its operations against all LRA groups, while working with the United Nations and non-governmental organizations to establish safe sites to receive defectors and provide information to assist LRA elements that demonstrate a sincere commitment to demobilization and disarmament.",3
"4751","Several countries have criminalized recruitment for the purpose of committing terrorist acts.",3
"4752","(w) To work with relevant international and regional organizations to raise awareness of and compliance with the measures.",2
"4753","This participant added that the role of political coordinators has changed dramatically in the last ten years, forming a more formalized and institutionalized part of each delegation.",4
"4754","Terrorist and other non-state armed groups with access to transnational criminal markets may have little incentive to exit conflict and enter into a political settlement.",1
"4755","Include gender concerns in needs assessment and resource allocation in post-conflict reconstruction.",2
"4756","17. The Information and Administration Office will continue to expand and modernize the Committee's website and increase the number of links to the websites of the United Nations and other entities with counter-terrorism mandates.",2
"4757","16. On 1 December, in accordance with paragraph (p) of the annex to resolution 2160 (2014), the Monitoring Team provided the Committee with a special written report, in consultation with the Government of Afghanistan, the United Nations Office on Drugs and Crime and United Nations sanctions expert groups, as appropriate, on specific cases of cooperation between organized crime syndicates, in particular in particular hostage-taking for ransom, drug production and trafficking groups, as well as groups illegally exploiting natural resources in Afghanistan, including precious and semi-precious stones, and individuals, groups, undertakings and entities that meet the criteria for listing under paragraph 1 of resolution 2160 (2014).",4
"4758","531. The Commission notes at the outset that it has identified 10 high-level central Government officials, 17 Government officials operating at the local level in Darfur, 14 members of the Janjaweed, 7 members of various rebel groups and 3 foreign army officers (personally involved in the conflict) who are suspected of bearing individual criminal responsibility for crimes committed in Darfur.",3
"4759","In reality, most of these arms transfers to CÃ´te d'Ivoire go undeclared.",1
"4760","During the meeting, the two sides engaged in a broad exchange of views on the implementation of the two Security Council resolutions and on the exercise of the principle of self-determination.",4
"4761","(iv) Killing wounded enemy soldiers",1
"4762","According to Australian official sources, the training includes bomb-making and suicide bombing techniques.",1
"4763","Meanwhile, parliamentarians from the SLPP and MPDC boycotted the opening of parliament, protesting, among other things, the ban on political processions and rallies following the September 9 political violence in Bo.",1
"4764","49. Many challenges remain in combating impunity, particularly due to the limited capacity of civilian and military judicial authorities to conduct independent and thorough investigations and provide protection for victims and witnesses.",3
"4765","183. The information provided in previous reports examined by the Committee is based mainly on witness statements gathered through interviews with internally displaced persons and refugees.",4
"4766","In some parts of the region, the Afghan government has few tools to enforce law and order, and there are a high number of reports of corruption among officials.",0
"4767","The lines between underdevelopment, instability, vulnerability, crisis, conflict and war are becoming increasingly blurred, and the prevention and resolution of contemporary conflicts and peacebuilding require multidimensional measures.",4
"4768","I have the honor to inform you that I have received from the Government of Pakistan a request to establish an international commission on the assassination of the respected former Prime Minister of Pakistan, Mohtarma Benazir Bhutto, on December 27, 2007.",4
"4769","578. One obvious disadvantage of establishing a special tribunal for crimes committed in Darfur is the financial implications.",0
"4770","Reaffirming the need to combat by all means, in accordance with the Charter of the United Nations and international law, threats to international peace and security caused by terrorist acts.",3
"4771","âThe Security Council encourages Member States to continue to cooperate with each other to combat piracy and armed robbery at sea off the coast of Somalia, emphasizes the primary responsibility of the Somali authorities in combating piracy and armed robbery at sea off the coast of Somalia, and requests the Somali authorities, with the assistance of the Secretary General and relevant UN entities, to adopt without further delay a full set of anti-piracy laws and declare an Exclusive Economic Zone in accordance with the UN Convention on the Law of the Sea (UNCLOS).",4
"4772","The team investigated the supply of these vehicles to northern CÃ´te d'Ivoire, but was hampered by not being able to examine the Forces nouvelles vehicles up close, but the team did take photographs of a number of these vehicles that were part of a military convoy in BouakÃ©.",2
"4773","11. The basic structure of the Executive Directorate will remain unchanged, including the number and level of its staff.",0
"4774","Arrangements are being considered for UNDP and UNHCR to establish and manage a successor trust fund for DIS, if desired by the Government and potential donors, until the necessary national structures and capacities are firmly in place.",2
"4775","22. After monitoring the movements of internally displaced persons towards Kosovo and speaking with ethnic Albanians living in southern Serbia in particular, UNHCR reported that they had fled for fear of being caught in the crossfire and as a result of the general unease at the mobilization of police and military forces in the Presevo valley.",3
"4776","66. The mission asked government military commanders whether anyone had been brought to justice for abuses.",4
"4777","In addition, on 29 July, UNOMIG issued a violation report on the establishment of an Abkhaz âtaxâ centre 50 metres from a checkpoint of the CIS peacekeeping force in violation of the Gali Protocol of 12 May 2005 (see S/2005/453, para. 4).",3
"4778","I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, which contains an account of the Committee's activities during the period from 1 January to 31 December 2014.",4
"4779","Recalling also that it requested the Secretary-General to gather information on responsibility for the tragic incident that claimed the lives of the Presidents of Rwanda and Burundi.",1
"4780","UNMIK has prepared a public reconstruction and investment program called âKosovo: Rebuilding in 2000â to guide new donor commitments this year and prioritize IAS priorities.",2
"4781","From these examples, it can be concluded that there are instances where the Security Council acts in the name of justice when faced with heinous crimes that violate human rights.",2
"4782","Expressing its deep solidarity with victims of terrorism and their families, stressing the importance of assisting and supporting victims of terrorism and their families to cope with bereavement and grief, recognizing the important role that networks of victims and survivors play in the fight against terrorism, including by courageously speaking out against violent and extremist ideologies, and in this regard welcoming and encouraging efforts and activities in this field by Member States and the United Nations system, including the Counter-Terrorism Implementation Task Force, in this regard.",4
"4783","29. The deployment of MINUSTAH police is being adjusted to maximize its resources directed towards the electoral process.",1
"4784","It has also signed 51 agreements with the financial intelligence units of foreign countries to exchange information on transactions related to terrorist financing.",2
"4785","72. What happened on March 25 and 26 were indiscriminate killings of innocent civilians and gross violations of human rights.",1
"4786","We take this opportunity to consider the political and security situation in the Sahel-Saharan region, as well as efforts to overcome existing challenges and promote sustainable peace, security and stability.",2
"4787","46. At my invitation, Prime Minister Siniora and President Abbas met on October 18 in Paris to discuss issues related to the presence of Palestinian refugees in Lebanon.",4
"4788","âThe Security Council requests the Secretary-General to report before the end of MINURCAT's liquidation phase on April 30, 2011 on progress in eastern Chad on the protection of civilians, especially women and children, including (i) the situation of refugees and internally displaced persons and durable solutions to their displacement, (ii) unhindered, safe and timely humanitarian access, including the movement and security of humanitarian personnel and the delivery of humanitarian aid, (iii) on measures taken in response to violations of humanitarian, human rights and refugee law, and (iv) the overall security situation.",4
"4789","During the period under review, the Mission discovered and marked 260 mines and unexploded ordnance and monitored the destruction of 3,693 mines and unexploded ordnance.",1
"4790","The International Commission will be a team of three eminent personalities with relevant experience who are known for their integrity and impartiality.",2
"4791","Mandate the establishment and localization of appropriate truth and reconciliation mechanisms (e.g., technical assistance, funding, reintegration of civilians into local communities).",2
"4792","78. The Sudanese Armed Forces are traditional armed forces whose mission is to protect and maintain internal security.",4
"4793","(a) Continue to ensure that any measures taken to combat terrorism comply with their obligations under international law, in particular international human rights law, international refugee law and international humanitarian law.",2
"4794","However, as the Council was briefed on 31 January, reports of shelling are still being received, and the most recent case is being investigated by African Union observers.",1
"4795","Other soldiers began beating the other four women, including the witness.",1
"4796","Welcoming the establishment of the Permanent National Independent Electoral Commission, recalling the need for its members to be nominated through an independent and inclusive process, and recalling the importance that preparations for the elections scheduled for 2010 build on the spirit of reconciliation and dialogue enshrined in the Burundian Constitution that led to the successful completion of the transition.",2
"4797","On 21 December, at a public meeting, the Council was briefed by the Chair of the Committee established pursuant to resolution 1737 (2006) and Permanent Representative of Colombia, NÃ©stor Osorio, on the work of the Committee from 1 September to 18 December 2011.",4
"4798","In 2009, followed by Libya in 2010, Tunisia expanded its AML/CFT obligations by including certain businesses and non-financial professionals under the due diligence obligation to verify the identity of customers, keep records, and report suspicious transactions.",2
"4799","27. Providing sustainable alternatives for ex-combatants is an essential aspect of the process of neutralizing armed groups.",2
"4800","29. On November 25, 2011, President Koroma inaugurated the National Youth Commission. The Commission is expected to take the lead in promoting and coordinating youth development under the Ministry of Youth Employment and Sports.",4
"4801","Expresses concern that the illicit transfer, destabilizing accumulation and misuse of small arms and light weapons continue to threaten the safety and security of United Nations peacekeepers and undermine the effective implementation of peacekeeping mandates ...",3
"4802","Attached is the seventeenth work program of the Committee established pursuant to paragraph 6 of Security Council resolution 1373 (2001) (the Counter-Terrorism Committee), covering the months of October to December 2005 (see annex I).",0
"4803","Calls upon parties to armed conflict to make and implement specific time-bound commitments to combat sexual violence, including, inter alia, issuing clear orders across chains of command prohibiting sexual violence and stipulating the prohibition of sexual violence in codes of conduct and military field operations manuals or equivalent, and to make and implement specific commitments to investigate alleged abuses in a timely manner to hold perpetrators accountable.",4
"4804","The Council can play an important role in ensuring that reparations programs are established to meet the needs of victims.",2
"4805","96. States in the West Asia subregion have suffered a significant number of terrorist attacks. They have taken important remedial steps, including strengthening their counter-terrorism legislation.",1
"4806","Gender-based discrimination is also evident in the targeting of women for bribes or fines.",1
"4807","What distinguishes this category of crimes from war crimes is that it is not concerned with isolated or sporadic violations, but with violations that (a) may occur in time of peace or armed conflict peace or armed conflict and (b) constitute widespread or systematic atrocities (or attacks) against a civilian population.",1
"4808","At the request of the President, UNMEER established a small office in Bamako, which became operational on November 26, led by an Ebola crisis manager to support the Government in containing the outbreak and enhancing its preparedness. On December 13, the last known Ebola patients were allowed to leave the hospital.",4
"4809","Furthermore, the restriction imposed by Eritrea significantly affects the security and operations of United Nations peacekeeping personnel, to the point where continued stationing in small, isolated locations, representing 18 out of 40 locations, has become unsustainable and no longer operationally feasible.",1
"4810","Eight States have measures in place to prevent the illegal cross-border movement of people, and nine States are active in monitoring and controlling the import and export of weapons and explosives.",2
"4811","Among the meetings attended by the Team were two conferences that led to a specific request to the United Nations Office on Drugs and Crime to organize reporting workshops for States from Africa and the Caribbean/Latin America that have to report to one or more of the three Security Council committees dealing with counter-terrorism.",4
"4812","Demands that all parties to the conflict immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, in line with resolution 1820 (2008).",3
"4813","âThe Security Council remains deeply concerned about threats of terrorism and the possibility of non-state actors acquiring, developing, trafficking in or using weapons of mass destruction and their means of delivery.",3
"4814","530. In order to bring clarity to any discussion of perpetrators, two legal tools are necessary: The categories of crimes for which they may be responsible, and the enumeration of the various modes of participation in the commission of international crimes for which different persons may be suspected of being responsible.",4
"4815","âThe Security Council welcomes the establishment of the African Union Border Programme Technical Team to definitively establish the DMZ centerline on the ground, and reiterates that the DMZ centerline in no way prejudices the current or future legal status of the border, nor the ongoing negotiations addressing disputed and claimed areas and the issue of border demarcation.",4
"4816","At the 5303rd meeting of the Security Council, held on 10 November 2005, in connection with the Council's consideration of the item entitled âThreats to international peace and security caused by terrorist actsâ, the President of the Security Council made the following statement on behalf of the Council:",4
"4817","âThe Security Council condemns in the strongest terms the suicide terrorist attack in Yasser, Algeria, on August 19, 2008, which caused numerous deaths and injuries at a gendarmerie training institute; expresses its deepest sympathy to the victims of this heinous act of terrorism and extends its condolences to their families and to the people and Government of Algeria.",1
"4818","The UNCT is currently engaged in a dialogue to review the action plan, including the review of 168 projects, and to further institutionalize development planning including also community-based approaches, such as the Reconciliation and Peaceful Coexistence Mechanism and UNDP-led conflict reduction programmes.",4
"4819","24. A midterm review of the joint vision strategy was finalized in September 2011, following consultations with the Government. The review highlighted the contribution of the United Nations family to the implementation of the Government's Agenda for Change and provided guidance towards a programmatic approach that allows for greater synergy and flexibility in United Nations activities.",4
"4820","âThe Security Council reiterates its support for the establishment of a core group with the task of continuously mobilizing the international community and increasing consultation among key stakeholders to enhance the coordination and effectiveness of assistance to Haiti, and to contribute to the definition of a long-term development strategy aimed at promoting lasting peace and stability in that country.",4
"4821","1. Expresses its determination to take appropriate steps to further develop cooperation between the United Nations and regional and subregional organizations in the maintenance of international peace and security, consistent with Chapter VIII of the Charter of the United Nations, and invites regional and subregional organizations with the capacity for conflict prevention or peacekeeping to place such capacities within the framework of the United Nations Standby Arrangements System.",2
"4822","The resolution imposes legally binding obligations on all States to have in place and enforce appropriate and effective measures to combat the proliferation of nuclear, chemical and biological weapons and their delivery systems.",4
"4823","This mechanism ensures that the listed party does not control the assets of the business and cannot divert its revenues to support terrorism.",2
"4824","The EU hopes that this can happen before the end of 2005, but emphasizes that a prerequisite for this is an agreement on police reform.",0
"4825","Prime Minister Gerard Latortue asked the Provisional Electoral Council to review this timetable, with the support of MINUSTAH, taking into account the constitutional requirement that the President-elect be sworn in on February 7, 2006, and to make changes if necessary.",4
"4826","There has never been any overt or covert attempt by the Government of the Republic of Uganda or its armed forces to enter the territory of the Democratic Republic of the Congo to attack LRA terrorists.",2
"4827","Include gender perspectives in the design and implementation of post-conflict environmental assessments.",2
"4828","It is neither wise nor appropriate to allow Eritrea to think that its attempt to blackmail the Security Council by taking UNMEE personnel hostage will succeed.",1
"4829","Condemning the continuing illicit flow of arms within and into the Democratic Republic of the Congo, and declaring its determination to continue to monitor closely the implementation of the arms embargo and other measures specified in its resolution 1807 (2008).",1
"4830","For its part, the Committee will need to continue to promote a broader understanding that the sanctions regime belongs to States, and work to provide real support for States' national efforts to address the threats posed by Al-Qaida and the Taliban.",3
"4831","âThe Security Council welcomes in this regard the actions taken so far by the PSCF signatories and guarantors, including the convening of the first â11+4â meeting of the PSCF Regional Oversight Mechanism in Addis Ababa on May 26, 2013 and the first meetings of the Technical Support Committee in Nairobi on June 24 and July 22, 2013 first meeting of the PSCF Regional Oversight Mechanism in Addis Ababa on May 26, 2013 and the first two meetings of the Technical Support Committee in Nairobi on June 24 and July 22, 2013, which were aimed at making progress in developing benchmarks to assess the implementation of the PSCF by all signatories.",4
"4832","8. By its resolution 2128 (2013), the Security Council amended the notification requirements relating to the arms embargo, deciding that the Liberian authorities had the primary responsibility to notify the Committee at least five days in advance of any shipment of supplies of lethal arms and related materiel, or of any assistance, advice or training related to the military or other security sector activities of the Government of Liberia.",2
"4833","However, the lack of specific counterterrorism laws limits the effectiveness of these mechanisms.",0
"4834","15. UPDF from Laforstier and Bangoka airports were to withdraw to Bwafasende in accordance with the Implementation Order, while RPA forces at Bangoka airport and the Lubutu-Bwafasende junction were to withdraw to Lubutu.",2
"4835","The following sections describe the Commission's factual findings regarding the patterns of attacks on civilians in the three Darfur states.",1
"4836","In West Africa, UNOWA played a prominent role in supporting efforts to implement the ECOWAS Regional Action Plan to address the growing problem of illicit drug trafficking, organized crime and drug abuse in West Africa.",3
"4837","Furthermore, the committee will set a schedule of meetings that seeks to achieve its goals efficiently and expeditiously.",4
"4838","The State indicated that it had used the media and targeted programs to promote tolerance and dialogue among all beliefs and ethnic nationalities, and that a number of its constituent states had established interfaith committees or groups composed of various religious leaders to promote understanding and tolerance.",2
"4839","27. FARDC remains poorly equipped and supported, and the mission believes that a stronger military presence is needed to help secure the elections in several key areas in Katanga.",1
"4840","23. The security situation in most areas of the country remained fragile but generally stable, with only a few incidents reported.",1
"4841","Elsewhere, deaths occur in violent circumstances and the authorities are unable or unwilling to issue an official document to prove the death.",1
"4842","In this regard, Prime Minister Guillaume Soro's request for UNOCI to issue regular public reports on the Ivorian media will help curb dangerous tendencies in the media that could lead to incitement of election-related violence.",3
"4843","Common standards and procedures are being developed in six key areas: code of conduct; training materials and strategies; standardized procedures for referral of complaints within an agency; community outreach; standardized procedures for implementing partners of United Nations agencies and the United Nations Organization Mission in the Democratic Republic of the Congo (MONUC) in compliance with the Secretary-General's bulletin (ST/SGB/2003/13) on special measures for protection from sexual exploitation and sexual abuse; and referral of complaints received by one agency regarding an incident involving a staff member of another agency.",2
"4844","23. In provinces and units where the national police have already resumed primary policing responsibilities, UNMIT police played a critical role in monitoring and tracking the progress of the national police, while remaining available to provide advice, guidance and operational support and retaining the ability to temporarily reassume law enforcement functions in extreme cases, if required.",4
"4845","20. Since my report (see S/2007/619, para. 25), the Royal Moroccan Army has continued to report a large number of alleged violations of military agreement No. 1 by the Frente Polisario regarding the presence of persons and vehicles in the buffer strip.",3
"4846","Specifically, the recruitment of persons for the purpose of committing terrorist acts is addressed in Law No. 535/2004 on Preventing and Combating Terrorism.",1
"4847","Increased military and police capabilities will be available to MINUSTAH, in addition to the Haitian National Police and 3,600 local security assistants for the elections (see S/2005/313, para. 10).",1
"4848","January 9, 2006 F-FDTL-FNTL soldiers present a written petition to Brigadier General Taur Matan Ruak and President GusmÃ£o.",4
"4849","6. The Committee is also of the view that if it is confirmed that an individual is deceased, that the individual does not have any assets and that none of the beneficiaries of the assets have been listed, the Committee should proceed with de-listing (para. 19).",2
"4850","States have made good progress in establishing AML/CFT regimes, but more regional cooperation is needed at the practical level.",2
"4851","Examining the threat posed by terrorist groups on the African continent reveals a deeply disturbing reality where, rightly or wrongly, political, religious and ideological extremism and organized crime come together in a single view.",3
"4852","Since the arrival of French troops, gendarmes have not been lynched in BouakÃ©.",1
"4853","The Commission also confirmed that following the attack on Tawila in February 2004, a group of about 30 female students were abducted by the Janjaweed and held in a shelter camp where they were repeatedly raped.",1
"4854","Red Cross vehicles and personnel were reportedly seen at the scene, sometimes assisting the injured.",2
"4855","However, this does not prejudice the Commission's conclusion that the Government of Sudan did not pursue a policy of genocide in Darfur.",4
"4856","UN peace operations have adjusted their posture accordingly, showing an increasing tendency to âbunker down,â limiting the ability of both uniformed and civilian personnel to engage with local populations, win their hearts and minds, mediate local disputes, and gather information - actions that are critical to the implementation of peace agreements and conflict resolution efforts.",3
"4857","In many cases, women and men have been abducted or disappeared, with many unaccounted for.",1
"4858","The Security Council adopted resolution 1894 (2009) on the protection of civilians in armed conflict, in which it called for the prioritization of mandated protection of civilians activities in resolutions on the allocation of resources and capacities and requested the development of a concept of operations, comprehensive mission planning and training on the protection of civilians.",4
"4859","For example, Burkina Faso attaches importance to the fight against violent extremism and is working to combat attempts to recruit terrorists.",1
"4860","UNMIN arms monitoring specialists registered and supervised the storage of the Maoist army's weapons for round-the-clock monitoring.",2
"4861","110. Special attention should also be given to providing specialized training for investigators, prosecutors and judges, in areas such as combating the use of the Internet for terrorist purposes; providing support and assistance to victims of terrorist acts; combating chemical, biological, radiological and nuclear terrorism; combating transport-related terrorist crimes; and combating the financing of terrorism.",2
"4862","Commending and reiterating its full support for the efforts of the United Nations-African Union Hybrid Operation in Darfur (UNAMID), the Joint African Union-United Nations Chief Mediator, the United Nations Secretary-General, the League of Arab States, the African Union High-level Implementation Panel for Sudan, and regional leaders, and expressing its strong support for those efforts to promote peace and stability in Darfur and for the ongoing political process under the African Union-United Nations-led mediation.",4
"4863","The National Commission recommended the establishment of judicial commissions of inquiry to investigate the following allegations: Extrajudicial executions; the seizure by Arab groups of two Fur villages in the Kass region; and incidents of killing and burning of hospitalized wounded in the villages of Boram, Melit and Kulbus.",1
"4864","âThe Security Council welcomes the African Union's intention to send a reconnaissance mission to prepare for the deployment of military observers to Somalia, and calls on Somali leaders to cooperate with this initiative.",4
"4865","âThe Security Council solemnly warns DRC's neighbors of the consequences of providing support to armed rebel groups.",3
"4866","- Regarding the first two points: Significant progress has been made in both areas since the submission of the Czech Republic's fourth report. The amendment to the Anti-Money Laundering Act was adopted on April 8, 2004 and entered into force on September 1, 2004. The amendment added, inter alia, the duty to report suspicious transactions not only in connection with money laundering but also in connection with the financing of terrorism. The amendment more clearly defines the natural persons and legal entities that are covered by the Act.",2
"4867","On November 8, 2014, regime warplanes targeted areas around the Martyr Waseem Husseinu Hospital in Idlib, causing extensive damage.",1
"4868","The Committee recognizes that non-reporting may be an indication of âreporting fatigueâ in general owing to the large number of reports that Member States have to submit to the Committee, the Counter-Terrorism Committee, the Committee established pursuant to resolution 1540 (2004) and other United Nations bodies.",2
"4869","This payment was made by states to their nationals who filed claims identified by the Commission as compensable.",0
"4870","Reaffirming the statement by the President of the Council adopted at the meeting of the Council held at the level of Heads of State and Government on 31 January 1992 (S/23500), including the need for all Member States to fulfill their obligations relating to arms control and disarmament, and to prevent the proliferation of all weapons of mass destruction in all its aspects.",4
"4871","Serious human rights violations and breaches of international humanitarian law, including cases of arbitrary detention, killings, child trafficking and rape, continue to be reported by various human rights organizations throughout the country, both in areas under the control of the Forces nouvelles and the government.",1
"4872","The Committee will continue to focus on encouraging States' implementation of resolution 1373 (2001) and on practical measures aimed at strengthening the capacity of States to combat terrorism.",2
"4873","Noting with concern that the threat of terrorism has become more widespread, with various regions of the world witnessing an increase in terrorist acts, including those motivated by intolerance or extremism, and expressing its determination to combat this threat.",3
"4874","Although the official election campaign period has not yet begun, opposition parties and civil society have expressed concern that national authorities, particularly the police, are disrupting their political activities.",3
"4875","At the 4679th meeting of the Security Council, held on December 20, 2002, in continuation of the Council's consideration of the item entitled âProtection of civilians in armed conflictâ at its 4660th meeting, held on December 10, 2002, the President of the Security Council made the following statement on behalf of the Council:",4
"4876","Rogerio Lobato was considered for defense minister but was not given the position after Brigadier General Taur Matan Ruak threatened to leave the defense force. Roque Rodriguez was appointed to the position.",3
"4877","These include the right to report that there are grounds to believe that a person has committed a crime, the right to remain silent, and the right to legal assistance.",0
"4878","About 20,000 people became homeless in Abidjan due to the deliberate destruction of shantytowns.",1
"4879","The Council emphasizes the importance and urgency of re-establishing justice and the rule of law in post-conflict societies, not only to overcome past injustices, but also to promote national reconciliation and help prevent future conflicts.",4
"4880","In those circumstances, the UN office cannot be blamed for the shooting of national police officers.",1
"4881","The fact that the commission was announced four months after the crime was committed means that there was ample time for the perpetrators and their accomplices to destroy evidence and/or collude with each other, as well as for potential witnesses to have diminished recollection, and for previous omissions and destruction of evidence, whether intentional or unintentional, to be irreversible.",0
"4882","The two witnesses who appeared before the Commission of Inquiry, Mr. Donghyuk and Ms. Lee, described their personal experiences in the DPRK before fleeing as refugees.",4
"4883","22. Pursuant to paragraph 11 of resolution 1963 (2010), the Committee, with the assistance of its Executive Directorate, held a special meeting on 28 September 2011 to commemorate the tenth anniversary of the adoption of resolution 1373 (2001) and the establishment of the Committee.",4
"4884",":: Establish and utilize effective arrangements to investigate and prosecute serious violations of humanitarian and criminal law at the local and/or international level (since the start of the operation): Establish and utilize effective arrangements for the investigation and prosecution of serious violations of domestic and/or international humanitarian and criminal law (from the start of the operation).",2
"4885","A workshop to discuss the Internet at the International Summit on Democracy, Terrorism and Security, held in Madrid from March 8-11, 2005, concluded that the Internet should remain free from any additional censorship or interference, allowing open debate to defeat extremist ideas.",4
"4886","Strongly condemns continuing forms of discrimination and violence against women and girls, particularly violence aimed at preventing girls from attending school...",3
"4887","In other words, victims perceive their attackers as people who belong to another hostile group.",1
"4888","Meanwhile, the DRC's transitional government is still considering issuing international arrest warrants against leaders of armed groups in Ituri.",1
"4889","12. Requests States to act vigorously and decisively to disrupt the flow of funds, other financial assets and economic resources to individuals and entities on the Al-Qaida Sanctions List, as called for in paragraph 1 (a), taking into account the relevant recommendations of the Financial Action Task Force on Money Laundering and international standards established to prevent the misuse of non-profit organizations, alternative/informal remittance systems and cross-border movement of currency in kind, while mitigating the impact on legitimate activities through these means.",4
"4890","As a third speaker pointed out, without the obligation to cooperate between permanent and elected members, the Council would continually find itself at an impasse, as resolutions required nine votes to be adopted.",4
"4891","This certainly cannot be interpreted as support for militias.",0
"4892","On December 7, the Council was briefed by the President of the International Tribunal for the Former Yugoslavia, Theodor Meron, and the President of the International Criminal Tribunal for Rwanda, Khalida Rachid Khan. Both highlighted the contributions the tribunals are making to international criminal law, but cautioned that limited resources, lack of state cooperation in critical areas, and ongoing staffing difficulties threaten the successful completion of the tribunals' work.",3
"4893","2. Decides that all States shall take the following measures with respect to Usama bin Laden, members of the Al-Qaida organization, the Taliban and other individuals, groups, undertakings and entities associated with them, as reflected in the list established pursuant to resolution 1267 (1999) and resolution 1333 (2000), to be regularly updated by the Committee established pursuant to resolution 1267 (1999), hereinafter referred to as âthe Committeeâ:",2
"4894","Border control requires the establishment of measures and practices to conduct appropriate screening of travelers, refugees and asylum seekers, to effectively screen and search cargo and travelers' luggage, and to detect and prevent the smuggling of small arms and light weapons, cash, negotiable instruments and bearer payments.",2
"4895","As noted above, the Sudanese judicial system has proven unable and unwilling to ensure accountability for crimes committed in Darfur.",1
"4896","The September 2013 attack on the Westgate Mall in Nairobi, Kenya, demonstrates the capabilities of al-Shabaab, even after its decline in Somalia.",1
"4897","I urge all Somali leaders to take the necessary steps to resolve their differences.",4
"4898","4. Furthermore, in accordance with the policy guidance adopted by the Committee on 25 May 2006, the Executive Directorate should also continue to advise the Committee on issues related to international human rights, refugee and humanitarian law in connection with the identification and implementation of effective measures to implement resolution 1373 (2001), as well as ways to ensure that measures taken by Member States to implement the provisions of resolution 1624 (2005) comply with their obligations under international law, in particular international human rights, refugee and humanitarian law.",4
"4899","Similarly, the Security Council Committee established pursuant to resolution 1518 (2003) maintains a non-binding and non-exhaustive list of âfunds and financial assetsâ and âeconomic resourcesâ, noting that the latter phrase includes âassets of any kind, whether tangible or intangible, movable or immovable, which are not fundsâ.",2
"4900","56. Encourages Member States, when unfreezing the assets of a deceased individual or entity that has been reported or determined to have ceased to exist after delisting, to take into account the obligations set out in resolution 1373 (2001) and, in particular, to prevent unfrozen assets from being used for terrorist purposes.",4
"4901","Otherwise, there have been only minor security incidents that had a direct impact on the election process since voter registration began on April 25. These included incidents related to long lines at registration centers, minor assaults on election guards, and theft and destruction of equipment.",1
"4902","Despite the recent escalation in the number and severity of Taliban attacks, the future of the Taliban is uncertain.",1
"4903","States' attempts to find a peaceful resolution to conflicts is a never-ending process.",2
"4904","Over the next two days, local Somalis brought in a cannon, which they placed on the upper deck of the Alpha Serengeti.",1
"4905","Moreover, more than 1,000 homes were burned down, while records speak of numerous cases of bloodshed, destruction and inhumane treatment.",1
"4906","Furthermore, the West Darfur team visited refugee camps in Chad, and the South Darfur team visited the National Security detention center in Nyala.",4
"4907","63. UNDP established two trust funds to facilitate the mobilization and coordination of financial assistance in support of the implementation of operations under the Ouagadougou Agreement. The first fund, which supports recovery programmes, has received contributions of $8.4 million in addition to pledges amounting to $12.4 million.",2
"4908","130. The trip highlighted the issues faced by countries in the process of establishing legal and institutional frameworks to combat terrorism in an atmosphere of political, social and economic instability.",4
"4909","Similarly, there has never been any evidence that the government has arrested the perpetrators of attacks against civilians, as stated in the joint statement and resolution 1556 (2004).",1
"4910","In other words, residents who survived the attacks on the villages were not just killed in an effort to eradicate the group; they were forced to leave their homes and live together in areas chosen by the government.",1
