ar_en_TRANSFORMERS	QuadClass
Reaffirming its resolutions 1265 (1999) and 1296 (2000) on the protection of civilians in armed conflict and its various resolutions on children and armed conflict and on women, peace and security, as well as its resolution 1631 (2005) on cooperation between the United Nations and regional organizations in the maintenance of international peace and security, and reaffirming further its determination to ensure respect for and follow-up to those resolutions,	2
2. Building confidence and enhancing stability within the host State by promoting truth and reconciliation through:	2
In 45 countries in sub-Saharan Africa, UNESCO has developed a comprehensive map of current policies and resources that provides a picture of how a culture of peace can be promoted.	2
10. Decides that the travel ban imposed by paragraph 1 (b) shall not apply to individuals designated pursuant to paragraph 9 bis above, when the Committee determines, on a case-by-case basis, that such entry or transit is justified, decides further that any such exception approved by the Committee shall be granted only for the period required for any travel to that designated location or locations, directs the Committee to decide on all such requests for exemption, as well as on requests for modification or renewal of previously granted exemptions, or on a request by a Member State to cancel previously granted exemptions, within 10 days of receiving such requests, and affirms that, notwithstanding any exception to the travel ban, listed individuals shall remain subject to other measures provided for in paragraph 1 of this resolution;	2
Case study: attack on a school in Tawilla, Northern Darfur	1
(d) Continue dialogue and exchange of information with designated focal points or coordinators on issues related to their contributions to the implementation of resolution 1540 (2004);	4
Other trends include the increasing use of false identity papers to obtain legitimate and secure travel documents, the increased use of the Internet and other communication technologies (whether to incite terrorist acts or to attract new elements), and the new phenomenon of terrorists acting alone or in small cells.	1
The Mitsubishi Canter truck, which was used to transport explosives, entered Lebanon from the Syrian Arab Republic across the Bekaa border and used a military highway on 21 January 2005 at 1.20 p.m. It was led by a Syrian colonel from the 10th Army Division.	1
There was further violence in the Comoro market, a civilian was killed, eight people were shot and four others were seriously injured.	1
43. Other sources of funding, including the proceeds of transnational organized criminal activities involving smuggling and trafficking in human beings, remain significant.	1
In conclusion, the High Commissioner identified three steps as 'the way forward &apos; to strengthen the working relationship between the Security Council and United Nations human rights bodies.	4
The States of the subregion have made no mention of the procedures or mechanisms used to prevent and suppress the cross-border movement of terrorists.	1
It remains to be seen whether he can establish ties with extremists in Nigeria within the framework of an effective coalition.	1
While the vehicles were leaving, two disarmed officers had fallen or were drawn from one of the vehicles and were stabbed by members of the crowd.	1
185. There is a common finding that the Government, in its response to the insurgency, has committed acts against the civilian population, either directly or through armed groups acting in its place, amounting to gross violations of human rights and humanitarian law.	1
The Committee seeks to ensure that the Consolidated List is dynamic and responsive to the changing threat of Al-Qaida and the Taliban.	4
"The Security Council recalls the commitment of the Government of Chad, set out in the letter to the President of the Security Council dated 7 September 2010 (S/2010/470) to assume full responsibility for the security and protection of the civilian population in eastern Chad, including refugees, internally displaced persons, returnees and host communities, with particular emphasis on women and children, United Nations personnel and assets and humanitarian workers, in accordance with its obligations under international humanitarian, human rights and refugee law.	2
(b) Address shortcomings in the criminalization of terrorist financing and the freezing of terrorist funds, and strengthen the monitoring of the non-profit organization sector and alternative remittance systems;	2
Stresses the importance of safe and unhindered access for humanitarian personnel to civilians in armed conflict, calls upon the parties concerned, including neighbouring States, to cooperate fully with the United Nations Humanitarian Coordinator and United Nations agencies in providing such access, invites States and the Secretary-General to share with him information on the deliberate denial of such access in violation of international law and where such denial may constitute a threat to international peace and security, and in this regard expresses its readiness to consider such information and to take appropriate steps as appropriate.	4
Since January, MONUSCO has documented over 100 incidents targeting members and supporters of the political opposition, journalists and human rights defenders.	1
520. One should not exclude the possibility that in some cases there may be individual persons, including government officials, who may have the intention of genocide, in other words, of attacking victims with the specific intent of partially exterminating a group that is perceived as an anti-ethnic group.	1
Consequently, transactions involving suspected financing of terrorist acts will be subject to the same reporting and arrest system as transactions suspected of being linked to money-laundering.	2
231. In addition, UNHCR reported that, as of 15 November 2004, 203,051 persons from the Darfur region reside in 11 camps and other refugee sites in eastern Chad, along the border with the Sudan.	1
36. Encourages all Member States, in particular designating States and States of residence or nationality, to provide the Committee with additional information on the identity of listed groups, undertakings, entities and individuals and other information with supporting documentation, including updates on the practical status of listed entities, groups and institutions and, where such information becomes available, on the movements, imprisonment or death of listed individuals and other important facts;	4
The States of the subregion are mindful of their vulnerabilities to arms trafficking and have put in place the necessary legislative frameworks to criminalize illicit trafficking and control the production, sale and transfer of arms and explosives.	2
We are encouraged that the Government of the Democratic Republic of the Congo has taken steps to act on the LRA terrorists who have entered her country from the Sudan.	2
It is clear that there was no military necessity to justify such mass destruction of villages by Government forces and Janjaweed.	1
President Gusṃo ordered the petitioners to return to the F-FDTL training centre in Metinaru and to participate in a commission of inquiry to investigate the allegations raised in the petition.	3
On 2 November 2014, regime forces ambushed Lahina village, killing 13 people.	1
However, he felt - and another speaker agreed - that the Council &apos; s initiatives should be more than consistent in its subsidiary bodies and aimed at system-wide coherence within the United Nations when important issues, such as counter-terrorism, were at stake.	4
Reaffirming that terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security and that any act of terrorism is criminal and unjustifiable regardless of its motivation, timing or identity; and reiterating its unequivocal condemnation of Al-Qaida and other individuals, groups, undertakings and entities associated with it for their continuing and multiple criminal terrorist acts aimed at killing innocent civilians and other victims, destroying property and seriously undermining stability,	3
Three media activists were also injured during November, all of whom were wounded by regime forces.	1
106. UNOCI also agreed on 21 February 2005 to allow FACI to conduct two ground tests of engines and systems, for one hour on the last Wednesday of each month, of its Mi-24P (TU-VHO) aircraft, which would not be armed and would be outside its hangar at the Abidjan airbase, under the control of UNOCI.	4
Following the firing of gas bombs and fire by the security forces, the crowds panicked and panicked.	1
21. There were frequent reports that Ivorian helicopters were based in Guinea and that one of the helicopters destroyed by the French in November 2004 was borrowed from Guinea.	2
In this regard, it should be noted that the WAEMU Uniform Act on Combating the Financing of Terrorism provides for the freezing of financial assets belonging to terrorists under administrative procedures.	2
Similarly, one of the victims identified that man as a Janjaweed leader who had led attacks in which civilians had been killed.	1
In some cases, national HIV responses were accompanied by excessive use of force or the imposition of a medical quarantine on communities by means that fell short of standards of human dignity.	1
UNDP and its implementing partners have made arrangements to provide reintegration services to an additional 7,219 ex-combatants upon demobilization.	2
17. On 7 January 2003, the Military Order Court sentenced 30 of the 150 persons initially accused of involvement in or involvement in the assassination of the late President Laurent D̩sir̩ Kabila or the commission of any of the two acts.	1
Beginnings are the establishment by the Council of the ad hoc tribunal for the former Yugoslavia in 1993 and then the ad hoc tribunal for Rwanda a year later.	2
The two leaders have laid the foundations for a sustained dialogue between Lebanon and the Palestinians, which, in my view, represents an important step towards the decisive overcoming of a difficult past and towards the reaffirmation of Lebanon &apos; s sovereignty and political independence.	4
"The Security Council notes with concern that terrorism continues to pose a serious threat to international peace and security, the enjoyment of human rights and the social and economic development of States, and undermines global stability and prosperity, and that this threat has become more widespread, with an increase, in various regions of the world, in terrorist acts, including those motivated by intolerance and extremism, and reaffirms its determination to combat by all means, in accordance with the Charter of the United Nations and international law, including applicable international human rights, refugee and humanitarian law, threats to international peace and security caused by terrorist acts.	3
13. Although most States in the subregion are known to have established anti-terrorism law enforcement units, only three have established adequate institutional structures and inter-agency coordination to address counter-terrorism issues.	2
In addition, they have begun to address the detention by Georgian police, from 12 to 31 August, of trucks from the CIS peacekeeping force transporting goods from the Abkhaz side of the ceasefire line.	1
Civilians were often forcibly displaced as a result of the attack.	1
Thanks to the proximity of the Pakistani border, this labour force, tools and shelter are available.	1
The group had strong links with Al-Qaida in the Arabian Peninsula and had provided training in Somalia for terrorist personnel from Nigeria and countries close to its borders.	1
Subject to the availability of resources, provide staff with practical and operational tools to systematically integrate gender concerns into security sector reform work; implement recommendations made by the 2005 Forum on Gender and Governance in Africa, with a view to achieving the African Union target of 30 per cent of women in national assemblies.	2
(a) Seek ways to exchange and accelerate operational information, in particular regarding acts or movements of terrorists or terrorist networks; forged or forged travel documents; trafficking in arms, explosives or sensitive materials; the use of communications technology by terrorist groups; and the threat posed by the possession of weapons of mass destruction by terrorist groups;	2
Many of the victims of the attacks in the same area, who identified their attackers as Janjaweed, explained to the Commission that the attackers were in the same uniform as the local People &apos; s Defence Forces, using the same method of deployment during the attack and using the same weapons as they used.	1
(g) The Commander of the Armed Forces cannot be held criminally responsible for the firing of national police officers by F-FDTL soldiers after the ceasefire of 25 May;	1
The Security Council reiterates its demand for the armed forces to be fully under civilian control.	3
21. The Chair of the Committee, in cooperation with the Chair of the Security Council Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism and the Security Council Committee established pursuant to resolution 1540 (2004), jointly briefed the Council in 2013.	4
He hoped that the Council &apos; s discussion would raise awareness of future needs and help to achieve adequate levels of political, financial, human and logistical support, thereby supporting the common goal of using the peacekeeping instrument to strengthen international peace and security.	4
The programme collects information at the national level on all persons arrested or suspected of involvement in low-level crimes such as forgery of bank/credit cards or travel documents.	2
The fruit loading station next to the military loading station is located in an isolated part of the seaport, which is why military-type equipment was unloaded there.	1
3. By its resolution 1267 (1999), the Security Council imposed a limited air embargo and financial embargo to compel the Taliban to desist from providing refuge and training to terrorists, including Osama bin Laden.	1
17. Through its visits to donor countries, the Executive Directorate has been able to gather much more accurate information on its regional interests, technical assistance capacities to combat terrorism and its existing programmes.	2
An eighth formed police unit from Nigeria is expected to be deployed in October.	2
24. The economy of all States in the subregion is cash-based, which increases the risk of terrorist financing through the physical cross-border movement of currencies and other nominal securities and through informal transfers of funds and transfers through alternative remittance systems.	1
The regime &apos; s besieged areas continue to be shelled daily, resulting in the slaughter of civilians without any interest or media coverage.	1
The Mission has decentralized its communications functions to improve coordination locally, while preparations prior to the arrival of the Transitional Force have facilitated the transition.	2
In his briefing to the Council in December 2005 and June 2006, Under-Secretary-General Gambari described the serious human rights and humanitarian conditions in Burma, including the detention of more than 1,100 political prisoners, as well as the influx of refugees, drugs, HIV/AIDS and other diseases from Burma.	1
Their work with regional and subregional organizations should focus on facilitating the interaction of regional and national institutions to address national implementation challenges, such as matching priorities, harmonizing approaches, facilitating advisory and drafting services and matching requests and offers of assistance.	2
4. Notes with concern the close link between international terrorism, transnational organized crime, illicit drug trafficking, money-laundering, illegal arms trafficking and illegal movement of nuclear, chemical, biological and other potentially deadly materials, and in this regard stresses the need to enhance coordination of efforts at the national, subregional and international levels in order to strengthen the global response to the serious challenge and threat to international security;	3
9. Requests the Secretary-General to continue to report regularly, at least every three months, on the situation in the Democratic Republic of the Congo and on the activities of MONUC and to provide the Security Council with specific updates on the military situation on the same basis;	2
3. In the view of the participants, these events, with their seriousness, serve as a reminder of the need and urgency to speed up the process that would lead to inclusive dialogue among the Malian parties, in a manner that would lay the foundations for genuine reconciliation between Malians and for the consolidation of peace, security and stability in the country.	4
Based on a thorough analysis of the information gathered during the Commission &apos; s investigations, the Commission found the responsibility of the Government of the Sudan and the Janjaweed militias for serious violations of international human rights and humanitarian law that constitute crimes under international law.	3
"The Security Council is deeply concerned about the devastating humanitarian, political and economic consequences of armed conflicts; and stresses the supreme political and moral necessity of preventing the outbreak and escalation of armed conflicts and the consequent benefits of peace, development and friendly relations among all States.	1
Some said that, in any case, such companies should take steps to close sites that taught terrorist techniques, such as the manufacture of explosives or the use of weapons, which could cause widespread injury.	4
The members of the Committee were of the view that the contents and current format of the "checklist" should be reviewed with a view to redesigning them, if necessary, and examining their efficiency on a pilot basis at a later date.	4
19. Two States have criminalized the financing of terrorism, while another five have introduced some legal provisions to address this issue.	2
They have also been deprived of their liberty and their right to freedom of movement within the Democratic People &apos; s Republic of Korea, their right to recognition as a person before the law and their right not to be subjected to torture and other cruel, inhuman or degrading treatment.	1
269. The Commission has seen a large number of reports from various sources, documenting large-scale killings of civilians throughout Darfur, from 2003 until the time of publication of the present report.	1
Taking note of the report of the Secretary-General on the protection of civilians of 29 May 2009 (S/2009/277) and its annex on restrictions on humanitarian access, which highlighted the key challenges for the effective protection of civilians, namely, enhancing compliance with international law; increasing compliance by non-State armed groups with their obligations under international law; improving protection through better and more effective resources for United Nations peacekeeping operations and other relevant missions; improving humanitarian access; and enhancing accountability for violations,	4
The operation was cancelled and a crisis could not be avoided until the commander of the French Licorne forces, General Irasturza, telephoned the Chief of Staff of the Forces nationales de C̫te d &apos; Ivoire (FANCI), General Mango, to inform him that the flight would be considered hostile.	2
In some cases, they were killed when they ventured out of the camp, either to return to their village or for any other reason.	1
The actions of the PNTL were publicly condemned as being oblivious and disrespectful to one of the former leaders of the resistance.	3
The Under-Secretary-General also indicated that the United Nations had monitored an increase in the indictment by the Government of Southern Sudan against UNMISS and in violations by the Government of the status-of-forces agreement.	3
Security Council resolution 1373 (2001) already imposes obligations on States to take certain measures to suppress terrorism, end recruitment of members of terrorist groups, prevent the movement of terrorists and bring terrorists to justice.	2
119. Significant resources have been invested worldwide in initiatives to promote dialogue and understanding among civilizations and to counter incitement motivated by extremism and intolerance.	2
96. The Committee noted that the National Security Forces Act, as amended in 2001, gave the security forces broad powers, including the power to arrest without charge or access to justice for up to nine months.	3
(c) Facilitate capacity-building of the States of the subregion, in cooperation with the Eastern and Southern African Group against Money Laundering, to establish/strengthen financial intelligence units and develop their legislative and executive capacity to freeze funds without delay.	2
These international enforced disappearances are unique in their intensity, scope and nature.	1
26. In several public statements over the past six months, the Hizbullah leadership has stated that it has increased the strength of the military party and will seek to continue to do so in open defiance of resolution 1559 (2004).	1
Anwar Khoja of Kosovo said that Kosovo &apos; s independence was a fact that could not be negotiated and that Kosovo &apos; s institutions were open to all those seeking political change through institutions, including Kosovo Serb politicians in northern Kosovo.	4
Many of these States have not reviewed the non-profit sector to detect potential risks related to the financing of terrorism, but the United Kingdom, in particular, has put in place mechanisms to assess and protect this sector, as well as through the international programme of the Committee on Charities, which seeks to ensure international operational outreach and capacity-building assistance in other parts of the world.	2
66. In one such incident, in Abobo, in the PK 18 area, six young men living in the same place were forcibly arrested by police and masked members of special units, or the so-called parallel forces, at 11 p.m. on 25 March.	1
218. JEM affirmed that its internal regulations contained strong obligations to respect international humanitarian law and human rights law and further affirmed that it had not and would not direct its attacks against civilian targets.	2
In particular, the Commission found that Government forces and militias under its control had in many cases attacked civilians and destroyed and burned villages in Darfur, in contravention of the relevant principles and rules of international humanitarian law.	1
Renovation of prisons and detention centres, which were in very poor condition in Kosovo, was also a top priority for the UNMIK Department of Justice.	2
205. States in the subregion are very vigilant about the terrorist threats they face and have invested enormous resources in expanding their legal frameworks, establishing and strengthening counter-terrorism institutions and making efforts to strengthen the capacity of law enforcement and intelligence agencies.	2
The Committee received 11 notifications from Member States supplying military equipment to the Congolese authorities and sent a similar number of declarations.	2
The Group will hold its 17th plenary meeting in Dubai, United Arab Emirates, in the last week of October 2014, in conjunction with the Fourth United Arab Emirates Anti-Piracy Conference.	4
The Security Council notes the publication of the Rabat Memorandum on Good Practices for Effective Counter-Terrorism Activities in the Criminal Justice Sector; the Rome Memorandum on Good Practices for the Rehabilitation and Reintegration of Extremist Violent Offenders; and the Algiers Memorandum on Good Practices for Preventing and Rejecting the Benefit of Hostages to Terrorists.	2
88. One State reported that its national counter-terrorism strategy required that the authorities &apos; actions be consistent and transparent and that they ensure respect for the rule of law, democracy, fundamental rights and good governance.	3
:: Prohibition of attacks on life and persons, in particular murder, mutilation, cruel treatment and torture; enforced disappearances; attacks on the dignity of persons; rape, sexual slavery, forced prostitution, forced pregnancy, forced sterilization and any other form of sexual violence.	3
89. Although States in the subregion have the necessary legislation and institutions to combat the smuggling of persons, weapons and explosives, what is lacking is the practical implementation of measures to monitor and prevent illicit cross-border movements.	1
Council members also called on all States in the region to make every effort to improve the situation, in particular by taking action to prevent armed individuals and groups from using their territories to prepare or commit attacks on neighbouring countries.	4
197. Most States of the subregion have enacted laws regulating the import and export of arms.	2
While there, he also met with representatives of the Ogaden Liberation Front and the Oromo National Liberation Front, some of whom were militia leaders who had arrived from the State concerned at Dosamarib by plane in April 2005.	4
No State can combat terrorism. The transnational nature of the terrorist threat requires cooperation and coordination with other States.	4
I stand ready to work closely with the Security Council, collectively and with individual stakeholders, to find a solution to this serious crisis, to complete the peace process expeditiously and to re-energize vital humanitarian activities in Eritrea.	4
360. It is clear from the information gathered and examined by the Commission that rape or other forms of sexual violence committed by Janjaweed or Government soldiers in Darfur were widespread and systematic and could therefore amount to a crime against humanity.	1
One soldier was slightly injured in the finger as a result of a grenade explosion.	1
During the meeting, the parties supported, in principle, UNHCR &apos; s approach to the return of refugees and internally displaced persons and the activities planned for the next two years.	4
Prominent journalists were detained for expressing their views on human rights, the Constitution and the rule of law issues.	1
This resolution is the second most important change in the processing of humanitarian contracts under the programme since the adoption of resolution 1284 (1999), which has increased the amount of oil that Iraq can sell under the programme, and has introduced new urgent measures for some humanitarian goods.	2
During the current conflict, Government soldiers had committed massacres against people in Monoko-Zuhi, and there had been recent reports of mass graves in Man and in Dandan̩, the responsibility for which was attributed to Government forces.	1
The issue of disarmament and the arrest of the perpetrators of those atrocities is the most important and shining requirement of the Council and an example of the failure of the Government to fulfil its responsibilities.	3
Reiterating the need to ensure that the current sanctions regime contributes effectively to ongoing efforts towards fighting the insurgency and to support the work of the Government of Afghanistan to advance reconciliation for peace, stability and security in Afghanistan,	3
The Group believes that a ban could have the greatest impact on these and other high-priority threats, such as the use of man-portable air defence systems, if it is more closely linked to other counter-proliferation and arms control regimes.	3
This has led to increased tension between the East and West regions and to imbalances within the police forces.	1
The Prime Minister reached agreement with the members of the second delegation, consisting of Palestinian armed groups based in Damascus, to establish a follow-up committee to discuss all issues, including the issue of weapons. On 13 October, the Lebanese Council of Ministers, having unanimously endorsed the position of the Prime Minister, decided to establish such a committee, with a view to resolving the issue of Palestinian weapons within the camps through dialogue.	2
There have been comprehensive and difficult discussions for more than 54 hours on the issue of the fact-finding team in the Jenin refugee camp.	4
In these recommendations, it was suggested that the Committee should: (a) encourage States, before proposing a name for inclusion in the list and without prejudice to their right to pursue its submission, to consider contacting the State of residence and/or nationality of the proposed designated person or entity); (b) clarify the procedure to be followed in cases where a State has mistakenly frozen the assets of innocent persons with a name similar to that of a listed party; (c) require States to send de-listing petitions to the Committee even if they object to such petitions, so that the Committee may take the final decision); (d) increase the number of States that may submit delisting petitions; (e) work to reach a decision on delisting petitions within a specified period, where possible, and notify the submitting State of the results; (f) clarify that de-listing is possible, in some circumstances, for both parties identified by mistake and those who renounce terrorism and prove that they are no longer associated with Al-Qaida or the Taliban; and (g) allow, in appropriate circumstances, the removal of deceased persons from the list (Sep. 31/75 and 28).	4
15. Since its establishment by the Government in June 2005, the Special Criminal Tribunal for the Events in Darfur has handed down judgements in five cases.	3
Propaganda, rocket attacks, improvised explosive devices and occasional suicide bombers may remain the main weapons used by the opposing armed forces.	1
The Group also visited the police checkpoint in Niangoloko and examined the "mobility register" but did not observe any irregularities; some rifles and handguns were confiscated.	4
12. Invites the Committee, working in cooperation with the Committee established pursuant to resolution 1373 (&quot; the Counter-Terrorism Committee &quot;) to inform the Council of further action that States may take to implement the measures set out in paragraph 1 above;	4
During the reporting period, over 300 members of Chadian armed opposition groups returned from the Sudan to Chad.	2
Members of the Council expressed their grave concern at the appalling human rights violations and crimes against humanity mentioned in the report.	3
10. Reiterates the importance for all States to identify or, where appropriate, develop appropriate procedures for the full implementation of all aspects of the measures set out in paragraph 1 above, and strongly urges all Member States to implement the comprehensive international standards embodied in the Financial Action Task Force &apos; s revised Forty Recommendations on Combating Money-Laundering and the Financing of Terrorism and Proliferation, in particular recommendation 6 on targeted financial sanctions related to terrorism and terrorist financing;	3
Participants considered holistic approaches to addressing the factors leading to the spread of extremism and terrorism in the region, and how United Nations entities could best assist in dealing with this phenomenon and its implications for peace, security and stability.	4
40. Much has been achieved in the 15 years since the establishment of the peacekeeping operation in the Democratic Republic of the Congo on 30 November 1999, and Congolese interlocutors recognize that the withdrawal of foreign armed forces, the reunification of the country, the establishment of the Transitional Government and the conduct of two national elections have been achieved.	2
Both sides did not withdraw their forces from the area, in contravention of the 20 June 2011 agreement.	1
(v) Working with relevant international and regional organizations to promote awareness of and compliance with the measures;	4
Other documentary material had also to be collected and analysed to identify issues that contributed to the crisis; the Commission would subsequently verify the information contained therein and the reports, and would investigate further facts by interviewing witnesses, officials and other persons in positions of authority, as well as persons detained in police custody or in prison, and by visiting places where crimes were alleged to have been committed or other events.	2
"The Security Council recognizes the need to prevent and suppress the financing of terrorism and terrorist organizations using, inter alia, the proceeds of organized crime, including the illicit production of and trafficking in narcotic drugs and their chemical precursors, and the importance of continued international cooperation to that end.	4
They were given a list of the three accused, who were senior military commanders of the assembly, and it was observed that two of them had been promoted.	2
28. IOM continued to support the development of the Immigration Service of the National Police through an expanded capacity-building programme, technical legal support for the revision of the Immigration and Asylum Act and assistance in the development of a border information management system.	2
The picket culminated in the announcement by the opposition of a campaign of civil disobedience to prevent the passage of the bill, and on 30 October the demonstrators broke into the police ranks and looted the National Assembly building.	1
Emphasizing that the development and maintenance of fair and effective criminal justice systems should be an essential pillar of any strategy to combat terrorism and transnational organized crime,	3
95. The structure and organization of Syrian and Lebanese intelligence services in Lebanon at the time of the explosion, including reporting systems, reveal the extent to which they have had an overwhelming impact on daily life in Lebanon.	1
20. The international community has devoted considerable efforts to resolving the problem of the presence of armed groups in the Democratic Republic of the Congo.	2
The members of the Council also look forward to receiving the list of violators of the sanctions that the Monitoring Team is expected to provide in its final report.	4
All 18 States reporting arms exports and imports have taken steps to regulate the production, sale and transfer of weapons and explosives.	2
The concerns expressed by this group included the challenge posed by the sedition of the base, the use of the Internet by terrorists, the glorification of terrorism through the media, the undefined nature of sanctions, the need to support rehabilitation programmes and the exchange of technical and operational intelligence.	2
Call upon parties to armed conflict to take appropriate measures to refrain from and prevent acts of sexual violence and to protect all persons from all forms of exposure, including:	4
However, the very nature of most international crimes implies, as a general rule, that they have been committed by or with the participation of State officials, so that their prosecution is often better left to other mechanisms.	3
Universal jurisdiction applied to such crimes, which could be brought before any national or international court, in the absence of prosecution by Algerian justice.	2
The Commission benefited from the report of the Committee of Experts to Review the Trials of Gross Human Rights Violations Committed in Timor-Leste (then East Timor) in 1999 (see S/2005/48). In that assessment, it was noted with concern that the Prosecutor &apos; s interpretation that his constitutional responsibility to the President required him to pursue the President &apos; s policy with regard to trials was noted.	2
Participants pledged to support the signing of a peace agreement and called for the strengthening of MINUSMA capacities and committed themselves to strengthening regional security cooperation to combat terrorism.	2
52. With regard to disarmament, UNOCI will continue to support the accelerated implementation of the cantonment, consistent with the third supplementary agreement.	2
:: Some members stressed that international law, including human rights law, must be respected in the fight against terrorism and, while stressing that terrorism constitutes a gross violation of human rights and freedoms, including the fundamental right to life, one member stressed that protection against terrorism should be considered a human right and reaffirmed its initiative to develop a code for the protection of human rights against terrorism, under the auspices of the United Nations.	2
According to another State, a comprehensive State-led response to extremism must consider the communities themselves as an integral part of the national security framework.	2
The Special Representative said that recent gains in land recovery from ISIL had shown that the strategy, which enjoyed international military support, continued to make progress.	1
Preventing radicalization and extremism among young people in particular should be a priority area for action.	4
I welcome the steps taken by the African Union and the affected LRA countries to define a coordinated strategy in dealing with armed groups and to improve the protection of civilians.	4
A number of detainees held by the Moroccan authorities were on hunger strike during the period from the beginning of August to 29 September.	1
29. A second battalion will be deployed in the southern town of Kamina to: protect the airport runway; provide a secure environment for the electoral process within its area of operations; monitor and encourage Mayi-Mayi militias in the south to participate in the integration or disarmament, demobilization and reintegration process; and support and guide FARDC, particularly in Kamina.	2
This is reflected in groups fighting in Somalia, Yemen, the Syrian Arab Republic and Nigeria.	1
188. Eyewitnesses who saw many of the incidents published in those reports stated that the attackers were in uniform, but noted a difference between the uniforms of regular troops and those of Janjaweed militias.	1
The Government has not taken the necessary administrative and legislative action to combat the situation of corruption in the Provisional Institutions.	1
As you are aware, the resolution was adopted in 1996 against the background of the sharp confrontations between the parties to the Georgian-Abkhaz conflict, which continued following the vicious war of 1992-1993.	1
In the context of the food crisis, as in other cases, UNHCR was able to provide vital information at various levels that allowed for enhanced effectiveness on the ground and helped to enhance coherence among response policies.	2
Salah Sulaiman Ayash, a 33-year-old driver in the medical rehabilitation system in Rif Dimashq, was shot dead by government forces while attempting to enter Zebdin on 27 November 2014.	1
"The Security Council considers sanctions to be an important counter-terrorism tool and stresses the importance of immediate and effective implementation of relevant resolutions, in particular Security Council resolutions 1267 (1999) and 1989 (2011), as a key tool in the fight against terrorism.	3
Large-scale operations may have taken place in fewer numbers than al-Qa'idah leaders would like, but the arrest or killing of suspected Al-Qaida-related terrorists in more than 40 countries around the world since the Group &apos; s last report in November 2006 (S/2007/132) suggests a great deal of planning for terrorist operations.	1
The first programme element is the establishment of transnational crime units in C̫te d &apos; Ivoire, Guinea, Guinea-Bissau, Liberia and Sierra Leone.	2
126. The Group investigated the delivery chain for these vehicles to determine whether those involved had prior knowledge that the Ivorian Ministry of Defence would be the end user.	2
This group remains one of the most powerful extremist armed groups in Iraq.	3
The National Commission also found evidence that the armed forces had shelled some areas where some members of the opposition were seeking refuge, killing civilians.	1
While the nature of the consultations will ultimately be determined by the stakeholders themselves, it is envisaged that such consultations will require local and state-level conferences across Darfur to conclude with a Darfur-wide conference.	2
Furthermore, the Coordinating Action Mechanism has decided to initiate the development of international standards for the control of small arms that are no different from those developed on mine action and on disarmament, demobilization and reintegration.	2
41. The United Nations also provided training to the Women &apos; s Media Association to enable it to raise public awareness of human rights and HIV/AIDS.	2
14. Formal peace negotiations between the Government of Mali and the armed groups began in Algiers on 14 July, facilitated by an international mediation team composed of the United Nations, regional organizations and neighbouring countries, led by Algeria, aimed at stabilizing the ceasefire and reaching a peaceful solution to the conflict, while preserving the territorial integrity of Mali, and on 24 July the Government of Mali and the armed groups signed an initial agreement establishing a road map for further negotiations.	4
Following the shelling, Janjaweed launched an attack in which they destroyed houses and looted property.	1
In Nyakunde, well over 2,000 people were reportedly killed; the population fled to the forest.	1
Most States do not have domestic refugee legislation and only three have ratified the 1951 Refugee Convention.	2
Citing one example, the Commission was informed that during an attack on Kutum, Northern Darfur, on 1 August 2003, the rebels attacked the Criminal Court and the homes of the judges and looted their contents.	1
The Mission is also assisting DIS in the establishment of a reference library with educational materials to assist in the future training of DIS personnel.	2
In March 2009, when President Omar Al-Bashir was ordered to be arrested, some predicted that this judicial order against the head of State of the Sudan, who continues to exercise his powers, would undermine prospects for the implementation of the 2005 Comprehensive Peace Agreement.	3
:: In carrying out its mandate, the Committee is assisted by the Counter-Terrorism Committee Executive Directorate, which acts under the policy guidance it receives from the plenary.	2
For example, the nuclear industry has responded to increased scrutiny and fears of terrorists acquiring weapons of mass destruction after the attacks of 11 September 2001 and has proactively addressed non-proliferation concerns.	1
Encourages troop- and police-contributing countries, in consultation with the Secretary-General, to consider measures they can take to enhance the awareness and responsiveness of their personnel participating in United Nations peacekeeping operations to protect civilians, including women and children, and to prevent sexual violence against women and girls in conflict and post-conflict situations, including, where possible, deploying a larger proportion of women peacekeepers or police.	4
(n) To consult with the intelligence and security services of Member States, including through regional forums, with a view to facilitating the exchange of information and enhancing the enforcement of measures;	4
However, United Nations human rights mechanisms have expressed concern about legal provisions on counter-terrorism that restrict certain rights in some States, which may make it impossible to implement international agreements on mutual legal assistance and extradition.	3
4. The Commission is also concerned with the classification of violations of international human rights law and international humanitarian law that it may establish, from the point of view of international criminal law, which is implicitly required for the other tasks it has set for the Security Council Committee, namely (a) to determine whether such violations amount to genocide and (b) to identify the perpetrators of such violations.	2
"The Security Council takes note with interest of the Secretary-General's important proposal for the establishment of a Peacebuilding Commission and believes in the objective of improving the capacity of the United Nations to coordinate with donors and troop-contributing countries and conduct peacebuilding activities, particularly from the beginning of peacekeeping operations to the stabilization, reconstruction and development phases.	2
Hizbullah &apos; s maintenance of large and sophisticated military capabilities beyond the control of the Government of Lebanon is creating an atmosphere of threat and represents a major challenge to the safety of Lebanese civilians and to the Government &apos; s exclusive right to the legitimate use of force.	1
In discussing the role of the President of the Council, several participants recognized the need to avoid "two traps": first, a national agenda to guide the Council towards specific interests; and, second, an overly isolated and formalized leadership.	4
