"","en_ar_GOOGLE","QuadClass"
"11","جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))؛ الإمدادات من المعدات العسكرية غير الفتاكة المخصصة للاستخدام الإنساني أو الوقائي فقط، وما يتصل بذلك من مساعدة تقنية أو تدريب (الفقرة 54 (ب))؛ الملابس الواقية، بما في ذلك السترات الواقية من الرصاص والخوذات العسكرية، التي يصدرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجال الإنساني والإنمائي والأفراد المرتبطون بهم، لاستخدامهم الشخصي فقط (الفقرة 54 (ج))؛ إمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة فقط للاستخدام في الدوريات الدولية التي توفر الأمن في المنطقة المحمية الثلاثية لنهر سانغا للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغيرها من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو وبالالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ إمدادات الأسلحة والمعدات الفتاكة الأخرى ذات الصلة إلى قوات الأمن في جمهورية أفريقيا الوسطى، المخصصة حصراً لدعم عملية إصلاح القطاع الأمني في جمهورية أفريقيا الوسطى أو استخدامها فيها، على النحو الذي وافقت عليه اللجنة مسبقاً (الفقرة 54 (هـ)) ; أو عمليات بيع أو توريد أخرى للأسلحة والأعتدة ذات الصلة، أو تقديم المساعدة أو الأفراد (الفقرة 54 (و)).",2
"12","على سبيل المثال، أجرت بولندا وكرواتيا، بدعم من مكتب شؤون نزع السلاح، استعراض نظراء لتنفيذهما للقرار، يتألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، راقبها خبراء اللجنة. وقد ساعد استعراض النظراء هذا على تحديد الممارسات الفعالة وتسهيل تبادل الخبرات.",2
"13","وقد أجرى العديد من الاتصالات مع الحكومة المغربية، التي طلبت، قبل قبول استئناف الدبلوماسية المكوكية، عقد اجتماع لتوضيح مخاوفها بشأن التقرير الأخير للأمين العام (S/2014/258)، موضحا أن المغرب يعتبر أن وهذا من شأنه أن يسمح للعملية بالمضي قدمًا بأفضل طريقة ممكنة.",4
"14","وعلى الرغم من الاهتمام المتزايد والتطورات الإيجابية الأخيرة في هذا المجال، لا تزال هناك تحديات عديدة على أرض الواقع فيما يتعلق بالتنفيذ، ولا سيما التحديات المتعلقة باستمرار عدم الوضوح الذي يحيط بمفهوم وتفعيل حماية المدنيين، وآليات التنسيق الداخلية والخارجية، الإنذار المبكر والاستجابة السريعة، ودعم قوات الأمن التابعة للحكومة المضيفة، وقدرات القوات والموارد.",3
"15","15 - منذ تقريري المؤرخ 2 كانون الثاني/يناير 2008 المقدم إلى مجلس الأمن (S/2008/1)، قامت عملية الأمم المتحدة في كوت ديفوار بإزالة جميع مراكز المراقبة السبعة عشر التي أنشأتها على طول الخط الأخضر، باستثناء مركزين، وذلك تمشيا مع أحكام اتفاق واغادوغو.",2
"16","50- أجرى المقرر الخاص المعني بتعزيز وحماية حقوق الإنسان والحريات الأساسية في سياق مكافحة الإرهاب زيارة رسمية إلى بوركينا فاسو في الفترة من 8 إلى 12 نيسان/أبريل 2013، بدعوة من الحكومة، لجمع معلومات عن الوضع الحالي في بوركينا فاسو. ومن ثم مساعدة الحكومة في جهودها الرامية إلى مكافحة الإرهاب مع احترام حقوق الإنسان وتعزيز تنفيذ الصكوك الدولية.",2
"17","وكان الهدف من هذه الجهود هو تحسين الأمن في المنطقة وتعزيز تحالف وادي جوبا والمصالحة بين الجنرال &quot;مورغان&quot; والتحالف اللذين يتقاتلان على مناطق في وادي جوبا منذ عدة سنوات.",2
"18","وينبغي للدول أن تمتنع عن تثبيط الجهات الفاعلة الإنسانية في جهودها الرامية إلى إشراك الجماعات المسلحة من غير الدول لأغراض إنسانية، بما في ذلك القيام بأنشطة تهدف إلى تعزيز احترام القانون الإنساني الدولي.",3
"19","يحث الدول الأعضاء على ضمان زيادة تمثيل المرأة على جميع مستويات صنع القرار في المؤسسات والآليات الوطنية والإقليمية والدولية لمنع الصراعات وإدارتها وحلها.",4
"20","38 - يوعز إلى اللجنة بتحديد الحالات المحتملة لعدم الامتثال للتدابير المنصوص عليها في الفقرة 1 أعلاه وتحديد مسار العمل المناسب في كل حالة، ويطلب إلى الرئيس، في تقارير دورية تقدم إلى المجلس عملاً بالفقرة 46 أدناه، وتقديم تقارير مرحلية عن عمل اللجنة بشأن هذه المسألة؛",2
"21","حاء - منع الاستغلال والاعتداء الجنسيين من جانب موظفي الأمم المتحدة والأفراد المرتبطين بها وشركاء الأمم المتحدة والتصدي لهما؛",2
"22","في جلسة مجلس الأمن 6034، المعقودة في 9 كانون الأول/ديسمبر 2008، فيما يتصل بنظر المجلس في البند المعنون &quot;التهديدات التي يتعرض لها السلام والأمن الدوليان نتيجة للأعمال الإرهابية&quot;، أدلى رئيس مجلس الأمن بالبيان التالي باسم المجلس:",0
"23","الأعمال المتعلقة بالألغام والمتفجرات من مخلفات الحرب",0
"24","(ج) يرسل من اللجنة جميع المعلومات المتعلقة بالقرار المقدم إلى أمين المظالم عملاً بالفقرة 14 أعلاه.",0
"25","6 - استنادا إلى الاستعراض الشامل لجميع الأسماء المدرجة في القائمة في عام 2010، عملا بالفقرة 25 من القرار 1822 (2008)، قامت اللجنة منذ ذلك الحين بتنفيذ العديد من الآليات لضمان أن القائمة تعكس على أفضل وجه التهديد الذي يشكله تنظيم القاعدة ولضمان ذلك. تتم مراجعة كل إدخال بشكل دوري لتحديد ما إذا كان الإدراج المستمر مناسبًا.",2
"26","ويشكل الافتقار إلى القدرات الكافية تحديا رئيسيا للعديد من الدول في مجال الرصد والتنفيذ الفعالين لحظر الأسلحة.",0
"27","وقد استحدثت ثلاث دول إجراءات تحظر تسليم الأفراد الذين قد يواجهون خطر التعذيب أو الاضطهاد.",2
"28","ضمان التنسيق والتنفيذ الفعالين لسياسة مكافحة الألغام والمبادئ التوجيهية الجنسانية لبرامج الأعمال المتعلقة بالألغام. الفريق العامل المشترك بين الوكالات المعني بنزع السلاح والتسريح وإعادة الإدماج (برئاسة إدارة عمليات حفظ السلام وبرنامج الأمم المتحدة الإنمائي) أنشأته اللجنة الأوروبية للسلام والأمن لتحسين أداء المنظمة في مجال نزع السلاح والتسريح وإعادة الإدماج، ويقدم الفريق العامل المشترك بين الوكالات المشورة الاستراتيجية، بما في ذلك احتياجات التدريب والسياسات والاستراتيجيات؛ الحفاظ على ومراجعة المجموعة المطورة من إرشادات الأمم المتحدة بشأن نزع السلاح والتسريح وإعادة الإدماج؛ تطوير وإدارة مركز موارد الأمم المتحدة لنزع السلاح والتسريح وإعادة الإدماج؛ ويسهل التخطيط لعمليات نزع السلاح والتسريح وإعادة الإدماج بين وكالات الأمم المتحدة ذات الصلة.",2
"29","وأعرب أيضا عن أن فشل البرلمان اللبناني في انتخاب رئيس جديد قد قوض استقرار لبنان وقدرته على الصمود منذ بداية النزاع في الجمهورية العربية السورية.",3
"30","وقد تأثرت النساء والأطفال، وخاصة الفتيات، من أعمال العنف والصراعات الناشئة حديثا المرتبطة بانتشار الميليشيات والجماعات المسلحة، والتي ترتبط في بعض الحالات بالتطرف العنيف، في حين لا تزال العديد من الصراعات الطويلة الأمد دون حل.",1
"31","ولم يتم اختيار سوى عدد قليل جدًا للاستعراض، وفي نهاية المطاف، بعد استكمال جميع الإجراءات المبينة في المبادئ التوجيهية للجنة، بما في ذلك الجهود المبذولة للحصول على معلومات من الدول الأخرى ذات الصلة، انتهى الاستعراض دون أي تغييرات على القائمة.",0
"32","60 - ويتطلب دعم استعادة الحد الأدنى من سلطة الدولة المستدامة وتوسيع نطاقها ليشمل المناطق المحررة من الجماعات المسلحة التزاما معززا من جانب الحكومة بنشر إدارة الدولة، بما في ذلك أفراد الشرطة والقضاء والسجون وتزويدهم بالموارد اللازمة.",2
"33","&quot;ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قانون مكافحة القرصنة، بما في ذلك ضمان الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم وسجن المدانين منهم. ويشجع المبادرات الحالية والمستقبلية في هذا الصدد.",4
"34","وفي قضية أخرى، نظرت المحكمة مرة أخرى في العناصر المختلفة للهجوم الموجه ضد السكان المدنيين كجزء من تعريف الجرائم ضد الإنسانية.",4
"35","واستجابة لذلك، أنشأت وزارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو فريق عمل مشترك مع ركيزة بناء المؤسسات لدراسة التقرير وتطوير سبل تنفيذ توصياته.",4
"36","43 - يكرر تأكيد الحاجة إلى تعزيز التعاون المستمر بين اللجنة ولجنة مكافحة الإرهاب واللجنة المنشأة عملا بالقرار 1540 (2004)، فضلا عن أفرقة الخبراء التابعة لكل منها، بما في ذلك من خلال تعزيز المعلومات، حسب الاقتضاء - تبادل وتنسيق الزيارات إلى البلدان الواقعة ضمن ولاية كل منها، وتيسير ورصد المساعدة التقنية، والعلاقات مع المنظمات والوكالات الدولية والإقليمية، وبشأن القضايا الأخرى ذات الصلة بجميع اللجان الثلاث، ويعرب عن اعتزامه تقديم التوجيه إلى اللجان بشأن المجالات ذات الاهتمام المشترك من أجل تنسيق جهودها بشكل أفضل وتيسير هذا التعاون، ويطلب إلى الأمين العام أن يتخذ الترتيبات اللازمة لتواجد المجموعات في مكان واحد في أقرب وقت ممكن؛",2
"37","(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وتطوير سبل العمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرة كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، والإحاطات من وإلى اللجنة وتعزيز ترتيبات تبادل المعلومات؛",2
"38","&quot;ويدين مجلس الأمن بشدة استهداف المقاتلين المتعمد للمدنيين في الصراعات المسلحة، ويطالب جميع المعنيين بوضع حد لهذه الانتهاكات للقانون الإنساني الدولي والقانون الدولي لحقوق الإنسان.",3
"39","وعلى الدول أيضا أن تمنع من يمولون الأعمال الإرهابية أو يخططون لها أو يسهلونها أو يرتكبونها من استخدام أراضيها لتلك الأغراض ضد دول أخرى أو ضد مواطنيها (الفقرة 2 (د)).",2
"40","(د) دعم أعمال أو أنشطة الأشخاص المدرجين في القائمة وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بحركة الطالبان والتي تشكل تهديدا للسلام والاستقرار والأمن في أفغانستان؛",1
"41","(أ) فريق رصد في نيويورك يضم ما يصل إلى خمسة خبراء، من بينهم رئيس، لرصد تنفيذ جميع التدابير المفروضة بموجب القرارين 1267 (1999) و 1333 (2000)، بما في ذلك في مجالات حظر الأسلحة ومكافحة الأسلحة النووية. الإرهاب والتشريعات ذات الصلة، ونظرًا لارتباطه بشراء الأسلحة وتمويل الإرهاب وغسل الأموال والمعاملات المالية والاتجار بالمخدرات؛ و",2
"42","21 - وتشمل أحدث الإضافات إلى القائمة الإرهابيين المرتبطين بتنظيم القاعدة والجماعات الإرهابية العاملة في وسط وجنوب وجنوب شرق آسيا والشرق الأوسط، بما في ذلك العراق.",0
"43","واعتقل النظام ما يقارب 47 شخصاً يعتقد أنهم تم تجنيدهم قسراً للانضمام إلى قوات النظام.",1
"44","بالإضافة إلى ذلك، تقوم فرق الموت والميليشيات المكونة من عناصر مستقلة بزرع الرعب وتنفيذ عمليات الإعدام والاختطاف.",1
"45","(ج) يهيب كذلك بجميع الأطراف المدرجة في مرفقي تقرير الأمين العام عن الأطفال والنزاع المسلح أن تعالج جميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد؛",4
"46","وفي الجلسة 4170 المعقودة في 13 تموز/يوليه، اتخذ المجلس القرار 1307 (2000) الذي أذن فيه، في جملة أمور، بتمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا لمواصلة رصد تجريد شبه الجزيرة من السلاح حتى 15 كانون الثاني/يناير 2001.",2
"47","يجب أن يكون هدف مجلس الأمن الآن هو طمأنة المحاكم بأن نظام الجزاءات المنشأ عملا بقرار مجلس الأمن 1267 (1999) (نظام الجزاءات 1267) عادل، وأن يعيد، بدعم متزايد من الدول الأعضاء، تأكيد هدفه الأصلي المتمثل في تخليص العالم من التهديد الإرهابي المتمثل في تنظيم القاعدة وحركة طالبان والمرتبطين بهما.",2
"48","والحقيقة أنه باستثناء بن لادن والزرقاوي والملا محمد عمر وغيرهم من الإرهابيين المعروفين، فإن عامة الناس قد لا يعرفون سوى القليل نسبياً عن العديد من الأفراد المدرجين في القائمة.",0
"49","وتتمثل مشكلة إضافية في أن الحكومة لم تكن تمتلك على ما يبدو موارد عسكرية كافية، حيث أن العديد من قواتها لا تزال متمركزة في الجنوب، كما أن القوات الموجودة في دارفور تتمركز بشكل رئيسي في المراكز الحضرية الكبرى.",1
"50","43. بعد نشر مواصفات المنظمة الدولية للمعايير (ISO) المتاحة للجمهور (PAS) 28007 بشأن المبادئ التوجيهية لشركات الأمن البحري الخاصة التي توفر أفراد أمن مسلحين يتم التعاقد معهم من القطاع الخاص على متن السفن، يمكن الآن لشركة أمن بحري خاصة أن تحصل على شهادة لهذا التطوع معيار الصناعة لتسهيل التنفيذ الدولي الموحد.",0
"51","8 أيار/مايو 2006 حادثة عنف في غلينو تعرض فيها ضباط من قوة الشرطة الوطنية الشرقية لهجوم.",1
"52","أجرى فريق الوساطة مناقشات ثنائية مع الحكومة وهيئة التنسيق المؤلفة من الحركة الوطنية لتحرير أزواد، والمجلس الأعلى لوحدة أزواد، والحركة العربية لتحرير أزواد. أزواد (MAA)، انضم إليها أفراد من تنسيقية الحركات والجبهات الوطنية للمقاومة الثانية (CMFPR-II) وفصيل من تحالف شعب أزواد (CPA) من جهة، ومع الحكومة والبرنامج. من جهة أخرى، الجماعات المسلحة المكونة من CMFPR-I وCPA والفصيل الآخر من الحركة العربية لأفغانستان، بالإضافة إلى أفراد من مجموعة الدفاع الذاتي طوارق إمغاد وحلفائهم (GATIA) المدعوين من قبل المنصة.",4
"53","(ج) الأفراد المدرجون في القائمة الذين أُفيد عن وفاتهم، إلى جانب تقييم المعلومات ذات الصلة المبينة في الفقرة 28 (ج)، وإلى أقصى حد ممكن، حالة الأصول المجمدة وموقعها وأسماء أي أفراد أو كيانات قد يكونون متوفين. في وضع يسمح لها بتلقي أي أصول غير مجمدة؛",0
"54","(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والإقليمية والدولية، والترتيبات المتعددة الأطراف التي تتناول ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملاً القرارات 1540 (2004)، 1267 (1999) و 1373 (2001)، بتقييم مستوى تبادل المعلومات وتنسيق الزيارات إلى البلدان، على وجه الخصوص، وتقديم توصيات محددة، إذا كان ذلك مناسبا، لتعزيز التعاون.",2
"55","31 - ورحبت الدول والعديد من الجهات الفاعلة الدولية بانفتاح عملية الاستعراض الشامل وحثت لجنة القرار 1540 على مواصلة هذا النهج وزيادة جهودها المفيدة بالفعل لتحقيق الشفافية والشمول.",4
"56","هاجموا وقتلوا 54 شخصًا، وأصابوا 24 آخرين وأحرقوا المنازل قبل أن ينسحبوا بالماشية والممتلكات المنزلية المنهوبة.",1
"57","كما قررنا إجراء مناقشتين مواضيعيتين بشأن منع نشوب الصراعات والأطفال في الصراعات المسلحة، في 20 و 26 تموز/يوليه على التوالي.",4
"58","103 - قامت القوات المسلحة لكوت ديفوار بنقل جميع أصولها الجوية الباقية والمتضررة إلى قاعدتها الجوية في مطار أبيدجان الدولي.",2
"59","وفي ليرنيب (منطقة تمبكتو)، في سبتمبر/أيلول، حذرت الحركة العربية لأفغانستان (المنصة) في اجتماعات عامة مختلفة من أنها ستعاقب أفراد السكان المحليين الذين يقدمون معلومات إلى البعثة المتكاملة والقوات الفرنسية. وفي 23 سبتمبر/أيلول، تم العثور على جثة رجل مقطوع الرأس في منطقة زويرة، على بعد 80 كيلومتراً شمال تمبكتو. وكان أحد الرجال الخمسة الذين اختطفهم تنظيم القاعدة في بلاد المغرب الإسلامي في 16 سبتمبر/أيلول، واتهمهم هذا التنظيم بالتعاون مع القوات الدولية، الذين اختفوا منذ ذلك الحين.",1
"60","ومع الانتهاء من تجهيز المطالبات في حزيران/يونيه 2005، أصبحت المهمة الرئيسية المتبقية للجنة هي دفع التعويضات لأصحاب المطالبات المقبولة.",0
"61","121- إن الجنجويد الذين يشير إليهم معظم الضحايا في الصراع الحالي هم الميليشيات العربية التي تداهم قرى هؤلاء الضحايا على ظهور الخيل أو الجمال، وتقتل وتنهب وتحرق وتغتصب.",1
"62","وبالإضافة إلى ذلك، يطبق الاتحاد الأوروبي نظاما فوق وطني يهدف إلى ضمان تجميد أموال وأصول الإرهابيين داخل جميع دوله الأعضاء.",2
"63","23 - يطلب إلى فريق الدعم التحليلي ورصد الجزاءات أن يقدم، بالتعاون الوثيق مع هيئات الأمم المتحدة الأخرى لمكافحة الإرهاب، تقريرا إلى اللجنة المنشأة عملا بالقرارين 1267 (1999) و 1989 (2011) في غضون 180 يوما، وأن يقدم بيانا شفهيا أوليا تقديم تحديث إلى اللجنة في غضون 60 يومًا بشأن التهديد الذي يشكله المقاتلون الإرهابيون الأجانب الذين تم تجنيدهم أو الانضمام إليهم من قبل تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وجميع الجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، بما في ذلك:",2
"64","وفي وقت لاحق من عام 2006، اعتمدت الجمعية العامة بالإجماع استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب، وكان لها أهمية كبيرة في إعادة تأكيد الالتزام الجماعي للمجتمع الدولي بمكافحة التهديد المشترك المتمثل في الإرهاب.",2
"65","محطات المياه o في 23 تشرين الثاني/نوفمبر 2014، فجّر تنظيم داعش سيارة مفخخة بالقرب من محطة تنقية في قرية الميدان بالحسكة، مما أدى إلى أضرار جسيمة في المحطة. محطات توليد الطاقة",1
"66","94 - وعلى الرغم من التقدم المحرز مؤخرا، فإن القيود اللوجستية والسياسية والأمنية ستجعل عملية التسريح وإعادة الإدماج المقررة لـ 000 180 من المقاتلين السابقين بحلول نهاية فترة اتفاق السلام الشامل صعبة للغاية.",1
"67","وأعدت الحكومة وفريق الأمم المتحدة القطري، بمساهمة من البنك الدولي، كتيبا عن الأهداف يبين الوضع الحالي لتيمور - ليشتي ويحدد الآثار المترتبة على السياسة العامة لتحقيق الأهداف والمؤشرات.",2
"68","ومع ذلك، كان هناك مجندون في الشرطة، بعيدًا عن أديس أبابا، ناهيك عن روما أو لاهاي، الذين سمعوا عن المحكمة الجنائية الدولية وكانوا قلقين بشأن مسؤوليتهم الجنائية أمامها.",0
"69","(ج) قائمة بأسماء الأفراد المدرجين في القائمة الذين أُفيد عن وفاتهم والكيانات التي أُبلغ عن أو تأكد أنها لم تعد موجودة، إلى جانب المستندات المطلوبة المبينة في الفقرة 23 (ج)؛",0
"70","ومع ذلك، في العديد من مناطق البلاد، لا توجد قدرة على الاحتجاز ولا أي محاكم عاملة، مما يجبر سلطات إنفاذ القانون على إطلاق سراح الجناة الذين يُزعم أنهم خطرون أو مطالبة وحدات بعثة منظمة الأمم المتحدة في جمهورية الكونغو الديمقراطية باحتجاز المشتبه بهم لأسباب تتعلق بالأمن وحماية المدنيين.",1
"71","قُتل ستة رجال ودُفنوا في قبور فردية.",1
"72","الإدارة مسؤولة عن تنظيم وإدارة فيلق حماية كوسوفو (KPC)، وكذلك تخطيط وتنسيق وتنفيذ الاستجابة لحالات الطوارئ للكوارث الطبيعية أو غيرها.",2
"73","وهذه الاحتياطات المنصوص عليها في القانون الدولي العرفي هي كما يلي: يجب على الطرف المحارب (أ) بذل كل ما في وسعه للتحقق من أن الأهداف التي سيتم الهجوم عليها ليست ذات طابع مدني؛ (ب) اتخاذ جميع الاحتياطات الممكنة عند اختيار وسائل وأساليب القتال بهدف تجنب الإصابة العرضية بالمدنيين أو الأعيان المدنية أو على الأقل التقليل منها إلى أدنى حد؛ (ج) الامتناع عن شن هجمات قد يتوقع منها أن تسبب خسائر عرضية في أرواح المدنيين أو إصابات في صفوف المدنيين أو الأعيان المدنية تكون مفرطة مقارنة بالميزة العسكرية الملموسة والمباشرة المتوقعة؛ (د) إعطاء تحذير مسبق فعال بشأن الهجمات التي قد تؤثر على السكان المدنيين، باستثناء حالات الاعتداء (على النحو المنصوص عليه في المادة 26 من قواعد لاهاي لعام 1907) أو على النحو المنصوص عليه في المادة 57 (2) (ج)، ما لم تسمح الظروف بذلك - أي عندما يعتبر الطرف المحارب أن الهجوم المفاجئ لا غنى عنه.",2
"74","وقد سنوا تشريعات لمكافحة الإرهاب وبذلوا جهودا لزيادة تعزيز التنسيق والتعاون الإقليميين، وخاصة في السياق البحري.",2
"75","وتتعلق المخاوف الأمنية الرئيسية بالنشاط الإجرامي والقتال بين الفصائل.",1
"76","يؤكد وجوب محاسبة جميع المسؤولين عن انتهاكات وتجاوزات حقوق الإنسان، ويشدد على ضرورة إجراء تحقيق شامل ومستقل ومحايد يتوافق مع المعايير الدولية في التجاوزات والانتهاكات المزعومة لحقوق الإنسان، لمنع الإفلات من العقاب وضمان المساءلة الكاملة؛",3
"77","تتراوح المواقع من تلك التي تم إنشاؤها للترويج لأفراد معينين، مثل شامل باساييف في الشيشان، أو مجموعات، مثل عسكر الطيبة في باكستان، إلى تلك التي تهدف إلى تبرير الإرهاب المرتبط بالقاعدة بشكل عام، مثل موقع صوت العالم. الجهاد، أو تقديم التدريب الإرهابي، مثل البتار.",1
"78","67. وأجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع البحارة الأبرياء المحتجزين كرهائن في الصومال حتى يتمكنوا من الانضمام إلى أسرهم.",3
"79","60 - وثمة جانب آخر قد يثير القلق في حكم الاستثناءات لأسباب إنسانية، وهو أنه نظرا لعدم السماح لفرد أو كيان خاص بتقديم التماس إلى اللجنة مباشرة، فإن دولة إقامة الطرف المدرج في القائمة هي التي تحدد ما إذا كانت اللجنة ستتلقى القرار 1452 (2002) أم لا. التماس.",0
"80","ومن جانبهم، اتهم زعماء الحكومة ومؤيدوها الحركة الوطنية لكوت ديفوار وغيرها من &quot;حركات التمرد&quot; باستخدام القوات الأجنبية وارتكاب فظائع، أبرزها مقتل العشرات من أفراد الدرك في بواكي.",3
"81","وتمكنت اللجنة من تقديم رواية مفصلة ودقيقة لأحداث نيسان/أبريل وأيار/مايو التي أسفرت عن خسائر كبيرة في الأرواح والإصابات وأضرار واسعة النطاق في الممتلكات.",2
"82","206 ـ وبعد دراسة الملف عن كثب، يمكن للجنة أن تسلط الضوء على النقاط التالية:",0
"83","وتم توفير التدريب لضباط قوات الأمن الوطني (50 في أدري و 42 في أبيشي).",2
"84","رسالة مؤرخة 22 كانون الأول/ديسمبر 2009 موجهة من رئيس لجنة مجلس الأمن المنشأة عملا بالقرار 1518 (2003) إلى رئيس مجلس الأمن",0
"85","وفي حين أن هذه المبادرة كانت استجابة لنمو الاتجار بالمخدرات والجريمة المنظمة عبر الوطنية في غرب أفريقيا، فإن وحدات الجريمة عبر الوطنية ستعمل كمراكز دمج لإنفاذ القانون لدعم القدرات التحليلية والتقنية الوطنية والإقليمية للتصدي للتهديدات عبر الوطنية.",2
"86","تدابير هادفة ومتدرجة للتصدي للاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة",1
"87","وبعد ثلاثة أيام، اشترى الجليل 25 بندقية هجومية من طراز AK-47 ومدفعين مضادين للطائرات و6 رشاشات من طراز PKM و4 قذائف RPG-2 وذخيرة.",1
"88","واعترافا من المجلس بقيمة الإحاطات السنوية التي يقدمها رؤساء العناصر العسكرية، قال إنه يرحب أيضا بالإحاطات الإعلامية المماثلة التي يقدمها رؤساء عناصر الشرطة من أجل تحسين فهمه للتحديات التشغيلية.",4
"89","علاوة على ذلك، حافظت حركة طالبان على قدرتها على استيراد الأسلحة والعتاد والقوى العاملة، ويكمن مفتاح النجاح العسكري في تحييد خطوط إمدادها وحرمانها من المناطق الآمنة حيث يمكن لمقاتليها التعافي بين العمليات وتدريب المجندين الجدد.",1
"90","ويؤيد المجلس فكرة إنشاء وحدة للمساعدة في مجال سيادة القانون داخل الأمانة العامة ويتطلع إلى تلقي مقترحات الأمانة العامة بشأن تنفيذ التوصيات الواردة في الفقرة 65 من تقرير الأمين العام عن سيادة القانون والعدالة الانتقالية في حالات النزاع. ومجتمعات ما بعد الصراع (S/2004/616).",4
