"","es_en_DEEPL","QuadClass"
"10221","- Geneva Convention relative to the Protection of Civilian Persons in Time of War, 12 August 1949.",0
"10222","The Act received the assent of the Crown in 2004.",0
"10223",":: Introduce 53 kg of UF6 enriched to 3.34% U235 in the conversion process within the framework of UCF R&amp;D and produce 24 kg of uranium in the form of UO2;",0
"10224","The terms of reference of the Group of Experts are described in section A above.",0
"10225","b) Rent remission",0
"10226","Foreigners with a special residence permit are:",0
"10227","b) Spare parts and materials 371 104",0
"10228","To date, no response has been received.",0
"10229","To be held on Wednesday, January 31, 2001, at 1:30 p.m.",0
"10230","Annex I 1. Amir Moayyed Alai (involved in the management of centrifuge assembly and engineering)",0
"10231","I wish you every success in your future endeavors.",0
"10232","75. The situation in Myanmar (15 September 2006; 13 July 2009).",0
"10233","B. Loss of equipment 213 - 215 54",0
"10234","Guinea-Bissau's economy is in dire straits.",0
"10235","c) Loss of own vehicles 239 - 241 58",0
"10236","6. Tetranitrobenzotriazolobenzotriazole (TACOT) (CAS 25243-36-1).",0
"10237","Adjusted for seasonality and insufficient evidence.",0
"10238","Since the start of its mission in October 2006, the Maritime Task Force has intercepted and requested information from some 30,500 vessels.",0
"10239","- Law No. 25/62 of May 21, 1962, regulating dangerous, unhealthy and annoying establishments;",0
"10240","As of November 16, a total of 8,902 Burundians had been expelled from the United Republic of Tanzania during 2007.",0
"10241","Gaffar Mohmed Elhassan is serving in the Sudanese Armed Forces and is stationed in Khartoum.",0
"10242","Coordination between the Mission and the United Nations Country Team (UNCT)",0
"10243","a) Hydrazine (CAS 302-01-2) with a concentration of more than 70%.",0
"10244","Government royalties for these shipments amounted to US$55,448.",0
"10245","2) Sends toxic substances or any other toxic object from one place to another by mail or by any other means; or",0
"10246","DONE at Praia on August 25, 1998.",0
"10247","ii) materials that could not be delivered",0
"10248","These operations were made possible by funding from Canada, the European Union, Germany, the Netherlands, the United Kingdom and the United States of America.",0
"10249","Letters of credit expiring in 2005",0
"10250","The team entered the site at 0852 hours and performed the following activities:",0
"10251","The situation in Côte d'Ivoire (see S/2002/30/Add.50; and S/2003/40/Add.5, 17, 19, 29, 29, 31, 45, 47 and 48; see also S/2003/40/Add.11 and 44)",0
"10252","Ambassador Samantha Power (United States of America)",0
"10253","The Rule of Law Division initially focused on the creation of the Ombudsman institution and the strengthening of the judicial system.",0
"10254","However, we must not give in to complacency.",0
"10255","Results: 60 participants from 18 countries and regions (from 1995 to 2001)",0
"10256","Pars. 27-31, 112-120, 127-132; 132",0
"10257","16. The situation in the occupied Arab territories1 (May 4, 1976; July 13, 1998).",0
"10258","This trade is relatively easy to monitor, as until very recently access to Walikale was exclusively by air.",0
"10259","The conference will address the main issues.",0
"10260","Each panel will be composed of two international judges and one judge from Kosovo.",0
"10261","Thus, the long-cherished idea of creating a Hima State gained momentum.",0
"10262","This is a further indication that the situation on the Prevlaka peninsula is normalizing.",0
"10263","The results of the simulation denied what had occurred at the time of the sinking of the ship.",0
"10264","Implementation of resolutions 1540 (2004) and 1673 (2006)",0
"10265","Iran (Islamic Republic of) 1 July 2002 S/AC.37/2002/69",0
"10266","b) To achieve an expeditious transition to reconstruction and rehabilitation.",0
"10267","1. Aliens Act of June 13, 2003 (Journal of Laws of 2003, No. 128, item 1175).",0
"10268","Mr. Dinesh Mahtani (United Kingdom of Great Britain and Northern Ireland) (finance expert)",0
"10269","77. The situation in Myanmar (15 September 2006; 13 July 2009).",0
"10270","UNAMA will only be able to play its role if significant additional resources are provided.",0
"10271","To be held on Tuesday, May 25, 2010, at 10:00 a.m.",0
"10272","The liquidation of ONUB has proceeded smoothly, and as of April 30, most of its assets had been transferred to the United Nations Integrated Office in Burundi (BINUB).",0
"10273","Nonproliferation (March 29, 2006; September 20, 2012).",0
"10274","An expert examination proved that the end-user certificate was genuine.",0
"10275","To be held on Friday, December 14, 2007, at 10:15 a.m.",0
"10276","81. Briefing by the Chairman of the African Union (31 May 2006; 31 May 2006).",0
"10277","a) The ""old debt"" analysis",0
"10278","b) The second group of the inspection team examined the labels placed on the equipment and photographed them;",0
"10279","In order to achieve further savings, some sections were moved to containerized offices.",0
"10280","The study is currently under review by the Transitional Government.",0
"10281","To explain this lack of documentary evidence, statements from two KISR employees were presented.",0
"10282","Consular certificate from the Nicaraguan Embassy of the country of origin.",0
"10283","To date, Iran has provided the Agency with one initial DIQ and three revised DIQs:",0
"10284","Paragraphs 3 (a), (b) and (c) Paragraphs 3 (d) and (e)",0
"10285","CONSTRUCTION S.A."" 365 - 406 97",0
"10286","Consolidation of case studies and pending issues",0
"10287","Law No. 23 of 1976",0
"10288","Council members praised the Special Advisor's efforts.",0
"10289","Under the above-mentioned plan, MINURCA would transport, by land and by air (planes and helicopters) and within the necessary time frame, electoral materials and equipment from Bangui to the 69 sub-prefectures of the CAR and, as an exception, to some polling stations (out of a total of 2,500 throughout the country) that are inaccessible by land.",0
"10290","Line claimed by Eritrea (items 11 to 14)",0
"10291","24. Decides to continue to take care of the matter.",0
"10292","Less than 5 kg, but more than 1 kg",0
"10293","S/RES/1820 (2008), para. 3",0
"10294","(d) Forces Démocratiques de Libération du Rwanda;",0
"10295","(c) United Nations and African Union partners;",0
"10296","Satellite photographs of the west coast test site indicating engine testing.",0
"10297","3B/90/373 - August 1990",0
"10298","b) Financial intermediaries and the foreign sector;",0
"10299","Acting, for these reasons, under Chapter VII of the Charter of the United Nations,",0
"10300","A distinction can be made between universal criteria and individual (detailed) criteria.",0
"10301","He also submitted two certificates from the Gemological Institute of America, Inc. dated February 5, 1979 and July 30, 1979, respectively, evaluating the two brilliants that constituted the valuation item.",0
"10302","The national conference, scheduled to begin on August 15, will play an important role in this regard.",0
"10303","d) Vladivostok, Russian Federation (once a week);",0
"10304","S/RES/1756 (2007), para. 3",0
"10305","2. Decides to remain seized of the matter.",0
"10306","To be held on Thursday, February 6, 2003, at 10:00 a.m.",0
"10307","2. India-Pakistan question (S/628).",0
"10308","2. Implementation of resolution 1624 (2005)",0
"10309","ITT-Automotive Europe GmbH (formerly Alfred Taves GmbH).",0
"10310","Al-Jawm al-Sabi', newspaper; Rami al-Maliji, journalist; December 10, 2011.",0
"10311","Judgments in the Nchamihigo and Bikindi cases are expected to be rendered in the first half of 2008.",0
"10312","Size: 32.5 inches by 26.5 inches",0
"10313","A. Category D6 (loss of income): severance payments",0
"10314","Mr. Mahmoud Aboud, Minister Counselor, Permanent Mission of the Comoros to the United Nations",0
"10315","The momentum achieved at the various levels of government should be used to address some of the country's underlying socioeconomic problems: unemployment, poor infrastructure, corruption, poverty and the disproportionate cost of administration.",0
"10316","In 2006, UNMOVIC incurred administrative costs of approximately $11 million. There was a decrease of $20.7 million compared to $31.7 million in 2005.",0
"10317",":: Do the relevant provisions of the Penal Code apply in all of the following circumstances:",0
"10318","Note: Based on data provided by Management.",0
"10319","S/RES/2113 (2013), preambular para. 14.",0
"10320","ARD, German television channel; Jörg Ambruster, journalist, December 15, 2011.",0
"10321","Reports of SPLA-linked children were also received in Wunyik (Northern Bahr el Ghazal State), Duar (Unity State) and Mapel (Western Bahr el Ghazal State).",0
"10322","The Islamic Courts Union came to fill the vacuum left by the alliance.",0
"10323","I welcome the efforts made by governments to contain the virus.",0
"10324","The appointment of the members of the State Regulatory Commission will mark an important milestone in the reform process.",0
"10325","2. Payment or relief to third parties: US$ 36,221,863.",0
"10326","Only the latter aspect has a quasi-judicial function.",0
"10327","Reserves and fund balances at beginning of period",0
"10328","There is no parallel exchange system.",0
"10329","Source: Photographs obtained by the Group of Experts.",0
"10330","All charges against him were dismissed and he was officially discharged from the Tatmadaw Kyi.",0
"10331","- Mission-specific gap case studies (all of 2010), especially those in transition (second half of 2010)",0
"10332","2. Money transfer service providers;",0
"10333","Only 10% of them are registered voters;",0
"10334","b) Improvement of the potable water system and its transportation to the sites.",0
"10335","b) Cosmetics (approximately Yen160,000) in October 2008.",0
"10336",":: Stockbrokers, including portfolio managers and investment advisors;",0
"10337","To be held on Wednesday, September 29, 2010, at 10:20 a.m.",0
"10338","In the opinion of the Secretary General, the aforementioned credentials are in order.",0
"10339","32. The situation in Côte d'Ivoire (December 20, 2002; January 26, 2012).",0
"10340",":: The Minister heading the Prime Minister's Office.",0
"10341","A. Provisional guidelines of the Committee",0
"10342","In such an office, good offices would be a secondary activity.",0
"10343","Germany, France, United Kingdom and Northern Ireland",0
"10344","103. Rudi Vranckx, from the Belgian television channel VRT, on January 10.",0
"10345","(Summit Resolution 484/21, adopted on March 30, 2009)",0
"10346","With respect to Claims, recoverable losses vary considerably by nature and location.",0
"10347","This article is entitled ""Harboring and aiding criminals"". The analysis corresponding to articles 475 and 477 also applies to this article.",0
"10348","After the list of elected deputies had been read out and the President of the Provisional Bureau had delivered his speech, deputy Jean-Paul Ngoupande de Dekoa asked for the floor to raise several preliminary questions.",0
"10349","I take this opportunity to thank Mr. Mutaboba for his dedication in the exercise of his duties in Guinea-Bissau and at UNIOGBIS.",0
"10350","The Czech Parliament is currently considering this project.",0
"10351","A total of 9,814 people were tested for HIV during the campaign, 7,295 women and 2,519 men.",0
"10352","I hope to be able to count on the understanding and support that usually characterizes you.",0
"10353","Geneva Protocol (Declaration of Succession), July 19, 1971;",0
"10354","To be held on Friday, June 29, 2012 at 9:45 a.m.",0
"10355","179. The interest element is US$430,912 (JD 283,540).",0
"10356","1. Federal Law No. 52, on the Sanitary and Epidemiological Welfare of the Population, of March 30, 1999, Article 40.",0
"10357","Law No. 36 of February 26, 2002, ""Revision of Law No. 59 of July 8, 1974 (Declaration on the Fundamental Rights and Principles of the Citizens of the Constitutional Order of San Marino)"".",0
"10358","2. Real estate 217 - 218 56",0
"10359","E. Payment or relief to third parties 104 - 121 27",0
"10360","The two Let 410 aircraft, registered in Swaziland as 3D-ERS and 3D-ETY, arrived in Beni from Khartoum on May 7 and 8, 2004, respectively.",0
"10361","10. Reconstruction of Magwa road/replacement of crude oil line No. 5.",0
"10362","48. The situation in Myanmar (15 September 2006; 2 May 2008).",0
"10363","Compensation totaling 100,968 Cypriot pounds is requested.",0
"10364","Threats and intimidation also impede children's access to school.",0
"10365","Due to voting interruptions, the results for 12 seats remain unconfirmed.",0
"10366","Mr. Lloyd George Williams (Saint Kitts and Nevis)",0
"10367","In December 2008, Kismayo's media premises were shut down.",0
"10368","Without clear evidence, the Panel refers to Granit's acknowledgement in paragraph 1090 above that the warranty period expired in April 1988.",0
"10369","With respect to the DUI registration processes or procedures, I would like to mention that they are defined as follows:",0
"10370","Under the district electoral system, the country's 12 administrative districts and two electoral districts shall be constituted as electoral constituencies.",0
"10371","The loss therefore amounts to 46,618 dinars, or 1,305,304 French francs.",0
"10372","(see S/2001/Add.20; see also S/2000/40/Add.50; and S/2001/15/Add.4, 7, 10, 13, 26, 38, 45 and 51).",0
"10373","[57] See  www.raxanreeb.com/2013/10/xildhbaan-daahir-amiin-jeesow-oo-sharci-daro-ku-tilmaamay-xariga-maxamed/.",0
"10374","He spent two weeks in Ahli Arab Hospital and underwent 11 surgeries.",0
"10375","Therefore, they do not necessarily provide a summary of all the reasons for inclusion that the Committee has taken into account.",0
"10376","Presidents and members of the Chambers",0
"10377","The provisions contained in these texts differ from case to case, as specified below:",0
"10378","Reuters article dated February 5, 1999",0
"10379","Acting under Chapter VII of the Charter of the United Nations,",0
"10380","S/RES/2090 (2013), para. 11.",0
"10381","S/RES/1564 (2004), para. 6.",0
"10382","Australia has a universal visa system.",0
"10383","A draft law on the district electoral system is expected to be submitted to Parliament in the coming weeks.",0
"10384","Judgment is expected to be issued in June 2012.",0
"10385","703. In the Group's opinion, the objective of the survey is appropriate.",0
"10386","(Summit Resolution 22/503, adopted on March 28, 2010)",0
"10387","Coordination requires, firstly, a clear vision and, secondly, institutional arrangements.",0
"10388","a Rough schematic drawing of the cascade process hall located in the uranium enrichment centrifuge facility (Building 4) at Yongbyon, as of November 12, 2010.",0
"10389","They therefore decided to lend their full support to the results of the Round Table on Côte d'Ivoire, held in Linas Marcoussis from January 15 to 24, 2003.",0
"10390","To be held on Monday, November 24, 2014, at 3:00 p.m.",0
"10391","S/RES/2103 (2013), para. 6.",0
"10392","The process of visible marking of the Blue Line continues with the marking of non-contentious points.",0
"10393","Acting under Chapter VII of the Charter of the United Nations,",0
"10394","There was, however, a visible reduction in stunting and chronic malnutrition (20.4% and 26.7%).",0
"10395","If there are no objections from the Board, I intend to proceed as indicated.",0
"10396","Ms. Karrer had run her non-governmental organization, ""New Way,"" in the city since 1993.",0
"10397","Hard News, Indian English-language magazine; Kapoor Sanjay, journalist, February 25, 2012.",0
"10398","9. Counterfeiting currency or other means of payment, government bonds, valuable documents or official documents or instruments;",0
"10399","Date of birth: October 20, 1956",0
"10400","On election day, the National Election Watch, a coalition of 14 civic and non-governmental organizations, deployed 1,437 accredited observers.",0
"10401","42. The situation between Eritrea and Ethiopia (June 26, 1998; February 15, January 2008).",0
"10402","The Group has confirmed that Ipedex received FF 656,064 in relation to the employees who were assigned to the project.",0
"10403","At this time it is not possible to foresee all the specialized services that the mission might have to provide.",0
"10404","Acting in accordance with Chapter VII of the Charter of the United Nations,",0
"10405","ii) The status of nationals of one country residing in the other;",0
"10406","In conclusion, I wish to congratulate the President of the Transitional Government of Burundi, Domitien Ndayizeye, and his predecessor, Pierre Buyoya, for the courage they demonstrated in leading the transition process.",0
"10407","1. ""Banking operations"" and ""financial operations"" as defined in the Law on Banking Institutions and the Law on Non-Banking Financial Institutions;",0
"10408","The forensic team arrived in Pristina on January 21.",0
"10409","Vice-Presidency: United Kingdom of Great Britain and Northern Ireland",0
"10410","The National Transitional Council and civil society in Libya want first and foremost the support of the United Nations in the country's electoral process towards a democratic state.",0
"10411","Deliveries of the first stage are nearing completion.",0
"10412","13. Decides to remain seized of the matter.",0
"10413","To be held on Monday, November 14, 2011, at 4:20 p.m.",0
"10414","Referral of cases by the Committee to the Ombudsman",0
"10415","To be held on Wednesday, September 30, 1998, at 3:30 p.m.",0
"10416","Advisors would be added within the authorized ceiling to support National Immigration Service reform initiatives.",0
"10417","The situation in Ituri has been particularly serious.",0
"10418","It should be noted that while the severity of malnutrition rates is more pronounced in the north of the country, the majority of malnourished children (85%) live in the southern regions of Mali where the population density is much higher.",0
"10419","However, an adjustment has been made to take into account the residual value of the equipment and appliances.",0
"10420","E. Payment or relief to third parties",0
"10421","This applies to Austria, Belgium, Canada, France, Germany, Japan, Liechtenstein, the Netherlands, Norway, Portugal, Saudi Arabia, Sweden, Switzerland, Tunisia, Turkey, the United Kingdom, the United States and Yemen;",0
"10422","Donations appear to continue to be a source of income, albeit limited in scope compared to other sources.",0
"10423","Currently, close to 3 million people suffer from severe or moderate food insecurity.",0
"10424","22. The situation in Guinea-Bissau (6 November 1998; 5 November 2009).",0
"10425",":: Gathering and analysis of telephone calls",0
"10426","The situation in Somalia (March 17, 1992; October 14, 2014).",0
"10427","The case commenced on September 18, 2006 and is scheduled to conclude in early 2008. S. Nchamihigo",0
"10428","a) Kamal Mahjub Ahmad, Senior Advisor;",0
"10429","11. Miss Almaza Ibrahim Ibrahim Helmi Samouni, 13, gave this account of what happened:",0
"10430","The group spent approximately three and a quarter hours on its tasks.",0
"10431","However, the Group has reclassified 195,965,672 Italian lire (US$169,038) of this amount as lost profits.",0
"10432","The statement recalled that the Initiative builds on the international community's efforts to prevent the proliferation of weapons of mass destruction, their means of delivery or related materials and complements existing treaties and regimes.",0
"10433","However, the trial was adjourned on October 20, 2014 until further notice due to Mr. Hadžić's health condition.",0
"10434","The initial proceeds from the sale of iron ore were not deposited with the Central Bank of Liberia as required by Executive Order No. 2.",0
"10435","To be held on Monday, December 30, 2002, at 12:05 p.m.",0
"10436","1. The equipment included in Article 11.A includes the following:",0
"10437","In this regard, the situation varies greatly from one region to another and from one municipality to another.",0
"10438","I. PROCEDURAL STEPS 3 - 9 7",0
"10439","Ethiopia's intrusion into Badme",0
"10440","Acting for these purposes under Chapter VII of the Charter of the United Nations,",0
"10441","Done at Addis Ababa (Ethiopia) on July 4, 2011.",0
"10442","This was the first joint document on this chapter.",0
"10443","Multinational Force engineers built seats, desks and other furniture for schools and orphanages in the Cité Soleil, Bel Air and Carrefour areas.",0
"10444","The presentation of the prosecution's case is expected to take 25 sessions.",0
"10445","51. The situation in Chad, the Central African Republic and the subregion (27 August 2007; 20 December 2010).",0
"10446","Acting for these purposes under Chapter VII of the Charter of the United Nations,",0
"10447","Place of birth: Gagnoa (Côte d'Ivoire)",0
"10448","Minister of Youth in the Interim Government",0
"10449","To be held on Wednesday, July 6, 2005, at 10:00 a.m.",0
"10450","Such evidence exists in Kisangani, Bunia and Moba.",0
"10451","2. The situation in Guinea-Bissau",0
"10452","2. Analysis and valuation 249 - 258 59",0
"10453","Public Notice No. 327 was published in the Official Gazette No. 17226 of April 9, 2002, and by virtue of it two entities were added to the Consolidated List (SC/7331 of March 15, 2002).",0
"10454","Thus, for every dollar by which prices fall, the government loses almost 100 million dollars a year.",0
"10455","The third and final round took place from May 28 to June 2 and, in addition to polio vaccination, vitamin A supplements and anthelmintic tablets were provided.",0
"10456","The Government had taken all the necessary steps to that effect.",0
"10457","The mechanism concluded that one of the effects of the sanctions applied to the diamond trade is the production of more sophisticated forged or fraudulent documents to conceal the origin of diamonds.",0
"10458","New Zealand's response to the CTC's questions due by April 30, 2004",0
"10459","In late 2007, the Jowhar (Middle Shabelle) regional administration initiated a small-scale demobilization process.",0
"10460","II. LEGAL FRAMEWORK 16 - 25 14",0
"10461","Mr. Xenofon Ulianovschi (Republic of Moldova)",0
"10462","Subsequently, eight schools were evacuated in July.",0
"10463","Minister of Lands and Local Government",0
"10464","Structure and locations of the Mechanism",0
"10465","Resolutions 827 (1993), 955 (1994), 1593 (2005), and 1970 (2011).",0
"10466","Draft regulations of the Atomic Energy Organization of Iran on the physical protection of facilities and materials, which are based on IAEA document INFCIRC/225.",0
"10467","42. Ruan Yuhong, editor of the Blashe website.",0
"10468","Paragraph 3, subparagraphs b) and c)",0
"10469","To be held on Monday, December 15, 2014, at 10:00 a.m.",0
"10470","Other satellites with lower spatial resolution are also used.",0
"10471","500 g or less, but more than 15 g of plutonium",0
"10472","This is a priority.",0
"10473","V. Humanitarian situation, recovery and return",0
"10474","The Group continues to investigate financial support to AFD and its possible links to Al-Shabaab.",0
"10475","Each fund is maintained as a distinct financial and accounting entity, with a separate set of accounts that are double-entered and offset against each other.",0
"10476","Accordingly, the Group has attempted to determine which of the loss calculation methods described in the preceding paragraph provides the best estimate, or whether there is another preferable method.",0
"10477","Appointment of the two Vice Presidents:",0
"10478","Judgment is expected to be rendered in the first half of 2008.",0
"10479","In its long history, Ethiopia has never invaded any country to annex foreign territories.",0
"10480","The last (unconfirmed) supply was made on May 1 and 3, 2001 from an Antonov 12.",0
"10481","2. The situation in Côte d'Ivoire",0
"10482","Therefore, desks and textbooks may not be available for distribution at the beginning of the 1998/1999 school year.",0
"10483","On April 10, 2013, I sent letters to the Ministers of Foreign Affairs of Morocco and the Sahrawi Arab Democratic Republic.",0
"10484","H.E. Dr. Bashar Al-Assad, President of the Syrian Arab Republic",0
"10485","The results of the studies showed that while the effects were by no means uniform, local employment in the timber industry was not significant in most places.",0
"10486","695. The surveillance program would involve the following:",0
"10487","On the other hand, 25,984 international and national observers were accredited.",0
"10488","I now resume my duties as Chairman of the Board.",0
"10489","Ukraine ratified the amendment on September 3, 2008.",0
"10490","Paragraph 2 (a): expulsion from Liberia of all RUF members ...",0
"10491","The Convention on the Physical Protection of Nuclear Material, ratified by Presidential Decree No. 49/1986;",0
"10492","The situation in East Timor (see S/11593/Add.50 and 51; S/11935/Add.15 and 16; and S/1999/25/Add.17, 22, 25, 30, 33-36, 42, 50)",0
"10493","There is little space for berthing vessels and steps have begun to be taken to remove debris along the quay.",0
"10494","To be held on Monday, November 29, 2010, at 10:00 a.m.",0
"10495","S/RES/1674 (2006), para. 19.",0
"10496","STATEMENT BY THE PRESIDENT OF THE SECURITY COUNCIL",0
"10497","Ambassador Akram is not wrong to pay special attention to the situation in the southern and western parts of the country.",0
"10498","Non-proliferation (March 29, 2006; September 27, 2008).",0
"10499","In some parts of the South, one in three children suffers from acute malnutrition.",0
"10500","Other specific features of the Law are as follows:",0
"10501","2. The situation in Sierra Leone",0
"10502","2. Payment or relief to third parties: US$ 9,785,464.",0
"10503","5. The situation in Timor-Leste (December 15, 1975; February 26, 2009).",0
"10504","20. Decides to remain seized of the matter.",0
"10505","19. Chapter 44 of the Customer Account Control and Protection Act.",0
"10506","(b) Mr. Russell Feingold, United States Special Envoy to the Great Lakes Region;",0
"10507","3. Loss Element No. 8 158 - 165 43",0
"10508","a) Delimitation of two distinct stages: admissibility and in-depth examination of the matter,",0
"10509","278. Travel and living expenses were broken down by Chevron U.S.A. into the following categories: lodging, airfare, ground transportation and medical expenses, telephone expenses, meals and miscellaneous items such as laundry expenses.",0
"10510","The situation in the Central African Republic",0
"10511","Member of the Board of Directors Amir Khan Motaqi (TI.M.26.01)*.",0
"10512","66. Saad Murshid Jasir Al-Barazi",0
"10513","5. Have unrestricted access at all times to the customer monitoring system;",0
"10514","Troika press release: the Baden Conference",0
"10515","Article 12 of the Law reads as follows:",0
"10516",":: The amendment to Decree Law No. 2 of 1989 on Savings Deposits refers to the abolition of anonymous passbooks;",0
"10517","I would like to take this opportunity to announce that my role as Chief Prosecutor of the Special Investigative Task Force ends on August 23.",0
"10518","The provisions of these regulations apply regardless of the quantity or value of the items.",0
"10519","The Committee was composed of the following experts:",0
"10520","Likewise, records are kept of laboratories authorized by the National Agrifood Health and Quality Service (SENASA).",0
"10521","Table 14 Recommended indemnity for the Bechtel claim",0
"10522","1) Capable of speeds of 400°/s or more, or 30°/s or less; and 2) Capable of speeds of 400°/s or more, or 30°/s or less.",0
"10523","Rehabilitation project for essential services and infrastructure",0
"10524","(e) Promote cooperation and fully implement the relevant international conventions and protocols related to terrorism, as well as Security Council resolutions 1269 (1999) and 1368 (2001)",0
"10525","a) Spacecraft (single or multiple), including satellites.",0
"10526","(a) Mine clearance in support of demarcation and",0
"10527","In this regard, both files were sent to the General Secretariat of the Presidency of the Republic to be forwarded to the Congress of the Republic for approval, after ratification by the President of the Republic.",0
"10528","Nationals of foreign countries who have been domiciled in Iceland for two years also receive identity cards.",0
"10529","3.4 Accounts opened by professional intermediaries",0
"10530","The Council of the League of Arab States, meeting at ministerial level,",0
"10531",":: The digitized photograph of the person's face;",0
"10532","Acting under Article 41 of Chapter VII of the Charter of the United Nations,",0
"10533","Acting under Chapter VII of the Charter of the United Nations,",0
"10534","To date, the Group has processed a total of 378 cases, 23 of which are closed.",0
"10535","To be held on Wednesday, May 12, 2010, at 10:30 a.m.",0
"10536","Timber. Sanctions appear to have taken effect and there is no evidence of widespread exports.",0
"10537","Non-profit organizations play an important role in the region.",0
"10538","Angola (Director Candido Pereira dos Santos Van-Dunem)",0
"10539","- The Agreement allocates 12 seats in the National Assembly to the signatory movements.",0
"10540","Grand Cross with Collar of the Order of Merit, Italian Republic, 2004.",0
"10541","Non-proliferation/Islamic Republic of Iran",0
"10542","First, the Group calculated the benefits that NIOC would have obtained had there been no invasion.",0
"10543","To be held on Wednesday, November 28, 2007, at 10:20 a.m.",0
"10544","Hungary is also a signatory to the Hague Code of Conduct on Ballistic Missiles.",0
"10545","2. Vienna Convention on Civil Liability for Nuclear Damage.",0
"10546","1. Central Board of Taxation and Customs.",0
"10547","a. The collection and processing of data on foreign nationals entering or leaving the territory of Indonesia;",0
"10548","Their combination into binomials, trinomials or polynomials is foreseen.",0
"10549","The children were between 1 and 16 years of age.",0
"10550","To be held on Tuesday, October 25, 2005, at 10:00 a.m.",0
"10551","Paragraph 13 of resolution 1973 (2011)",0
"10552","2. Presentation of information by the Secretary General.",0
"10553","The Committee's deliberations concluded with the maintenance on the lists of the individual and the entity.",0
"10554","It is sad, as well as a sign of clumsiness, that the Oversight Group believes everything and dances to the tune they impose on it.",0
"10555","22. The situation in Guinea-Bissau (6 November 1998; 21 December 2011).",0
"10556","For the Socialist People's Libyan Arab Jamahiriya",0
"10557","Only then could this issue be considered closed.",0
"10558","However, there were clear differences between the observations depending on whether they were made at camp or non-camp enrollment sites.",0
"10559","I wish to express my gratitude to Ambassador Michael Bell and the Government of Canada for their effective chairmanship of the Mechanism over the past two years.",0
"10560","Yes, the National Border Control System includes listed individuals.",0
"10561","46. Yuta Furukawa, from the Japanese channel TBS, on December 19.",0
"10562","APTN, television channel and Associated Press, news agency; Zayna Karim and Bassam Hatum, journalists, February 25, 2012.",0
"10563","The Anti-Corruption Law is being revised.",0
"10564","An agreement is expected to be reached this month.",0
"10565","A total of 54 health services from eight governorates (five governorates in the central region and three in the northern region) were studied.",0
"10566","To be held on Thursday, July 7, 2005 at 12:50 p.m.",0
"10567","The situation in Georgia (see S/23370/Add.40; S/25070/Add.4, 26, 27, 31, 34, 37, 37, 42, 44, 45 and 51; S/1994/20/Add.4, 8, 9, 11, 13, 25, 28 and 47; S/1995/40/Add.1, 10, 18 and 32; S/1996/15/Add.1, 16, 27 and 42; S/1997/40/Add.4, 18, 30 and 44; S/1998/44/Add.4, 21, 30 and 47; S/1999/25/Add.3, 17, 29 and 44; S/2000/40/Add.4, 18, 29 and 45; S/2001/15/Add.5, 12, 17, 31 and 44; S/2002/30/Add.4 and 30; S/2003/40/Add.4 and 30; S/2004/20/Add.4, 8, 17 and 30; and S/2005/15/Add.3, 11, 17 and 29).",0
"10568","Rossiiskaya Gazeta, newspaper; Vladimir Snegirev, journalist, February 23, 2012.",0
"10569","a) Determinations of the Group in the case of the first series",0
"10570","Haiti is at a critical juncture.",0
"10571","Done at Abuja, September 16, 1999.",0
"10572","February 26 to 28 20th Asian Export Control Seminar",0
"10573","Its Al-Hayat Media Center is a sophisticated operation. Its videos are professionally produced and its material is translated into several different languages.",0
"10574","In addition to this list, it only presented a set of 20 invoices, some untranslated, others illegible and others issued in the name of individuals whose relationship with the company is not specified.",0
"10575","Place and year of birth: 1980",0
"10576","The Panels consisted of two Trial Panels and one Appeals Panel, each composed of two international judges and one East Timorese judge.",0
"10577","- That a monitoring, surveillance and prevention system be established in this area;",0
"10578",":: Saif Madeen al-Rajih, 12 years old",0
"10579","On July 13, the Ituri District Authority was also established in Bunia, replacing the Ituri Interim Authority, which had been operating since April 2003.",0
"10580","Sheikh Yusuf Indohaadde is in charge of the local administration of Lower Shabelle, where he serves as governor.",0
"10581","The Embassy of Senegal has fully reopened its doors in Bissau.",0
"10582","The first case occurred on September 19, 2010, on the inaugural Delta Airlines flight (flight 135), on which the President of Liberia was traveling.",0
"10583","Captain Moussa Dadis Camara would eventually become President of the Republic on December 23.",0
"10584","On July 1, 2007, Rwanda joined the Community and is now part of the customs union.",0
"10585","2. India-Pakistan question (see S/7382).",0
"10586","To date, more than 200,000 inhabitants have registered.",0
"10587","Communiqué on the situation in Mali",0
"10588",":: Third phase (five years): US$4,840,000",0
"10589","It also distributed 3,000 polio vaccines for use in that camp.",0
"10590","These documents are available on the Committee's website.",0
"10591","Between January and the end of August, more than 2,000 minors passed through the transit centers in North Kivu, including Beni, and about 800 through the centers in South Kivu.",0
"10592","A logbook discovered on board detailed the submarine's mission.",0
"10593","To be held on Monday, September 11, 2006, at 11:00 a.m.",0
"10594","KPC alleges that 1,300 metric tons of crude oil and 222,600 metric tons of refined products belonging to KPC and stored in KNPC facilities were lost during the occupation.",0
"10595","2. The situation in the Middle East (July 18, 1960; October 21, 2011).",0
"10596","H. Ministry of Education 286 - 331 70",0
"10597","In terms of eradication, 5,100 hectares or 5% of the total crop have been eradicated.",0
"10598","The delivery to the FANCI of 22 UAZ-3151 vehicles from Belarus at the fruit terminal of the port of Abidjan on June 23, 2005 demonstrates the ease with which it is possible to circumvent normal import procedures at the port.",0
